,y,Coal,Oil,Gas,Hydro,Solar PV,Geothermal,Biomass,Crude oil Refinery,Natural gas extraction
8,2023.0,0.0,46.2,6.05,3834.24,0.0,0.0,107.1,10.14,0.02
9,2024.0,0.0,13.59,6.05,4847.03,0.0,0.05,100.8,10.41,0.02
10,2025.0,0.0,37.4,6.05,6013.26,0.0,0.1,63.0,10.69,0.42
11,2026.0,0.0,11.9,6.05,6013.26,0.0,0.15,56.7,10.97,0.42
12,2027.0,0.0,11.05,0.0,6013.26,0.0,0.2,50.4,11.26,0.4
13,2028.0,0.0,10.19,0.0,6891.01,0.0,0.2,44.1,11.57,0.4
14,2029.0,0.0,9.35,0.22,6891.01,0.0,0.2,37.8,11.89,0.0
15,2030.0,0.0,8.5,0.0,9728.28,0.03,0.2,31.5,12.04,0.0
16,2031.0,0.0,7.65,0.0,9728.28,0.08,0.2,25.2,1.07,0.0
17,2032.0,0.0,6.8,6.05,9728.28,0.14,0.2,18.9,0.72,0.0
18,2033.0,0.0,5.95,6.05,9728.28,0.2,0.2,12.6,0.36,0.0
19,2034.0,238.51,5.1,6.05,9728.28,0.27,0.2,6.3,0.0,0.0
20,2035.0,238.51,4.25,6.05,9728.28,0.27,0.2,0.0,0.0,0.0
21,2036.0,402.25,3.4,6.05,9728.28,0.32,0.2,0.0,0.0,0.0
22,2037.0,1620.76,2.55,6.05,9728.28,0.38,0.2,0.0,0.0,0.0
23,2038.0,2489.25,1.75,6.05,9728.28,0.45,0.2,0.0,0.0,0.0
24,2039.0,3399.73,0.88,6.05,9728.28,0.52,0.2,0.0,0.0,0.0
25,2040.0,4009.15,0.0,4.74,9728.28,0.6,0.2,0.0,0.0,0.0
26,2041.0,4009.15,0.0,4.58,9728.28,0.66,0.2,0.0,0.0,0.0
27,2042.0,4036.36,0.0,4.27,9691.71,0.74,0.2,0.0,0.0,0.0
28,2043.0,4112.71,0.0,3.46,9691.71,0.83,0.2,0.0,0.0,0.0
29,2044.0,4159.74,0.0,4.23,9671.46,0.9,0.2,0.0,0.0,0.0
30,2045.0,4159.74,0.0,5.57,9671.46,0.96,0.2,0.0,0.0,0.0
31,2046.0,4474.24,0.0,5.33,9291.66,1.02,0.2,0.0,0.0,0.0
32,2047.0,4695.46,0.0,4.96,9291.66,1.08,0.2,0.0,0.0,0.0
33,2048.0,4933.54,0.0,4.57,9291.66,1.15,0.2,0.0,0.0,0.0
34,2049.0,5135.15,0.0,4.0,9291.66,1.25,0.2,0.0,0.0,0.0
35,2050.0,5330.88,0.0,2.65,9291.66,1.33,0.2,0.0,0.0,0.0
36,2051.0,5679.99,0.0,2.11,9291.66,1.33,0.2,0.0,0.0,0.0
37,2052.0,5679.99,0.0,2.56,9291.66,1.38,0.2,0.0,0.0,0.0
38,2053.0,5679.99,0.0,2.86,9291.66,1.42,0.2,0.0,0.0,0.0
39,2054.0,5679.99,0.0,3.18,9291.66,1.49,0.2,0.0,0.0,0.0
40,2055.0,5615.73,0.0,3.24,9291.66,1.58,0.2,0.0,0.0,0.0
41,2056.0,5613.87,0.0,3.44,9291.66,1.65,0.2,0.0,0.0,0.0
42,2057.0,5519.95,0.0,3.52,9291.66,1.73,0.2,0.0,0.0,0.0
43,2058.0,5528.63,0.0,4.76,9291.66,1.81,0.2,0.0,0.0,0.0
44,2059.0,5565.0,0.0,5.81,9291.66,1.88,0.2,0.0,0.0,0.0
45,2060.0,5506.45,0.0,5.95,9291.66,1.98,0.2,0.0,0.0,0.0
46,2061.0,5470.16,0.0,6.03,9291.66,2.06,0.2,0.0,0.0,0.0
47,2062.0,5427.58,0.0,6.11,9291.66,2.13,0.2,0.0,0.0,0.0
48,2063.0,5378.66,0.0,6.2,9291.66,2.22,0.2,0.0,0.0,0.0
49,2064.0,5063.72,0.0,6.44,9291.66,2.36,0.2,0.0,0.0,0.0
50,2065.0,4987.87,0.0,6.37,9291.66,2.46,0.2,0.0,0.0,0.0
51,2066.0,4583.55,0.0,5.93,9291.66,2.65,0.2,0.0,0.0,0.0
52,2067.0,5032.65,0.0,4.43,9291.66,2.73,0.2,0.0,0.0,0.0
53,2068.0,4663.69,0.0,269.88,9058.34,2.9,0.2,0.0,0.0,0.0
54,2069.0,4355.35,0.0,271.17,9237.86,3.06,0.18,0.0,0.0,0.0
55,2070.0,4171.32,0.0,272.1,9105.04,3.2,0.18,0.0,0.0,0.0
