,y,Oil,Gas,Hydro,Solar PV,Geothermal
8,2023.0,0.31,7.24,0.0,0.0,0.0
9,2024.0,0.15,0.0,7.91,0.0,0.0
10,2025.0,0.15,0.0,8.42,0.0,0.0
11,2026.0,0.16,0.0,8.96,0.0,0.0
12,2027.0,0.17,0.0,9.53,0.0,0.0
13,2028.0,0.17,0.02,10.11,0.0,0.0
14,2029.0,0.18,0.12,10.66,0.0,0.0
15,2030.0,0.17,0.29,11.2,0.0,0.0
16,2031.0,0.16,0.47,11.82,0.0,0.0
17,2032.0,0.14,0.66,12.44,0.0,0.0
18,2033.0,0.12,1.01,12.95,0.0,0.0
19,2034.0,0.11,1.53,13.35,0.0,0.0
20,2035.0,0.08,0.0,15.86,0.0,0.0
21,2036.0,0.07,0.03,16.86,0.0,0.0
22,2037.0,0.05,0.16,17.83,0.0,0.0
23,2038.0,0.04,0.38,18.77,0.0,0.0
24,2039.0,0.01,0.66,19.73,0.0,0.0
25,2040.0,0.0,0.96,20.76,0.0,0.0
26,2041.0,0.0,1.33,21.71,0.0,0.0
27,2042.0,0.28,1.77,22.39,0.0,0.0
28,2043.0,0.29,2.61,23.04,0.0,0.0
29,2044.0,0.3,3.62,23.59,0.0,0.0
30,2045.0,0.31,4.68,23.98,0.0,0.21
31,2046.0,0.32,4.88,23.98,0.0,1.79
32,2047.0,0.33,5.09,23.98,0.0,3.45
33,2048.0,0.34,5.35,23.98,0.0,5.19
34,2049.0,0.35,5.62,23.98,0.0,7.04
35,2050.0,0.36,5.7,23.98,0.61,8.54
36,2051.0,0.35,5.8,23.97,0.63,9.83
37,2052.0,0.38,5.65,23.98,1.93,9.94
38,2053.0,0.39,5.55,23.98,3.27,10.05
39,2054.0,0.4,5.45,23.98,4.67,10.17
40,2055.0,0.01,5.41,23.98,6.11,10.61
41,2056.0,0.01,5.28,23.98,7.63,10.72
42,2057.0,0.01,5.16,23.98,9.3,10.72
43,2058.0,0.01,5.07,23.98,10.99,10.72
44,2059.0,0.01,4.97,23.98,12.75,10.72
45,2060.0,0.01,4.87,23.98,14.57,10.72
46,2061.0,0.01,4.8,23.98,15.85,10.72
47,2062.0,0.01,4.73,23.98,17.17,10.72
48,2063.0,0.01,4.67,23.98,18.51,10.72
49,2064.0,0.03,4.74,23.98,19.73,10.72
50,2065.0,0.05,4.81,23.98,20.99,10.72
51,2066.0,0.05,4.9,23.97,22.29,10.72
52,2067.0,0.0,4.97,23.87,23.76,10.72
53,2068.0,0.0,4.98,23.81,25.26,10.7
54,2069.0,0.0,5.0,23.68,26.8,10.72
55,2070.0,0.0,5.08,23.58,28.31,10.72
