,y,Bedden,Lakki
0,2015,0.0,0.0
1,2016,0.0,0.0
2,2017,0.0,0.0
3,2018,0.0,0.0
4,2019,0.0,0.0
5,2020,0.0,0.0
6,2021,0.0,0.0
7,2022,0.0,0.0
8,2023,0.0,0.0
9,2024,244.8797,0.0
10,2025,260.6349,0.0
11,2026,277.3656,0.0
12,2027,295.1334,0.0
13,2028,313.254,0.0
14,2029,330.1835,0.0
15,2030,346.9535,0.0
16,2031,366.1143,0.0
17,2032,385.281,0.0
18,2033,401.1668,0.0
19,2034,413.5724,0.0
20,2035,422.9469,68.1855
21,2036,431.821,90.5
22,2037,431.821,120.4907
23,2038,331.4936,250.0083
24,2039,318.78,292.4944
25,2040,335.1174,307.7992
26,2041,361.4726,311.0374
27,2042,382.6047,311.0374
28,2043,402.5893,311.0374
29,2044,431.821,298.7469
30,2045,431.821,311.0374
31,2046,431.821,311.0374
32,2047,431.821,311.0374
33,2048,431.821,311.0374
34,2049,431.821,311.0374
35,2050,431.821,311.0374
36,2051,431.821,310.596
37,2052,431.821,311.0374
38,2053,431.821,311.0374
39,2054,431.821,311.0374
40,2055,431.821,311.0374
41,2056,431.821,311.0374
42,2057,431.821,311.0374
43,2058,431.821,311.0374
44,2059,431.821,311.0374
45,2060,431.821,311.0374
46,2061,431.821,311.0374
47,2062,431.821,311.0374
48,2063,431.821,311.0374
49,2064,431.821,311.0374
50,2065,431.821,311.0374
51,2066,431.821,310.6365
52,2067,431.821,307.6707
53,2068,431.5762,305.5848
54,2069,431.821,301.6475
55,2070,431.821,298.4629
