,y,CO2
0,2015,204.5932
1,2016,202.0502
2,2017,202.3316
3,2018,202.2468
4,2019,202.5447
5,2020,202.7921
6,2021,191.1226
7,2022,198.9726
8,2023,207.4828
9,2024,213.2719
10,2025,228.2003
11,2026,243.9968
12,2027,247.5447
13,2028,250.7372
14,2029,254.5666
15,2030,256.4903
16,2031,262.1784
17,2032,267.8524
18,2033,273.0287
19,2034,279.7314
20,2035,284.3403
21,2036,293.6425
22,2037,302.8084
23,2038,311.8664
24,2039,320.4582
25,2040,317.4304
26,2041,326.4844
27,2042,305.567
28,2043,314.4058
29,2044,320.6076
30,2045,326.7563
31,2046,332.7517
32,2047,335.8754
33,2048,340.0295
34,2049,347.6674
35,2050,354.6223
36,2051,361.9552
37,2052,369.2598
38,2053,376.7839
39,2054,384.4648
40,2055,383.8985
41,2056,384.0829
42,2057,396.2746
43,2058,408.418
44,2059,420.5888
45,2060,433.2873
46,2061,442.1897
47,2062,451.4599
48,2063,460.9861
49,2064,470.5542
50,2065,478.4752
51,2066,486.1455
52,2067,493.8924
53,2068,503.9711
54,2069,514.8215
55,2070,523.3786
