,y,Biomass extraction/production/refining
0,2015.0,86.6077
1,2016.0,88.313
2,2017.0,83.9279
3,2018.0,79.4411
4,2019.0,75.0339
5,2020.0,70.6267
6,2021.0,72.1431
7,2022.0,73.6594
8,2023.0,72.7399
9,2024.0,71.8205
10,2025.0,66.3037
11,2026.0,65.3842
12,2027.0,64.4647
13,2028.0,63.5453
14,2029.0,62.6258
15,2030.0,61.7063
16,2031.0,65.194
17,2032.0,68.6817
18,2033.0,72.1694
19,2034.0,75.6571
20,2035.0,79.1448
21,2036.0,83.552
22,2037.0,87.9591
23,2038.0,92.3663
24,2039.0,96.7734
25,2040.0,101.1806
26,2041.0,101.1806
27,2042.0,101.1806
28,2043.0,101.1806
29,2044.0,101.1806
30,2045.0,101.1806
31,2046.0,101.1806
32,2047.0,101.1806
33,2048.0,101.1806
34,2049.0,101.1806
35,2050.0,101.1806
36,2051.0,103.8249
37,2052.0,106.5485
38,2053.0,109.3538
39,2054.0,112.2433
40,2055.0,115.2195
41,2056.0,112.1955
42,2057.0,115.3529
43,2058.0,118.6051
44,2059.0,121.9548
45,2060.0,125.405
46,2061.0,126.5229
47,2062.0,127.7475
48,2063.0,131.5176
49,2064.0,135.4008
50,2065.0,139.4006
51,2066.0,143.5203
52,2067.0,147.7636
53,2068.0,152.1342
54,2069.0,156.6359
55,2070.0,161.2727
