,y,Biomass & Waste CHP plant - OTF/OTS cooling (new),Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (new),New Assiut Barrage,Light Fuel Oil power plant - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (new),CSP (without storage),CSP (with storage),Aswan 1 FPV,Aswan 2 FPV,High Aswan Dam FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
0,2015.0,0.0,0.0,0.0,1.0,0.0,0.35,0.6,0.0,0.25,1.95,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.24,0.0
1,2016.0,0.25,0.0,1.0,0.0,0.0,0.522,0.0,0.0,0.5,0.65,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.2,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.03174,0.0,0.0,9.6,4.8,1.95,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.34,0.0
4,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000875,0.0,0.0,0.0,0.0
5,2021.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.25,0.1,0.10000000000000005,0.25,0.0
6,2022.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000023,0.19999999999999998,0.0,0.0,0.0,0.25,0.050000000000000024,0.04999999999999999,0.25,0.25
7,2023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043466000614957444,0.0919798666291934,0.0,0.25,0.0500000000000001,0.05000000000000005,0.25,0.0
8,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05000000000000007,0.05000000000000027,0.25,0.0
9,2025.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.049999999999999836,0.04999999999999965,0.25,0.0
10,2026.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05000000000000034,0.05000000000000082,0.25,0.0
11,2027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05000000000000027,0.05000000000000004,0.25,0.0
12,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0500000000000006,0.050000000000000266,0.25,0.0
13,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000000000018,0.050000000000000704,0.25,0.0
14,2030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049999999999998566,0.0,0.25,0.0
15,2031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3595552583916565,0.05000000000000273,0.07627598917388997,0.5,0.0
16,2032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05000000000000073,0.07372401082611216,0.5,0.0
17,2033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5908208998491323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0500000000000006,0.0500000000000011,0.5,0.0
18,2034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.846569694959057,0.445495204213236,0.7359297981502056,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.050000000000000974,0.05000000000000111,0.5,0.0
19,2035.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9943177213450357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05000000000000113,0.050000000000000974,0.5,0.0
20,2036.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9573062856901805,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05000000000000021,0.050000000000000475,0.5,0.0
21,2037.0,0.0,1.0,0.0,0.0,0.0,0.0,0.954700791444391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.050000000000002646,0.05000000000000208,0.5,0.0
22,2038.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9390425096387819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05000000000000145,0.05000000000000091,0.5,0.0
23,2039.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4948301611494196,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.050000000000001155,0.050000000000001196,0.5,0.0
24,2040.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3603947364772968,0.0,0.0,0.05192052774124305,0.0,0.715398962671504,0.5,0.04999999999998847,0.04999999999999999,0.5,0.0
25,2041.0,0.0,1.5,0.0,0.0,0.0,0.0,0.9650585968327142,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.15000000000000005,0.15000000000000369,0.75,0.0
