,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,power_trade
0,2015.0,0.0,38.64,437.88,66.14,0.0,0.07,0.0,9.92,11.96,3.18
1,2016.0,0.0,31.17,451.22,66.14,0.0,0.27,0.0,12.43,15.92,0.0
2,2017.0,0.0,11.29,471.23,66.14,0.0,0.27,0.0,12.43,15.92,9.23
3,2018.0,0.0,7.57,481.37,67.09,0.0,0.6,0.0,16.69,15.92,6.61
4,2019.0,0.0,7.57,499.79,67.09,0.0,0.6,0.0,16.69,15.92,-2.34
5,2020.0,0.0,7.57,508.34,67.09,0.0,1.27,0.0,16.69,15.92,-2.21
6,2021.0,0.0,7.19,471.93,67.09,11.72,4.59,0.0,19.48,16.9,59.92
7,2022.0,0.0,6.83,533.68,67.09,17.59,7.08,0.0,25.48,17.89,58.6
8,2023.0,0.0,6.44,556.61,67.09,17.59,9.57,0.95,28.27,17.29,45.34
9,2024.0,0.0,6.06,575.72,67.09,17.59,12.07,0.95,31.06,16.7,35.22
10,2025.0,80.04,5.68,502.84,67.09,17.59,14.56,0.95,33.85,13.11,40.01
11,2026.0,160.08,5.3,441.93,67.09,17.59,17.06,0.95,36.64,12.51,29.83
12,2027.0,160.08,4.92,461.05,67.09,17.59,19.55,0.95,39.43,11.91,19.63
13,2028.0,160.08,4.55,480.18,67.09,17.59,22.04,0.95,42.22,11.31,9.4
14,2029.0,160.08,4.17,492.62,67.09,17.59,22.87,0.95,45.01,10.72,7.48
15,2030.0,160.08,3.79,500.9,67.09,17.59,23.2,0.95,47.8,10.12,10.31
16,2031.0,160.08,3.4,538.72,67.09,17.59,26.68,0.95,53.73,9.52,11.93
17,2032.0,160.08,3.02,578.0,67.09,17.59,31.08,0.95,59.65,8.92,11.03
18,2033.0,160.08,5.58,601.3,67.09,17.59,35.24,0.95,65.58,8.33,23.23
19,2034.0,160.08,10.95,634.64,67.09,17.59,39.41,0.95,71.5,7.73,22.57
20,2035.0,186.76,16.17,641.31,67.09,17.59,43.56,0.95,77.43,7.13,21.92
21,2036.0,213.44,18.25,649.72,67.09,17.59,47.72,0.95,83.36,7.13,22.0
22,2037.0,240.12,17.7,662.33,67.09,17.59,51.9,0.95,89.28,7.13,20.4
23,2038.0,266.79,17.15,672.73,67.09,17.59,56.06,0.95,95.21,7.13,20.92
24,2039.0,293.47,16.59,683.77,67.09,17.59,60.21,0.95,101.13,7.13,20.68
25,2040.0,320.15,6.74,691.29,67.09,17.59,64.31,6.33,104.05,7.13,30.87
26,2041.0,360.17,0.0,700.81,67.09,17.59,69.94,6.33,110.95,7.13,30.14
27,2042.0,373.51,0.0,718.56,67.09,17.59,75.77,6.33,120.35,7.13,38.29
28,2043.0,386.85,0.0,747.72,67.09,17.59,81.27,6.33,125.49,7.13,39.53
29,2044.0,400.19,0.0,772.99,67.09,17.59,87.09,6.33,134.9,7.13,39.91
30,2045.0,413.53,0.0,804.25,67.09,17.59,92.27,6.33,144.31,7.13,34.88
31,2046.0,413.53,0.0,867.37,67.09,5.87,96.43,6.33,150.58,7.13,27.06
32,2047.0,413.53,0.0,925.14,67.09,0.0,100.58,6.33,153.64,7.13,21.81
33,2048.0,453.55,0.0,835.19,67.09,0.0,104.75,6.33,159.91,7.13,108.4
34,2049.0,466.89,0.0,880.85,67.09,0.0,108.91,6.33,166.18,7.13,99.31
35,2050.0,480.23,0.0,915.22,67.09,0.0,113.07,6.33,172.45,7.13,94.71
36,2051.0,493.57,0.0,957.28,67.09,0.0,117.23,6.33,178.72,7.13,88.07
37,2052.0,506.91,0.0,997.98,67.09,0.0,121.4,6.33,184.99,7.13,84.8
38,2053.0,520.25,0.0,1040.44,67.09,0.0,125.57,6.33,191.26,7.13,81.83
39,2054.0,533.59,0.0,1083.72,67.09,0.0,131.39,6.33,197.54,7.13,78.55
40,2055.0,493.57,0.0,1157.57,67.09,0.0,137.22,6.33,203.81,7.13,100.27
41,2056.0,453.55,0.0,1247.75,67.09,0.0,140.65,6.33,208.09,3.17,116.28
42,2057.0,493.57,0.0,1265.53,67.09,0.0,143.14,6.33,220.06,3.17,116.35
43,2058.0,533.59,0.0,1285.5,67.09,0.0,145.63,6.33,232.55,3.17,116.14
44,2059.0,573.61,0.0,1311.13,67.09,1.16,148.14,6.33,245.32,3.17,111.39
45,2060.0,613.63,0.0,1339.99,67.09,3.12,150.63,6.33,258.08,3.17,105.24
46,2061.0,626.97,0.0,1391.68,67.09,10.53,154.8,6.33,264.36,1.58,106.61
47,2062.0,640.31,0.0,1448.35,67.09,19.18,158.95,6.33,270.63,0.0,104.56
48,2063.0,653.65,0.0,1507.26,67.09,26.81,163.11,6.33,276.9,0.0,102.61
49,2064.0,666.99,0.0,1565.27,67.09,34.21,167.28,6.33,283.17,0.0,104.78
50,2065.0,680.33,0.0,1606.98,67.09,60.18,171.43,6.33,289.44,0.0,107.8
51,2066.0,693.67,0.0,1649.61,67.09,86.14,173.93,6.33,305.4,0.0,105.13
52,2067.0,707.01,0.0,1689.68,67.09,112.1,176.43,6.33,321.37,0.0,108.27
53,2068.0,720.35,0.0,1750.64,67.09,127.22,178.92,6.33,337.35,0.0,104.86
54,2069.0,733.68,0.0,1827.76,67.09,129.81,181.42,6.33,353.31,0.0,101.37
55,2070.0,747.02,0.0,1884.02,67.09,165.07,183.91,6.33,369.29,0.0,89.85
