,y,Biomass & Waste CHP plant - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Jordan Historic EL trade link,Egypt - Saudi Arabia Planned EL trade link,Egypt - Sudan Historic and Planned EL trade link,Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Aswan 1,Aswan 2,Esna,High Aswan Dam,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),New Assiut Barrage,Naga Hamadi,Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Libya - Egypt Historic EL trade link,Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),CSP (without storage),CSP (with storage),Aswan 1 FPV,Aswan 2 FPV,High Aswan Dam FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
0,2015.0,0.0,11.9566,0.0,0.0,0.0,11.9837,0.0,3.3799,7.1769,0.982,4.8842,8.3886,8.089,2.3961,45.2983,0.0063,0.0,0.6291,0.9509,1.9174,0.0,1.4311,5.0931,16.0077,55.699,0.0,19.2171,6.6699,267.2741,11.7615,0.0,61.2463,0.0,0.0,0.0,0.0,0.0,0.0679,0.0,0.0,9.9207,0.0
1,2016.0,3.9593,11.9566,0.0,0.0,0.0,11.9837,0.0,0.676,0.0,0.5838,4.8842,8.3886,8.089,2.3961,45.2983,0.0063,0.0,0.6291,0.9509,1.9174,0.0,1.4311,5.0931,16.0077,55.699,0.0,19.2171,19.6338,267.2741,11.7615,0.0,61.2463,0.0,0.0,0.0,0.0,0.0,0.2681,0.0,0.0,12.4291,0.0
2,2017.0,3.9593,11.9566,0.0,0.0,0.0,11.9837,0.0,0.676,0.0,0.5838,4.8842,8.3886,8.089,2.3961,45.2983,0.0063,0.0,0.6291,0.9509,1.9174,0.0,1.4311,5.0931,16.0077,55.699,0.0,19.2171,28.9867,267.2741,11.7615,0.0,61.2463,0.0,0.0,0.0,0.0,0.0,0.2681,0.0,0.0,12.4291,0.0
3,2018.0,3.9593,11.9566,0.0,0.0,0.0,11.9837,0.0,0.676,0.0,0.5838,4.8842,8.3886,8.089,2.3961,45.2983,0.0063,0.0,0.6291,0.9509,1.9174,0.0,1.4311,5.0931,16.0077,55.699,33.7416,19.2171,0.0,267.2741,11.7615,0.0,61.2463,0.0,0.0,0.0,0.0,0.0,0.6018,0.0,0.0,16.6933,0.0
4,2019.0,3.9593,11.9566,0.0,0.0,0.0,11.9837,0.0,0.676,0.0,0.5838,4.8842,8.3886,8.089,2.3961,45.2983,0.0063,0.0,0.6291,0.9509,1.9174,0.0,1.4311,5.0931,16.0077,55.699,43.0945,19.2171,0.0,267.2741,11.7615,0.0,61.2463,0.0,0.0,0.0,0.0,0.0,0.6018,0.0,0.0,16.6933,0.0
5,2020.0,3.9593,11.9566,0.0,0.0,0.0,11.9837,0.0,0.676,0.0,0.5838,4.8842,8.3886,8.089,2.3961,45.2983,0.0063,0.0,0.6291,0.9509,1.9174,0.0,1.4311,5.0931,8.8992,55.699,57.1514,19.2171,1.737,267.2741,11.7615,0.0,61.2463,0.0,0.0,0.0,0.0,0.0,1.2693,0.0,0.0,16.6933,0.0
6,2021.0,5.5431,11.3588,0.0,0.8495,71.8627,59.9184,0.0,0.6422,0.0,0.5546,4.64,8.3886,8.089,2.3961,45.2983,0.0063,13.7552,15.1893,0.9509,1.9174,0.0,1.3595,5.0931,0.0,10.5828,82.7431,3.6512,102.2844,50.7821,11.1734,0.0,58.184,5.1926,6.5328,0.0,0.0,0.0,2.9378,0.6674,0.9828,19.4833,0.0
7,2022.0,7.1268,10.761,0.0,0.8274,0.0,59.9184,0.0,0.6084,0.0,0.5254,4.3958,8.3886,8.089,2.3961,45.2983,0.0063,13.7552,15.1893,0.9509,1.9174,0.0,1.288,5.0931,0.0,10.0258,113.9663,3.4591,139.8753,48.1093,10.5853,0.0,55.1217,7.7888,9.7993,0.9041,0.8718,6.7688,4.6063,1.0011,1.4742,22.2732,3.2086
8,2023.0,8.7106,10.1631,0.0,0.0,0.0,59.9184,0.0,0.5746,0.0,0.4963,4.1516,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,1.2164,5.0931,0.0,9.4688,162.4591,3.2669,168.0806,45.4366,9.9972,0.0,52.0594,10.3851,13.0657,0.9041,0.8718,6.7688,6.2748,1.3348,1.9656,25.0632,6.4172
9,2024.0,10.2943,9.5653,0.0,0.0,0.0,57.508,0.0,0.5408,0.0,0.4671,3.9074,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,1.1448,5.0931,0.0,8.9118,207.8224,3.0747,168.0806,42.7638,9.4092,0.0,48.997,10.3851,13.0657,0.9041,0.8718,6.7688,7.9432,1.6686,2.457,27.8531,9.6258
10,2025.0,10.2943,5.9783,80.0384,0.0,0.0,59.9184,0.0,0.507,0.0,0.4379,3.6632,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,1.0733,5.0931,0.0,8.3549,154.6747,2.8826,157.3357,40.0911,8.8211,0.0,45.9347,10.3851,13.0657,0.9041,0.8718,6.7688,9.6117,2.0023,2.9483,30.6431,10.1029
11,2026.0,10.2943,5.3805,160.0767,0.0,0.0,49.7406,0.0,0.4732,0.0,0.4087,3.4189,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,1.0017,5.0931,0.0,7.7979,97.1917,2.6904,160.9742,37.4184,8.233,0.0,42.8724,10.3851,13.0657,0.9041,0.8718,6.7688,11.2802,2.336,3.4397,33.4331,10.1029
12,2027.0,10.2943,4.7827,160.0767,0.0,0.0,46.1605,0.0,0.4394,0.0,0.3795,3.1747,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.9302,5.0931,1.6812,7.2409,109.2975,2.4982,168.0806,34.7456,7.645,0.0,39.8101,10.3851,13.0657,0.9041,0.8718,6.7688,11.6236,2.6697,3.9311,36.223,10.1029
13,2028.0,10.2943,4.1848,160.0767,0.0,0.0,47.7499,0.0,0.4056,0.0,0.3503,2.9305,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.8586,5.0931,0.0,6.6839,127.7826,2.306,168.0806,32.0729,7.0569,0.0,36.7478,10.3851,13.0657,0.9041,0.8718,6.7688,11.6235,2.8158,3.9311,39.013,10.1029
14,2029.0,10.2943,3.587,160.0767,0.0,0.0,39.752,0.0,0.3718,0.0,0.3211,2.6863,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.7871,5.0931,1.6812,6.1269,150.4159,2.1139,168.0806,29.4001,6.4688,0.0,33.6855,10.3851,13.0657,0.9041,0.8718,6.7688,12.1432,3.3371,4.9139,41.8029,10.1029
15,2030.0,10.2943,2.9892,160.0767,0.0,0.0,53.7257,0.0,0.338,0.0,0.2919,2.4421,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.7155,5.0931,2.802,5.5699,153.3036,1.9217,168.0806,26.7274,5.8807,0.0,30.6232,10.3851,13.0657,0.9041,0.8718,6.7688,12.6611,3.3371,4.9139,44.5929,10.1029
16,2031.0,10.2943,2.3913,160.0767,0.0,0.0,43.2776,0.0,0.3042,0.0,0.2627,2.1979,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.644,5.0931,0.0,5.0129,212.5441,1.7295,168.0806,24.0547,5.2927,0.0,27.5608,10.3851,13.0657,0.9041,0.8718,6.7688,15.9982,4.0045,4.9139,50.5183,10.1029
17,2032.0,10.2943,1.7935,160.0767,0.0,0.0,35.9189,0.0,0.2704,0.0,0.2335,1.9537,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.5724,5.0931,8.3861,4.4559,256.1228,1.5374,168.0806,21.3819,4.7046,0.0,24.4985,10.3851,13.0657,0.9041,0.8718,6.7688,19.3352,4.3382,6.3881,56.4438,10.1029
18,2033.0,10.2943,1.1957,160.0767,0.0,0.0,36.1127,0.0,0.2366,0.0,0.2043,1.7095,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.5009,5.0931,16.0077,19.4947,256.1228,6.726,168.0806,35.5212,4.1165,0.0,21.4362,10.3851,13.0657,0.9041,0.8718,6.7688,22.6723,4.6719,6.8795,62.3692,10.1029
19,2034.0,10.2943,0.5978,160.0767,0.0,0.0,36.742,8.019,0.3183,4.0665,0.2749,1.4653,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.4293,5.0931,16.0077,16.7097,256.1228,5.7651,168.0806,68.4142,3.5284,0.0,18.3739,10.3851,13.0657,0.9041,0.8718,6.7688,26.0093,5.0057,7.3709,68.2946,10.1029
