,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Wind,Biomass,Coal Production,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2015.0,0.0,249.86,4934.32,8461.98,0.0,0.0,0.01,440.32,0.16,105.36,64.49,1.38
1,2016.0,0.0,240.03,5057.09,8461.98,0.0,0.0,0.01,586.13,0.15,99.98,62.0,1.39
2,2017.0,0.0,240.03,5145.66,8461.98,0.0,0.0,0.01,586.13,0.2,94.46,60.93,1.41
3,2018.0,0.0,240.03,4880.04,8461.98,0.0,0.0,0.02,586.13,0.2,98.02,61.57,1.42
4,2019.0,0.0,240.03,4882.5,8461.98,0.0,0.0,0.02,586.13,0.22,97.03,60.72,1.64
5,2020.0,0.0,240.03,5373.52,8461.98,0.0,0.01,0.02,586.13,0.23,96.03,59.87,1.66
6,2021.0,0.0,228.03,4071.36,12002.45,0.32,0.03,0.02,622.44,0.23,97.38,61.02,1.52
7,2022.0,0.0,216.02,4439.3,12002.45,0.48,0.05,0.02,658.75,0.24,98.72,62.16,1.58
8,2023.0,0.0,204.03,4865.69,12248.9,0.64,0.06,0.04,695.05,0.24,100.06,63.3,1.65
9,2024.0,0.0,192.03,5059.82,12248.9,0.64,0.08,0.04,731.36,0.24,101.4,64.44,1.69
10,2025.0,2279.76,180.02,4444.15,12248.9,0.64,0.09,0.04,599.26,3.25,102.75,65.58,1.63
11,2026.0,4559.52,168.02,3902.94,12248.9,0.64,0.1,0.05,577.25,1.35,103.05,65.84,1.59
12,2027.0,4559.52,156.01,3915.71,12248.9,0.64,0.12,0.05,555.23,0.0,94.08,58.21,1.61
13,2028.0,4559.52,144.0,3898.17,12248.9,0.64,0.12,0.05,533.21,0.0,85.1,50.58,1.62
14,2029.0,4559.52,132.01,3936.29,12248.9,0.64,0.13,0.06,511.2,0.0,76.12,42.94,1.64
15,2030.0,4559.52,120.0,3823.88,12248.9,0.64,0.13,0.06,489.18,0.0,54.43,24.5,1.65
16,2031.0,4559.52,108.0,4100.1,12248.9,0.64,0.16,0.07,467.16,0.0,0.0,0.0,1.7
17,2032.0,4559.52,96.0,4343.16,12248.9,0.64,0.19,0.07,445.15,0.0,0.0,0.0,1.75
18,2033.0,4559.52,84.0,4418.24,12248.9,0.64,0.21,0.08,423.13,0.0,0.0,0.0,1.79
19,2034.0,4559.52,437.64,4612.71,12248.9,0.64,0.25,0.09,401.12,0.0,0.0,0.0,1.82
20,2035.0,4559.52,571.51,4841.18,12248.9,0.64,0.27,0.09,379.1,0.0,0.0,0.0,1.84
21,2036.0,5319.44,554.21,5048.44,12248.9,0.64,0.3,0.1,379.1,0.0,0.0,0.0,1.86
22,2037.0,6079.36,536.92,5205.06,12248.9,0.64,0.33,0.11,379.1,0.0,0.0,0.0,1.88
23,2038.0,6839.28,519.63,5288.04,12248.9,0.64,0.35,0.11,379.1,0.0,0.0,4.77,1.48
24,2039.0,7599.2,490.42,5059.45,12248.9,0.64,0.37,0.12,379.1,0.0,0.0,4.77,1.38
25,2040.0,8359.12,214.43,5100.71,12248.9,0.64,0.4,0.12,379.1,0.0,0.0,4.77,1.29
26,2041.0,9499.0,0.0,5011.97,12248.9,0.64,0.44,0.13,379.1,0.0,0.0,4.77,1.3
27,2042.0,10638.88,0.0,5045.31,12248.9,0.64,0.48,0.14,379.1,0.0,0.0,4.77,0.98
28,2043.0,11018.84,0.0,5215.98,12248.9,0.64,0.52,0.15,379.1,0.0,0.0,4.77,0.01
29,2044.0,11398.8,0.0,5412.07,12248.9,0.64,0.55,0.16,379.1,0.0,0.0,4.77,0.0
30,2045.0,11778.76,0.0,5598.89,12248.9,0.64,0.59,0.17,379.1,0.0,0.0,4.77,0.0
31,2046.0,11778.76,0.0,6041.64,12248.9,0.32,0.61,0.17,379.1,0.0,0.0,4.77,0.0
32,2047.0,11778.76,0.0,6098.08,12248.9,0.16,0.64,0.18,379.1,0.0,0.0,4.77,0.0
33,2048.0,12918.64,0.0,6153.02,12248.9,0.0,0.66,0.18,379.1,0.0,0.0,4.77,0.0
34,2049.0,13298.6,0.0,6337.27,12248.9,0.0,0.68,0.18,379.1,0.0,0.0,4.77,0.0
35,2050.0,13678.56,0.0,6569.21,12248.9,0.0,0.72,0.19,379.1,0.0,0.0,4.77,0.0
36,2051.0,14058.52,0.0,6833.7,12248.9,0.0,0.74,0.2,379.1,0.0,0.0,4.77,0.0
37,2052.0,14438.48,0.0,7093.82,12248.9,0.0,0.77,0.21,379.1,0.0,0.0,4.77,0.0
38,2053.0,14818.44,0.0,7371.54,12248.9,0.0,0.82,0.21,379.1,0.0,0.0,4.77,0.0
39,2054.0,15198.4,0.0,7662.69,12248.9,0.0,0.84,0.22,379.1,0.0,0.0,4.77,0.0
40,2055.0,14058.52,0.0,8337.03,12248.9,0.0,0.88,0.24,379.1,0.0,0.0,0.0,0.0
41,2056.0,12918.64,0.0,9053.71,12248.9,0.1,0.9,0.25,233.3,0.0,0.0,0.0,0.0
42,2057.0,14058.52,0.0,9191.47,12248.9,0.1,0.91,0.26,233.3,0.0,0.0,0.0,0.0
43,2058.0,15198.4,0.0,9340.28,12248.9,0.1,0.92,0.28,233.3,0.0,0.0,0.0,0.0
44,2059.0,16338.28,0.0,9501.68,12248.9,0.1,0.96,0.29,233.3,0.0,0.0,0.0,0.0
45,2060.0,17478.16,0.0,9683.41,12248.9,0.14,0.97,0.3,233.3,0.0,0.0,0.0,0.0
46,2061.0,17858.12,0.0,10076.35,12248.9,0.36,0.99,0.31,174.97,0.0,0.0,0.0,0.0
47,2062.0,18238.08,0.0,10536.59,12248.9,0.61,1.02,0.32,116.65,0.0,0.0,0.0,0.0
48,2063.0,18618.04,0.0,11021.98,12248.9,0.87,1.04,0.32,58.32,0.0,0.0,0.0,0.0
49,2064.0,18998.0,0.0,11499.55,12248.9,1.15,1.07,0.33,0.0,0.0,0.0,0.0,0.0
50,2065.0,19377.96,0.0,11804.69,12248.9,1.85,1.09,0.34,0.0,0.0,0.0,0.0,0.0
51,2066.0,19757.92,0.0,12100.12,12248.9,2.56,1.11,0.35,0.0,0.0,0.0,0.0,0.0
52,2067.0,20137.88,0.0,12354.72,12248.9,3.27,1.12,0.38,0.0,0.0,0.0,0.0,0.0
53,2068.0,20517.84,0.0,12864.15,12248.9,3.46,1.13,0.39,0.0,0.0,0.0,0.0,0.0
54,2069.0,20897.8,0.0,13446.83,12248.9,3.53,1.17,0.41,0.0,0.0,0.0,0.0,0.0
55,2070.0,21277.76,0.0,13827.1,12248.9,4.49,1.18,0.43,0.0,0.0,0.0,0.0,0.0
