,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Wind,Biomass,Geothermal,power_trade
0,2015.0,0.0,1.7,0.0,28.22,0.07,0.0,3.33,0.75,0.21,2.35
1,2016.0,0.0,2.2,0.0,29.68,0.08,0.0,3.33,0.75,0.21,2.35
2,2017.0,0.0,3.93,0.0,36.14,0.09,0.0,3.33,0.75,0.21,2.35
3,2018.0,0.0,5.67,0.0,41.89,0.09,0.0,3.33,0.75,0.21,3.0
4,2019.0,0.0,0.68,0.0,5.08,0.06,0.0,1.29,0.0,0.21,57.16
5,2020.0,0.0,0.68,0.0,7.08,0.08,0.0,1.72,0.0,3.43,59.9
6,2021.0,0.0,0.65,0.0,7.62,0.05,0.0,1.67,0.27,7.98,59.79
7,2022.0,0.0,0.62,0.0,9.14,0.08,0.0,2.39,0.25,10.66,60.37
8,2023.0,0.0,0.58,0.15,9.69,0.08,0.0,2.2,0.24,16.03,60.43
9,2024.0,0.0,0.55,0.28,9.85,0.06,0.0,1.7,0.22,22.73,60.29
10,2025.0,0.0,0.51,0.65,10.81,0.06,0.0,1.79,0.14,28.09,60.34
11,2026.0,0.0,0.48,1.49,16.04,0.07,0.0,2.8,0.13,28.08,60.43
12,2027.0,0.0,0.44,2.39,22.89,0.07,0.0,2.71,0.11,28.07,60.43
13,2028.0,0.0,0.41,3.34,29.02,0.06,0.0,2.62,0.36,28.06,61.3
14,2029.0,0.0,0.38,6.15,33.72,0.06,0.0,2.53,0.4,28.05,62.48
15,2030.0,0.0,0.34,8.62,38.64,0.06,0.0,2.44,0.33,28.04,64.54
16,2031.0,0.0,0.31,13.76,44.22,0.05,0.0,2.36,0.26,28.03,64.54
17,2032.0,0.0,0.27,17.78,47.68,3.52,0.0,2.27,0.24,28.02,64.41
18,2033.0,0.0,0.24,20.37,49.21,11.63,0.0,2.18,0.16,28.01,63.04
19,2034.0,0.0,0.2,21.85,49.54,17.43,0.0,2.09,0.08,33.49,62.27
20,2035.0,0.0,0.17,22.16,50.02,24.79,0.0,2.0,0.0,40.18,62.73
21,2036.0,0.0,0.14,22.04,50.37,31.5,0.0,1.91,0.0,46.88,63.57
22,2037.0,0.0,0.1,20.8,50.02,41.18,0.0,1.83,0.0,53.57,63.92
23,2038.0,0.0,0.07,20.66,50.06,50.85,0.0,1.74,0.0,60.26,64.05
24,2039.0,0.0,0.03,19.7,49.77,62.12,0.0,1.65,0.0,66.94,64.82
25,2040.0,0.0,0.0,21.68,49.78,73.96,0.0,0.0,0.0,73.63,64.7
26,2041.0,0.0,0.0,19.45,48.55,87.73,0.0,0.0,0.0,80.32,62.9
27,2042.0,0.0,0.0,20.04,48.93,96.2,0.0,0.0,0.0,87.01,63.82
28,2043.0,0.0,0.0,19.99,48.37,107.86,0.0,0.0,0.0,93.71,63.77
29,2044.0,0.0,0.0,19.72,47.23,120.65,0.0,0.0,0.0,100.4,64.31
30,2045.0,0.0,0.0,18.38,45.7,140.02,0.0,0.0,0.0,102.96,64.02
31,2046.0,0.0,0.0,18.35,45.79,158.4,0.0,0.0,0.0,104.24,64.58
32,2047.0,0.0,0.0,16.3,43.17,181.79,0.0,0.0,0.0,106.34,64.58
33,2048.0,0.0,0.0,16.78,42.14,205.96,0.0,0.0,0.0,111.38,63.32
34,2049.0,0.0,0.0,17.83,43.5,230.12,0.0,0.0,0.0,110.82,63.3
35,2050.0,2.76,0.0,16.57,42.97,248.14,0.0,0.0,0.0,110.74,63.47
36,2051.0,3.53,0.0,13.5,36.71,273.06,0.0,0.0,0.0,118.86,63.1
37,2052.0,3.66,0.0,11.85,33.64,293.09,0.0,0.0,0.0,125.56,62.04
38,2053.0,3.66,0.0,11.61,33.38,306.88,0.0,0.0,0.0,131.62,61.77
39,2054.0,4.34,0.0,11.32,32.12,329.82,0.0,0.0,0.0,110.02,61.58
40,2055.0,6.42,0.0,11.06,32.65,345.23,0.0,0.0,0.0,110.91,61.58
41,2056.0,8.55,0.0,10.8,33.74,360.21,0.0,0.0,0.0,112.44,61.58
42,2057.0,12.44,0.0,10.08,36.37,372.65,0.0,0.0,0.0,114.78,61.58
43,2058.0,18.01,0.0,7.94,37.08,387.38,0.0,0.0,0.0,116.91,61.58
44,2059.0,20.92,0.0,5.73,37.02,405.09,3.67,2.58,0.0,128.98,46.23
45,2060.0,18.04,0.0,4.62,50.7,414.86,4.15,13.56,0.0,129.88,37.73
46,2061.0,15.91,0.0,3.37,58.33,424.62,3.85,16.6,0.0,129.01,38.22
47,2062.0,14.53,0.0,2.64,61.75,438.1,4.07,15.37,0.0,128.33,41.34
48,2063.0,14.38,0.0,2.64,61.52,448.86,4.79,20.81,0.0,128.82,41.32
49,2064.0,14.58,0.0,2.64,61.94,464.52,6.3,21.0,0.0,129.79,39.1
50,2065.0,15.22,0.0,2.64,62.95,468.71,8.9,27.15,0.0,131.76,41.34
51,2066.0,15.78,0.0,2.59,61.98,470.48,15.25,37.52,0.0,133.28,41.34
52,2067.0,16.69,0.0,2.44,64.29,479.63,22.84,41.89,0.0,134.03,35.3
53,2068.0,16.77,2.14,0.19,51.29,495.52,20.01,41.52,0.0,128.45,61.58
54,2069.0,16.91,2.48,0.0,59.09,504.4,18.43,44.39,0.0,131.23,61.58
55,2070.0,17.18,2.6,0.0,60.97,526.96,18.42,38.27,0.0,134.03,61.58
