,y,Coal power plant - Air cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (new),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new)
0,2015.0,0.0,0.0,0.918,1.1702,0.0,0.0
1,2016.0,0.0,0.0,1.264,1.399,0.0,0.0
2,2017.0,0.0,0.0,2.9938,1.399,0.0,0.0
3,2018.0,0.0,0.0,4.7256,1.399,0.0,0.0
4,2019.0,0.0,0.0,0.0,1.0213,0.0,0.0
5,2020.0,0.0,0.0,0.0,1.0213,0.0,0.0
6,2021.0,0.0,0.0,0.0,0.9702,0.0,0.0
7,2022.0,0.0,0.0,0.0,0.9191,0.0,0.0
8,2023.0,0.0,0.0,0.0,0.8681,0.0,0.1478
9,2024.0,0.0,0.0,0.0,0.817,0.0,0.2763
10,2025.0,0.0,0.0,0.0,0.7659,0.0,0.6476
11,2026.0,0.0,0.0,0.0,0.7149,0.0,1.4895
12,2027.0,0.0,0.0,0.0,0.6638,0.26980000000000004,2.1271
13,2028.0,0.0,0.0036,0.0,0.6127,1.2644,2.1271
14,2029.0,0.0,0.0036,0.0,0.5617,4.1869,2.1271
15,2030.0,0.0,0.00030000000000000003,0.0,0.5105999999999999,6.7658,2.1271
16,2031.0,0.0,0.0017000000000000001,0.0,0.4596,12.1253,2.1271
17,2032.0,0.0,0.0021,0.0,0.40859999999999996,16.309,2.1271
18,2033.0,0.0,0.0021,0.0,0.3575,19.014599999999998,2.1271
19,2034.0,0.0,0.0036,0.0,0.3064,20.5498,2.1271
20,2035.0,0.0,0.0036,0.0,0.2553,20.8797,2.1271
21,2036.0,0.0,0.0036,0.0,0.20429999999999998,20.7486,2.1271
22,2037.0,0.0,0.0031,0.0,0.1532,19.858900000000002,1.7475
23,2038.0,0.0,0.0021,0.0,0.1021,19.2927,2.1506
24,2039.0,0.0,0.001,0.0,0.0511,18.5381,1.9073
25,2040.0,0.0,0.00030000000000000003,0.0,0.0,18.713099999999997,3.7309
26,2041.0,0.0,0.0,0.0,0.0,17.7285,2.4358
27,2042.0,0.0,0.00030000000000000003,0.0,0.0,17.8521,2.9139
28,2043.0,0.0,0.00030000000000000003,0.0,0.0,18.5642,2.1756
29,2044.0,0.0,0.00030000000000000003,0.0,0.0,18.0782,2.3745
30,2045.0,0.0,0.00030000000000000003,0.0,0.0,16.8737,2.1935
31,2046.0,0.0,0.00030000000000000003,0.0,0.0,16.5994,2.4177
32,2047.0,0.0,0.00030000000000000003,0.0,0.0,14.725100000000001,2.1744
33,2048.0,0.0,0.00030000000000000003,0.0,0.0,15.3798,2.0232
34,2049.0,0.0,0.00030000000000000003,0.0,0.0,16.6175,1.8919
35,2050.0,2.7645,0.00030000000000000003,0.0,0.0,15.6997,1.5124
36,2051.0,3.5289,0.00030000000000000003,0.0,0.0,13.3902,0.6518
37,2052.0,3.6648,0.00030000000000000003,0.0,0.0,12.347299999999999,0.0
38,2053.0,3.6648,0.0,0.0,0.0,12.0954,0.0
39,2054.0,4.3443,0.0,0.0,0.0,11.7932,0.0
40,2055.0,6.4201,0.0,0.0,0.0,11.5307,0.0
41,2056.0,8.5525,0.0,0.0,0.0,11.2571,0.0
42,2057.0,12.4356,0.0,0.0,0.0,10.5039,0.0
43,2058.0,18.0147,0.0,0.0,0.0,8.2726,0.0
44,2059.0,20.9187,0.0,0.0,0.0,5.9677,0.0
45,2060.0,18.0354,0.0,0.0,0.0,4.8156,0.0
46,2061.0,15.9082,0.0,0.0,0.0,3.5084,0.0
47,2062.0,14.5337,0.0,0.0,0.0,2.7499000000000002,0.0
48,2063.0,14.3816,0.0,0.0,0.0,2.7499000000000002,0.0
49,2064.0,14.5848,0.0,0.0,0.0,2.7499000000000002,0.0
50,2065.0,15.2242,0.0,0.0,0.0,2.7499000000000002,0.0
51,2066.0,15.7767,0.0,0.0,0.0,2.6942000000000004,0.0
52,2067.0,16.6941,0.0,0.0,0.0,2.5472,0.0
53,2068.0,16.772,0.1366,2.0475,0.0,0.2018,0.0
54,2069.0,16.9091,0.15839999999999999,2.3745,0.0,0.0,0.0
55,2070.0,17.1773,0.1663,2.4937,0.0,0.0,0.0
