,y,Amarti-Neshe FPV,Birbir FPV,Baro FPV,Chemoga Yeda FPV,Finchaa FPV,Genji FPV,Karadobi FPV,Lower Dabus FPV,Lower Dedessa FPV,Lake Tana - Beles FPV,Renaissance FPV,Tekeze 1 FPV,Tekeze 2 FPV,Upper Mandaya FPV
0,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2057.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2060.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0959,0.0,0.0,0.0,5.7829,0.0,0.0,0.0
6,2061.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0959,0.0,0.0,0.0,11.2241,0.0,0.0,0.0
7,2062.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0959,0.0,0.0,0.0,17.007,0.0,0.0,0.0
8,2063.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0959,0.0,0.0,0.0,17.876,0.0,0.0,0.0
9,2064.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0959,0.0,0.0,0.0,20.5915,0.0,0.0,0.0
10,2065.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0959,0.0,0.0,0.0,26.3744,0.0,0.0,0.0
11,2066.0,0.0,0.0,0.0,0.0,0.6785,0.0,10.0959,0.0,0.0,0.4043,25.4331,1.2528,1.7377,0.0
12,2067.0,0.326,1.1759,0.0,0.0,0.3484,0.0,9.0831,0.0,1.435,1.3094,31.1628,1.2528,1.4702,0.0
13,2068.0,0.3496,1.1759,0.0,0.7984,0.3484,0.0,7.321,0.0,1.745,1.6241,26.4223,1.0867,1.1129,0.0
14,2069.0,0.326,1.4072,1.1166,0.7984,0.3484,0.5216,8.3338,0.5992,1.745,1.8279,31.6644,1.0867,1.1129,0.0
15,2070.0,0.2628,2.0661,1.4798,0.7984,0.3484,0.5216,8.0919,0.5992,1.435,1.6287,37.0105,1.3213,1.1129,4.6332
