,y,Ethiopia - Djibouti EL existing trade link,Ethiopia - Kenya EL planned trade link,Ethiopia - Sudan EL existing trade link
0,2015.0,5.3927,0.0,-3.037
1,2016.0,5.3927,0.0,-3.037
2,2017.0,5.3927,0.0,-3.037
3,2018.0,5.3927,0.0,-2.3933
4,2019.0,5.3927,57.6715,-5.8969
5,2020.0,5.2465,59.9184,-5.2712
6,2021.0,5.2151,59.9184,-5.3539
7,2022.0,5.3927,59.9184,-4.9425
8,2023.0,5.3927,59.9184,-4.8838
9,2024.0,5.2491,59.9184,-4.8838
10,2025.0,5.3002,59.9184,-4.8838
11,2026.0,5.3927,59.9184,-4.8838
12,2027.0,5.3927,59.9184,-4.8838
13,2028.0,5.3927,59.9184,-4.0133
14,2029.0,5.3927,59.9184,-2.8277
15,2030.0,5.3927,59.9184,-0.7715999999999998
16,2031.0,5.3927,59.9184,-0.7715999999999998
17,2032.0,5.3927,59.9184,-0.8988999999999998
18,2033.0,5.3927,59.9184,-2.2675
19,2034.0,5.3927,59.9184,-3.037
20,2035.0,5.3927,59.9184,-2.5755999999999997
21,2036.0,5.3927,59.9184,-1.7423000000000002
22,2037.0,5.3927,59.9184,-1.3916
23,2038.0,5.3927,59.9184,-1.2570999999999999
24,2039.0,5.3927,59.9184,-0.48729999999999984
25,2040.0,5.3927,59.9184,-0.6076999999999999
26,2041.0,5.3927,59.9184,-2.4074999999999998
27,2042.0,5.3927,59.9184,-1.4893
28,2043.0,5.3927,59.9184,-1.5403
29,2044.0,5.3927,59.9184,-1.0042
30,2045.0,5.3927,59.9184,-1.2916999999999998
31,2046.0,5.3927,59.9184,-0.7305000000000001
32,2047.0,5.3927,59.9184,-0.7305000000000001
33,2048.0,5.3927,59.9184,-1.9896000000000003
34,2049.0,5.3927,59.9184,-2.0111
35,2050.0,5.3927,59.9184,-1.8386
36,2051.0,5.3927,59.9184,-2.2075
37,2052.0,5.3927,59.9184,-3.2700000000000005
38,2053.0,5.3927,59.9184,-3.5391000000000004
39,2054.0,5.3927,59.9184,-3.7264
40,2055.0,5.3927,59.9184,-3.7264
41,2056.0,5.3927,59.9184,-3.7264
42,2057.0,5.3927,59.9184,-3.7264
43,2058.0,5.3927,59.9184,-3.7264
44,2059.0,4.5616,45.3983,-3.7264
45,2060.0,3.7213,37.7443,-3.7264
46,2061.0,3.7213,38.227,-3.7264
47,2062.0,3.7213,41.3478,-3.7264
48,2063.0,3.7213,41.3478,-3.7493
49,2064.0,3.7213,39.2092,-3.8301
50,2065.0,3.7213,41.3478,-3.7264
51,2066.0,3.7213,41.3478,-3.7264
52,2067.0,3.2227,35.8074,-3.7264
53,2068.0,5.3927,59.9184,-3.7264
54,2069.0,5.3927,59.9184,-3.7264
55,2070.0,5.3927,59.9184,-3.7264
