,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Wind,Biomass,Geothermal
0,2015.0,0.0,0.149,0.0,1.791,0.01,0.0,0.322,0.196,0.008
1,2016.0,0.0,0.221,0.0,1.791,0.012,0.0,0.322,0.196,0.008
2,2017.0,0.0,0.221,0.0,3.661,0.013,0.0,0.322,0.196,0.008
3,2018.0,0.0,0.221,0.0,3.661,0.013,0.0,0.322,0.196,0.008
4,2019.0,0.0,0.493,0.0,3.661,0.013,0.0,0.322,0.196,0.008
5,2020.0,0.0,0.493,2.574,3.661,0.013,0.0,0.322,0.196,0.128
6,2021.0,0.0,0.486,2.661,3.661,0.012,0.0,0.314,0.186,0.298
7,2022.0,0.0,0.478,2.675,3.661,0.012,0.0,0.305,0.177,0.398
8,2023.0,0.0,0.471,2.675,10.749,0.011,0.0,0.297,0.167,0.598
9,2024.0,0.0,0.464,2.675,10.749,0.011,0.0,0.288,0.157,0.848
10,2025.0,0.0,0.45,2.675,11.129,0.01,0.0,0.279,0.098,1.048
11,2026.0,0.0,0.371,2.675,11.129,0.01,0.0,0.271,0.088,1.082
12,2027.0,0.0,0.364,2.675,11.774,0.009,0.0,0.262,0.078,1.082
13,2028.0,0.0,0.357,2.675,11.774,0.009,0.0,0.254,0.069,1.331
14,2029.0,0.0,0.078,2.675,11.774,0.009,0.0,0.245,0.059,1.581
15,2030.0,0.0,0.071,2.675,11.774,0.008,0.0,0.237,0.049,1.735
16,2031.0,0.0,0.064,2.675,12.774,0.008,0.0,0.228,0.039,1.735
17,2032.0,0.0,0.057,2.675,12.774,0.519,0.0,0.219,0.029,1.985
18,2033.0,0.0,0.05,2.675,12.774,1.217,0.0,0.211,0.02,2.216
19,2034.0,0.0,0.042,2.675,12.774,2.204,0.0,0.202,0.01,2.408
20,2035.0,0.0,0.035,2.675,12.774,3.703,0.0,0.194,0.0,2.584
21,2036.0,0.0,0.028,2.675,12.774,5.034,0.0,0.185,0.0,2.769
22,2037.0,0.0,0.021,2.675,12.774,6.254,0.0,0.177,0.0,3.018
23,2038.0,0.0,0.014,2.675,12.774,7.713,0.0,0.168,0.0,3.268
24,2039.0,0.0,0.007,2.675,12.774,9.213,0.0,0.16,0.0,3.518
25,2040.0,0.0,0.0,2.675,12.774,10.746,0.0,0.0,0.0,3.767
26,2041.0,0.0,0.0,2.675,12.774,13.71,0.0,0.0,0.0,3.768
27,2042.0,0.0,0.0,2.675,12.774,15.894,0.0,0.0,0.0,3.946
28,2043.0,0.0,0.0,2.675,12.774,17.993,0.0,0.0,0.0,4.196
29,2044.0,0.0,0.0,2.675,12.774,20.337,0.0,0.0,0.0,4.445
30,2045.0,0.0,0.0,2.652,12.774,23.337,0.0,0.0,0.0,4.575
31,2046.0,0.0,0.0,2.566,12.774,26.337,0.0,0.0,0.0,4.655
32,2047.0,0.0,0.0,2.551,12.774,29.758,0.0,0.0,0.0,4.805
33,2048.0,0.244,0.0,2.551,12.774,33.258,0.0,0.0,0.0,4.824
34,2049.0,0.607,0.0,2.551,12.774,36.758,0.0,0.0,0.0,4.574
35,2050.0,2.071,0.0,0.0,14.374,40.258,0.0,0.0,0.0,4.374
36,2051.0,2.071,0.0,0.0,14.374,43.267,0.0,0.0,0.0,4.339
37,2052.0,2.071,0.0,0.0,14.374,46.255,0.0,0.0,0.0,4.339
38,2053.0,2.071,0.0,0.0,14.374,49.056,0.0,0.0,0.0,4.292
39,2054.0,2.141,0.0,0.0,14.374,51.568,0.0,0.0,0.0,4.292
40,2055.0,2.261,0.0,0.0,14.59,53.568,0.0,0.0,0.0,4.388
41,2056.0,2.264,0.0,0.0,14.59,55.735,0.0,0.0,0.0,4.638
42,2057.0,2.491,0.047,0.0,14.59,58.014,0.0,0.0,0.0,4.638
43,2058.0,2.686,0.084,0.0,14.59,60.053,0.456,0.0,0.0,4.655
44,2059.0,2.781,0.084,0.0,15.14,62.053,0.456,0.0,0.0,4.713
45,2060.0,2.943,0.084,0.0,15.39,64.02,0.545,0.201,0.0,4.786
46,2061.0,2.943,0.084,0.0,15.347,64.556,1.393,0.733,0.0,4.851
47,2062.0,2.943,0.084,0.0,15.347,65.872,2.016,1.129,0.0,4.851
48,2063.0,2.943,0.084,0.0,15.719,67.274,2.605,1.129,0.0,4.851
49,2064.0,2.943,0.084,0.0,16.186,68.43,3.013,1.129,0.0,4.851
50,2065.0,2.985,0.084,0.0,16.186,70.431,3.61,1.129,0.0,4.851
51,2066.0,2.985,0.084,0.0,16.186,73.316,3.61,1.129,0.0,5.0
52,2067.0,3.066,0.038,0.0,16.434,75.813,3.705,1.129,0.0,5.0
53,2068.0,3.111,0.004,0.0,16.76,78.813,3.901,1.129,0.0,5.0
54,2069.0,3.143,0.004,0.0,16.76,81.813,4.248,1.129,0.0,5.0
55,2070.0,3.171,0.029,0.0,16.76,84.813,4.248,1.522,0.0,5.0
