,y,Dal FPV,Dagash FPV,Jebel Aulia FPV,Kajbar FPV,Mograt FPV,Merowe FPV,Sabaloka FPV,Shereik FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0658,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0717,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.0
4,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.0
5,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0752,0.0
6,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728,0.0
7,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704,0.0
8,2023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0
9,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0656,0.0
10,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0632,0.0
11,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0608,0.0
12,2027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0584,0.0
13,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0
14,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0536,0.0
15,2030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0512,0.0
16,2031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488,0.0
17,2032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0464,3.4372
18,2033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6808,7.9768
19,2034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.187,12.5164
20,2035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1669,12.9215
21,2036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6682,17.4612
22,2037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0184,22.0008
23,2038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6485,26.5404
24,2039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5346,31.08
25,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.423,35.6196
26,2041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.6398,40.1593
27,2042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6175,44.6989
28,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.4032,49.2385
29,2044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0473,53.7781
30,2045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.6032,58.3177
31,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.6151,62.8573
32,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.921,67.397
33,2048.0,2.1018,1.0052,0.0,1.1631,1.0108,3.9643,0.6439,1.3469,0.0,134.6979,71.9366
34,2049.0,2.1018,1.0052,0.0,1.1631,1.0108,3.9643,0.6439,1.3469,0.0,137.8175,76.4762
35,2050.0,2.1018,1.0052,0.0,1.1631,1.0108,3.9643,0.6439,1.3469,0.0,149.2262,81.0158
36,2051.0,2.1018,1.0052,0.0,1.1631,1.0108,3.9643,0.6439,1.3469,0.0,155.2376,85.5554
37,2052.0,2.1018,1.0052,0.0,1.1631,1.0108,3.9643,0.6439,1.3469,0.0,164.7683,86.6578
38,2053.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,0.0,175.6456,86.6578
39,2054.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,1.625,185.7247,86.6578
40,2055.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,1.625,201.4924,90.7923
41,2056.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,1.625,212.5169,90.7923
42,2057.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,3.4849,222.8996,90.7923
43,2058.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,14.9575,232.29,90.7923
44,2059.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,32.7344,241.5346,90.7923
45,2060.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,40.8003,250.8476,90.7923
46,2061.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,42.8568,260.2085,90.7923
47,2062.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,42.8568,268.9755,90.7923
48,2063.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,42.8568,277.1104,90.7923
49,2064.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,48.6955,284.5724,90.7923
50,2065.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,66.4724,292.0021,90.1084
51,2066.0,1.7476,0.8348,0.0472,0.9539,0.8361,3.9643,0.5284,1.1178,80.6472,301.7671,90.068
52,2067.0,1.7476,0.8348,0.0472,0.9539,0.8361,3.9643,0.5284,1.1178,96.8545,313.2381,89.7776
53,2068.0,2.1018,0.8348,0.0472,0.9539,0.8361,3.9643,0.5284,1.1178,112.0044,313.2381,90.7923
54,2069.0,1.7476,0.8348,0.0472,0.9539,0.8361,3.9643,0.5284,1.1178,111.5927,327.8455,90.7923
55,2070.0,2.1018,0.8348,0.0472,0.9539,0.8361,3.9643,0.5284,1.1178,118.5599,334.2636,90.7923
