,y,Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link
0,2015.0,-11.9837,3.037
1,2016.0,-11.9837,3.037
2,2017.0,-11.9837,3.037
3,2018.0,-11.9837,2.3933
4,2019.0,-11.9837,5.8969
5,2020.0,-11.9837,5.2712
6,2021.0,-59.9184,5.3539
7,2022.0,-59.9184,4.9425
8,2023.0,-59.9184,4.8838
9,2024.0,-57.508,4.8838
10,2025.0,-59.9184,4.8838
11,2026.0,-49.7406,4.8838
12,2027.0,-46.1605,4.8838
13,2028.0,-47.7499,4.0133
14,2029.0,-39.752,2.8277
15,2030.0,-53.7257,0.7715999999999998
16,2031.0,-43.2776,0.7715999999999998
17,2032.0,-35.9189,0.8988999999999998
18,2033.0,-36.1127,2.2675
19,2034.0,-36.742,3.037
20,2035.0,-52.7105,2.5755999999999997
21,2036.0,-51.9882,1.7423000000000002
22,2037.0,-51.734,1.3916
23,2038.0,-52.1078,1.2570999999999999
24,2039.0,-51.1165,0.48729999999999984
25,2040.0,-49.9527,0.6076999999999999
26,2041.0,-52.3494,2.4074999999999998
27,2042.0,-52.1328,1.4893
28,2043.0,-52.8405,1.5403
29,2044.0,-53.034,1.0042
30,2045.0,-54.0457,1.2916999999999998
31,2046.0,-49.6139,0.7305000000000001
32,2047.0,-73.3052,0.7305000000000001
33,2048.0,-164.6473,1.9896000000000003
34,2049.0,-156.0286,2.0111
35,2050.0,-150.9776,1.8386
36,2051.0,-148.5915,2.2075
37,2052.0,-146.4534,3.2700000000000005
38,2053.0,-143.317,3.5391000000000004
39,2054.0,-140.2158,3.7264
40,2055.0,-144.1034,3.7264
41,2056.0,-139.798,3.7264
42,2057.0,-135.5825,3.7264
43,2058.0,-135.247,3.7264
44,2059.0,-137.6331,3.7264
45,2060.0,-134.5115,3.7264
46,2061.0,-131.8895,3.7264
47,2062.0,-127.5221,3.7264
48,2063.0,-122.4731,3.7493
49,2064.0,-119.7915,3.8301
50,2065.0,-122.3825,3.7264
51,2066.0,-123.7017,3.7264
52,2067.0,-126.9656,3.7264
53,2068.0,-125.0362,3.7264
54,2069.0,-122.2036,3.7264
55,2070.0,-118.6872,3.7264
