,y,Coal,Oil,Hydro,Solar PV,Solar FPV,Biomass,Geothermal
0,2015.0,0.0,2.256,4.088,0.011,0.0,0.238,0.0
1,2016.0,0.0,2.262,4.088,0.012,0.0,0.238,0.0
2,2017.0,0.0,2.262,4.088,0.013,0.0,0.238,0.0
3,2018.0,0.0,2.262,4.088,0.013,0.0,0.238,0.0
4,2019.0,0.0,2.262,4.088,0.013,0.0,0.238,0.0
5,2020.0,0.0,2.262,4.088,0.013,0.0,0.238,0.0
6,2021.0,0.0,2.15,4.088,0.012,0.0,0.226,0.0
7,2022.0,0.0,2.036,4.84,0.012,0.0,0.214,0.0
8,2023.0,0.0,1.924,4.84,0.011,0.0,0.202,0.0
9,2024.0,0.0,1.811,5.2,0.011,0.0,0.19,0.1
10,2025.0,0.0,1.698,5.62,0.011,0.0,0.119,0.2
11,2026.0,0.0,1.58,5.62,0.01,0.0,0.107,0.3
12,2027.0,0.0,1.466,5.62,0.01,0.0,0.095,0.4
13,2028.0,0.0,1.354,5.932,0.009,0.0,0.083,0.4
14,2029.0,0.0,1.241,5.932,0.009,0.0,0.071,0.4
15,2030.0,0.0,1.128,6.785,0.009,0.0,0.06,0.4
16,2031.0,0.0,1.015,6.785,0.008,0.0,0.048,0.4
17,2032.0,0.0,0.902,6.785,0.387,0.0,0.036,0.4
18,2033.0,0.0,0.79,6.785,1.838,0.0,0.024,0.4
19,2034.0,0.0,0.677,6.785,3.604,0.0,0.012,0.4
20,2035.0,0.0,0.564,7.981,3.645,0.0,0.0,0.4
21,2036.0,0.0,0.451,7.981,5.242,0.0,0.0,0.4
22,2037.0,0.0,0.339,7.981,6.983,0.0,0.0,0.4
23,2038.0,0.0,0.225,7.981,8.939,0.0,0.0,0.4
24,2039.0,0.0,0.113,7.981,10.939,0.0,0.0,0.4
25,2040.0,0.0,0.0,7.981,12.939,0.0,0.0,0.4
26,2041.0,0.0,0.0,7.981,14.825,0.0,0.0,0.4
27,2042.0,0.0,0.0,7.981,16.84,0.0,0.0,0.4
28,2043.0,0.0,0.0,7.981,18.992,0.0,0.0,0.4
29,2044.0,0.0,0.0,7.981,21.288,0.0,0.0,0.4
30,2045.0,0.0,0.0,7.981,23.738,0.0,0.0,0.4
31,2046.0,0.0,0.0,7.981,25.59,0.0,0.0,0.4
32,2047.0,1.198,0.0,7.981,27.154,0.0,0.0,0.4
33,2048.0,4.31,0.0,7.981,30.654,1.61,0.0,0.4
34,2049.0,4.31,0.0,7.981,31.681,1.61,0.0,0.4
35,2050.0,4.31,0.0,7.981,34.106,1.61,0.0,0.4
36,2051.0,4.31,0.0,7.981,35.621,1.61,0.0,0.4
37,2052.0,4.31,0.0,7.981,37.351,1.61,0.0,0.4
38,2053.0,4.31,0.0,7.981,39.187,1.619,0.0,0.4
39,2054.0,4.31,0.0,7.981,41.194,1.619,0.0,0.4
40,2055.0,4.31,0.0,7.981,44.649,1.619,0.0,0.4
41,2056.0,4.31,0.0,7.981,46.55,1.619,0.0,0.4
42,2057.0,4.31,0.0,7.981,48.622,1.619,0.0,0.4
43,2058.0,4.31,0.0,7.981,52.101,1.619,0.0,0.4
44,2059.0,4.31,0.0,7.981,56.601,1.619,0.0,0.4
45,2060.0,4.31,0.0,7.981,59.462,1.619,0.0,0.4
46,2061.0,4.31,0.0,7.981,61.423,1.619,0.0,0.4
47,2062.0,4.31,0.0,7.981,62.908,1.619,0.0,0.4
48,2063.0,4.31,0.0,7.981,64.256,1.619,0.0,0.4
49,2064.0,4.31,0.0,7.981,66.446,1.619,0.0,0.4
50,2065.0,4.31,0.0,7.981,70.496,1.619,0.0,0.4
51,2066.0,4.31,0.0,7.981,74.536,1.619,0.0,0.4
52,2067.0,4.31,0.0,7.981,79.472,1.619,0.0,0.4
53,2068.0,4.31,0.0,7.981,82.472,1.619,0.0,0.4
54,2069.0,4.31,0.0,7.981,84.945,1.619,0.0,0.4
55,2070.0,4.31,0.0,7.981,87.362,1.619,0.0,0.4
