,y,Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new)
0,2015.0,0.0,0.405,1.500386,0.00029174287937846295,0.32015,0.0312,0.0
1,2016.0,0.0,0.405,1.500386,0.010760156560802155,0.32015,0.0312,0.0
2,2017.0,0.0,0.405,1.500386,0.010760156560802155,0.32015,0.0312,0.0
3,2018.0,0.0,0.405,1.500386,0.010760156560802155,0.32015,0.0312,0.0
4,2019.0,0.0,0.405,1.500386,0.010760156560802155,0.32015,0.0312,0.0
5,2020.0,0.0,0.405,1.500386,0.010760156560802155,0.32015,0.0312,0.0
6,2021.0,0.0,0.38475,1.4253667,0.010760156560802155,0.3041425,0.02964,1.2418906600566455
7,2022.0,0.0,0.3645,1.3503474,0.010760156560802155,0.288135,0.02808,1.2418906600566455
8,2023.0,0.0,0.34425,1.2753281,0.010760156560802155,0.2721275,0.02652,1.2418906600566455
9,2024.0,0.0,0.324,1.2003088,0.010760156560802155,0.25612,0.02496,1.2418906600566455
10,2025.0,0.0,0.30375,1.1252895,0.010468413681423691,0.2401125,0.0234,1.2418906600566455
11,2026.0,0.0,0.2835,1.0502702,0.0,0.224105,0.02184,1.2418906600566455
12,2027.0,0.0,0.26325,0.9752509,0.0,0.2080975,0.02028,1.2418906600566455
13,2028.0,0.0,0.243,0.9002316,0.0,0.19209,0.01872,1.2418906600566455
14,2029.0,0.0,0.22275,0.8252123,0.0,0.1760825,0.01716,1.2418906600566455
15,2030.0,0.0,0.2025,0.750193,0.0,0.160075,0.0156,1.2418906600566455
16,2031.0,0.0,0.18225,0.6751737,0.0,0.1440675,0.01404,1.2418906600566455
17,2032.0,0.0,0.162,0.6001544,0.0,0.12806,0.01248,1.2418906600566455
18,2033.0,0.0,0.14175,0.5251351,0.0,0.1120525,0.01092,1.2418906600566455
19,2034.0,0.0,0.1215,0.4501158,0.0,0.096045,0.00936,1.2418906600566455
20,2035.0,0.0,0.10125,0.3750965,0.0,0.0800375,0.0078,1.2418906600566455
21,2036.0,0.0,0.081,0.3000772,0.0,0.06403,0.00624,1.2418906600566455
22,2037.0,0.0,0.06075,0.2250579,0.0,0.0480225,0.00468,1.2418906600566455
23,2038.0,0.0,0.0405,0.1500386,0.0,0.032015,0.00312,1.2418906600566455
24,2039.0,0.0,0.02025,0.0750193000000002,0.0,0.0160075,0.00156,1.2418906600566455
25,2040.0,0.5020177926943024,0.0,0.0,0.0,0.0,0.0,1.2418906600566455
26,2041.0,0.5020177926943024,0.0,0.0,0.0,0.0,0.0,1.2418906600566455
27,2042.0,0.856450826524267,0.0,0.0,0.0,0.0,0.0,1.2418906600566455
28,2043.0,0.856450826524267,0.0,0.0,0.0,0.0,0.0,1.2418906600566455
29,2044.0,0.856450826524267,0.0,0.0,0.0,0.0,0.0,1.2418906600566455
30,2045.0,0.856450826524267,0.0,0.0,0.0,0.0,0.0,1.2418906600566455
31,2046.0,0.856450826524267,0.0,0.0,0.0,0.0,0.0,1.2418906600566455
32,2047.0,0.856450826524267,0.0,0.0,0.0,0.0,0.0,1.2418906600566455
33,2048.0,4.005886507646887,0.0,0.0,0.0,0.0,0.0,1.2418906600566455
34,2049.0,4.005886507646887,0.0,0.0,0.0,0.0,0.0,1.2418906600566455
35,2050.0,4.005886507646887,0.0,0.0,0.0,0.0,0.0,1.2418906600566455
36,2051.0,4.005886507646887,0.0,0.0,0.0,0.0,0.0,0.0
37,2052.0,4.005886507646887,0.0,0.0,0.0,0.0,0.0,0.0
38,2053.0,4.0058865076468875,0.0,0.0,0.0,0.0,0.0,0.0
39,2054.0,4.0058865076468875,0.0,0.0,0.0,0.0,0.0,0.0
40,2055.0,4.0058865076468875,0.0,0.0,0.0,0.0,0.0,0.0
41,2056.0,4.142541410071214,0.0,0.0,0.0,0.0,0.0,0.0
42,2057.0,4.142541410071214,0.0,0.0,0.0,0.0,0.0,0.0
43,2058.0,4.142541410071214,0.0,0.0,0.0,0.0,0.0,0.0
44,2059.0,4.142541410071214,0.0,0.0,0.0,0.0,0.0,0.0
45,2060.0,4.142541410071214,0.0,0.0,0.0,0.0,0.0,0.0
46,2061.0,4.142541410071213,0.0,0.0,0.0,0.0,0.0,0.0
47,2062.0,4.142541410071213,0.0,0.0,0.0,0.0,0.0,0.0
48,2063.0,4.142541410071213,0.0,0.0,0.0,0.0,0.0,0.0
49,2064.0,4.142541410071213,0.0,0.0,0.0,0.0,0.0,0.0
50,2065.0,4.142541410071213,0.0,0.0,0.0,0.0,0.0,0.0
51,2066.0,4.142541410071213,0.0,0.0,0.0,0.0,0.0,0.0
52,2067.0,4.142541410071213,0.0,0.0,0.0,0.0,0.0,0.0
53,2068.0,4.142541410071213,0.0,0.0,0.0,0.0,0.0,0.0
54,2069.0,4.142541410071213,0.0,0.0,0.0,0.0,0.0,0.0
55,2070.0,3.6405236173769104,0.0,0.0,0.0,0.0,0.0,0.0
