,y,Coal,Oil,Gas,Hydro,Solar PV,Geothermal,Biomass,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2015.0,0.0,7.0,0.0,3587.89,0.0,0.0,1.08,12.28,9.22,0.0
1,2016.0,0.0,7.28,0.0,3587.89,0.0,0.0,1.08,0.0,10.36,0.0
2,2017.0,0.0,7.0,0.0,3834.24,0.0,0.0,1.08,12.49,9.98,0.0
3,2018.0,0.0,7.0,0.0,3834.24,0.0,0.0,1.08,24.32,9.79,0.0
4,2019.0,0.0,7.0,0.0,3834.24,0.0,0.0,1.08,19.95,9.52,0.0
5,2020.0,0.0,7.0,0.0,3834.24,0.0,0.0,1.08,0.0,9.26,0.0
6,2021.0,0.0,27.04,7.32,3834.24,0.0,0.0,1.03,0.0,9.56,0.03
7,2022.0,0.0,29.12,7.32,3834.24,0.0,0.0,0.97,0.0,10.28,0.03
8,2023.0,0.0,15.94,7.32,3834.24,0.0,0.0,0.92,0.0,10.15,0.03
9,2024.0,0.0,5.6,7.32,4847.03,0.0,0.03,0.86,0.0,10.47,0.03
10,2025.0,0.0,5.24,7.32,6013.26,0.0,0.06,0.54,0.0,10.81,0.41
11,2026.0,0.0,4.89,6.71,6013.26,0.0,0.09,0.49,0.0,11.14,0.4
12,2027.0,0.0,4.54,4.39,6013.26,0.0,0.13,0.43,0.0,11.5,0.39
13,2028.0,0.0,4.2,1.45,6891.01,0.0,0.13,0.38,0.0,11.87,0.38
14,2029.0,0.0,3.85,2.73,6891.01,0.0,0.13,0.32,0.0,12.25,0.01
15,2030.0,0.0,3.49,0.0,9290.76,0.0,0.13,0.27,0.0,12.04,0.0
16,2031.0,0.0,3.14,0.0,9728.28,0.03,0.13,0.22,0.0,1.07,0.0
17,2032.0,0.0,2.79,0.0,9728.28,0.09,0.13,0.16,0.0,0.72,0.0
18,2033.0,0.0,2.46,2.44,9728.28,0.17,0.13,0.11,0.0,0.36,0.0
19,2034.0,0.0,2.1,2.3,9728.28,0.24,0.13,0.05,0.0,0.0,0.0
20,2035.0,0.0,1.75,2.3,9728.28,0.24,0.13,0.0,0.0,0.0,0.0
21,2036.0,0.0,1.4,2.3,9728.28,0.32,0.13,0.0,0.0,0.0,0.0
22,2037.0,0.0,1.05,2.3,9728.28,0.39,0.13,0.0,0.0,0.0,0.0
23,2038.0,0.0,0.7,2.3,9728.28,0.48,0.13,0.0,0.0,0.0,0.0
24,2039.0,0.0,0.35,2.3,9728.28,0.55,0.13,0.0,0.0,0.0,0.0
25,2040.0,1.6,0.0,2.14,9728.28,0.64,0.13,0.0,0.0,0.0,0.0
26,2041.0,1.6,0.0,1.44,9728.28,0.72,0.13,0.0,0.0,0.0,0.0
27,2042.0,2.73,0.0,1.13,9728.28,0.81,0.13,0.0,0.0,0.0,0.0
28,2043.0,2.73,0.0,0.77,9728.28,0.9,0.13,0.0,0.0,0.0,0.0
29,2044.0,2.73,0.0,0.9,9728.28,0.99,0.13,0.0,0.0,0.0,0.0
30,2045.0,2.73,0.0,0.77,9728.28,1.06,0.13,0.0,0.0,0.0,0.0
31,2046.0,2.73,0.0,0.92,9728.28,1.12,0.13,0.0,0.0,0.0,0.0
32,2047.0,2.73,0.0,1.22,9728.28,1.19,0.13,0.0,0.0,0.0,0.0
33,2048.0,12.4,0.0,1.01,9728.28,1.34,0.13,0.0,0.0,0.0,0.0
34,2049.0,12.77,0.0,0.77,9728.28,1.39,0.13,0.0,0.0,0.0,0.0
35,2050.0,12.77,0.0,0.77,9728.28,1.48,0.13,0.0,0.0,0.0,0.0
36,2051.0,12.77,0.0,0.0,9728.28,1.55,0.13,0.0,0.0,0.0,0.0
37,2052.0,12.77,0.0,0.0,9728.28,1.62,0.13,0.0,0.0,0.0,0.0
38,2053.0,12.77,0.0,0.0,9728.28,1.69,0.13,0.0,0.0,0.0,0.0
39,2054.0,12.77,0.0,0.0,9728.28,1.77,0.13,0.0,0.0,0.0,0.0
40,2055.0,12.77,0.0,0.0,9728.28,2.01,0.13,0.0,0.0,0.0,0.0
41,2056.0,13.2,0.0,0.0,9728.28,2.19,0.13,0.0,0.0,0.0,0.0
42,2057.0,13.18,0.0,0.0,9728.28,2.3,0.13,0.0,0.0,0.0,0.0
43,2058.0,12.77,0.0,0.0,9728.28,2.43,0.13,0.0,0.0,0.0,0.0
44,2059.0,12.79,0.0,0.0,9728.28,2.52,0.13,0.0,0.0,0.0,0.0
45,2060.0,12.85,0.0,0.0,9674.6,2.6,0.13,0.0,0.0,0.0,0.0
46,2061.0,12.72,0.0,0.0,9538.05,2.72,0.13,0.0,0.0,0.0,0.0
47,2062.0,12.69,0.0,0.0,9468.6,2.8,0.13,0.0,0.0,0.0,0.0
48,2063.0,12.66,0.0,0.0,9379.17,2.88,0.13,0.0,0.0,0.0,0.0
49,2064.0,12.31,0.0,0.0,9340.7,3.04,0.12,0.0,0.0,0.0,0.0
50,2065.0,11.93,0.0,0.0,9340.7,3.18,0.11,0.0,0.0,0.0,0.0
51,2066.0,11.92,0.0,0.0,9340.7,3.25,0.13,0.0,0.0,0.0,0.0
52,2067.0,11.17,0.0,0.0,9340.7,3.42,0.13,0.0,0.0,0.0,0.0
53,2068.0,11.23,0.0,0.0,9655.7,3.49,0.11,0.0,0.0,0.0,0.0
54,2069.0,11.29,0.0,0.0,9600.79,3.57,0.13,0.0,0.0,0.0,0.0
55,2070.0,10.33,0.0,0.0,9340.7,3.67,0.13,0.0,0.0,0.0,0.0
