,y,CO2
0,2015,1.8822
1,2016,1.5839
2,2017,2.134
3,2018,2.6842
4,2019,3.2344
5,2020,2.0336
6,2021,2.1353
7,2022,2.2369
8,2023,2.3579
9,2024,1.7195
10,2025,1.7873
11,2026,1.8574
12,2027,1.9411
13,2028,2.0358
14,2029,2.1396
15,2030,2.2564
16,2031,2.396
17,2032,2.5437
18,2033,2.7034
19,2034,2.8755
20,2035,3.0634
21,2036,2.4836
22,2037,2.5808
23,2038,2.6818
24,2039,2.7943
25,2040,2.9473
26,2041,3.0905
27,2042,3.2528
28,2043,3.3976
29,2044,3.476
30,2045,3.5567
31,2046,3.6396
32,2047,3.7249
33,2048,3.8127
34,2049,3.88
35,2050,3.9352
36,2051,3.9828
37,2052,4.0304
38,2053,4.0818
39,2054,4.1394
40,2055,4.1862
41,2056,4.234
42,2057,4.2833
43,2058,4.3337
44,2059,4.3874
45,2060,4.4407
46,2061,4.499
47,2062,4.5589
48,2063,4.6195
49,2064,4.6747
50,2065,4.7304
51,2066,4.7868
52,2067,4.8383
53,2068,4.8957
54,2069,4.9607
55,2070,5.0264
