,y,Oil fired gas turbine (SCGT) - MDT cooling (old),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new)
0,2015.0,0.3629,0.0066,0.2724,0.0,0.0
1,2016.0,0.027299999999999998,0.0,0.0865,0.0,0.0
2,2017.0,0.1802,0.0062,0.2611,0.0,0.0
3,2018.0,0.1802,0.0058,0.2403,0.0,0.0
4,2019.0,0.1802,0.0055,0.2197,0.0,0.0
5,2020.0,0.0,0.0019,0.0865,0.9862000000000001,0.0
6,2021.0,0.0,0.002,0.0822,1.4482,0.0
7,2022.0,0.0,0.0021,0.0779,1.9402,0.0
8,2023.0,0.1154,0.0023,0.07619999999999999,2.3819999999999997,0.0
9,2024.0,0.0,0.0,0.0692,2.0175,0.0
10,2025.0,0.0,0.0,0.0649,1.8595,0.0
11,2026.0,0.0,0.0,0.0605,1.6916,0.0
12,2027.0,0.0,0.0,0.0562,1.5129,0.0
13,2028.0,0.0,0.0,0.0519,1.3229000000000002,0.0
14,2029.0,0.0063999999999999994,0.0,0.0475,1.4265,0.0
15,2030.0,0.0,0.0,0.043300000000000005,1.546,0.0
16,2031.0,0.0,0.0,0.039,1.6817,0.0
17,2032.0,0.0,0.0,0.034699999999999995,1.8217,0.0
18,2033.0,0.0,0.0,0.0303,1.9821,0.0
19,2034.0,0.0,0.0,0.026,2.1543,0.0
20,2035.0,0.0,0.0,0.0217,2.3504,0.0
21,2036.0,0.0,0.0,0.0173,2.8206,0.0
22,2037.0,0.00039999999999999996,0.0,0.013,4.2367,0.0
23,2038.0,0.0043,0.0,0.0087,5.691,0.0592
24,2039.0,0.0022,0.0,0.0043,7.3188,0.0608
25,2040.0,0.0,0.0,0.0,9.0703,0.0566
26,2041.0,0.0,0.0,0.0,10.582899999999999,0.0561
27,2042.0,0.0,0.0,0.0,12.184000000000001,0.0556
28,2043.0,0.0,0.0,0.0,12.1728,0.0545
29,2044.0,0.0,0.0,0.0,12.0574,0.0404
30,2045.0,0.0,0.0,0.0,11.9108,0.0487
31,2046.0,0.0,0.0,0.0,11.755700000000001,0.0575
32,2047.0,0.0,0.0,0.0,11.5788,0.0634
33,2048.0,0.0,0.0,0.0,11.3285,0.0531
34,2049.0,0.0,0.0,0.0,11.0636,0.0421
35,2050.0,0.0,0.0,0.0,10.368,0.4289
36,2051.0,0.0,0.0,0.0,10.1319,0.4812
37,2052.0,0.0,0.0,0.0,9.892800000000001,0.5303
38,2053.0,0.0,0.0,0.0,9.6316,0.5946
39,2054.0,0.0,0.0,0.0,9.4439,0.5822
40,2055.0,0.0,0.0,0.0,9.245,0.5739
41,2056.0,0.0,0.0,0.0,9.0396,0.5654
42,2057.0,0.0,0.0,0.0,8.839500000000001,0.5566
43,2058.0,0.0,0.0,0.0,8.818200000000001,0.5476
44,2059.0,0.0,0.0,0.0,8.7406,0.5916
45,2060.0,0.0,0.0,0.0,8.6491,0.6479
46,2061.0,0.0,0.0,0.0,8.6328,0.641
47,2062.0,0.0,0.0,0.0,8.6164,0.6339
48,2063.0,0.0,0.0,0.0,8.9019,0.558
49,2064.0,0.0,0.0,0.0,9.1489,0.5351
50,2065.0,0.0,0.0,0.0,9.4002,0.5173
51,2066.0,0.0,0.0,0.0,9.6622,0.4989
52,2067.0,0.0,0.0,0.0,9.8253,0.5866
53,2068.0,0.0,0.0,0.0,9.960199999999999,0.7174
54,2069.0,0.0,0.0,0.0,10.1016,0.8536
55,2070.0,0.0,0.0,0.0,10.25,0.9953
