,y,Solar PV (roof top),Solar PV with storage
0,2043.0,0.0,1.509
1,2044.0,0.0,3.2102
2,2045.0,0.0,5.0114
3,2046.0,0.0,6.9184
4,2047.0,0.0,8.9517
5,2048.0,0.0,11.1753
6,2049.0,0.0,13.529
7,2050.0,0.0,16.0204
8,2051.0,0.0,17.5678
9,2052.0,0.0,19.1677
10,2053.0,0.0,20.8217
11,2054.0,0.0,22.5312
12,2055.0,0.0,24.2978
13,2056.0,0.0,26.1232
14,2057.0,0.0,28.0093
15,2058.0,0.0,29.9579
16,2059.0,0.0,31.9711
17,2060.0,0.0,34.0508
18,2061.0,0.0,35.533
19,2062.0,0.0,37.0129
20,2063.0,2.8842,35.3592
21,2064.0,5.9633,33.8375
22,2065.0,9.2074,31.7072
23,2066.0,12.5663,29.4815
24,2067.0,16.0789,28.096
25,2068.0,19.8065,25.799
26,2069.0,23.6934,23.2665
27,2070.0,27.7475,20.5906
