,y,Oil,Gas,Hydro,Solar PV,Geothermal
0,2015.0,0.033,0.0,0.112,0.0,0.0
1,2016.0,0.033,0.0,0.112,0.0,0.0
2,2017.0,0.033,0.0,0.165,0.0,0.0
3,2018.0,0.033,0.0,0.259,0.0,0.0
4,2019.0,0.033,0.0,0.352,0.0,0.0
5,2020.0,0.033,0.071,0.352,0.0,0.0
6,2021.0,0.031,0.09,0.352,0.0,0.0
7,2022.0,0.03,0.11,0.352,0.0,0.0
8,2023.0,0.028,0.122,0.352,0.0,0.0
9,2024.0,0.027,0.122,0.352,0.0,0.036
10,2025.0,0.024,0.122,0.352,0.0,0.063
11,2026.0,0.022,0.122,0.352,0.0,0.092
12,2027.0,0.021,0.122,0.352,0.0,0.122
13,2028.0,0.019,0.122,0.352,0.0,0.155
14,2029.0,0.018,0.132,0.352,0.0,0.179
15,2030.0,0.016,0.144,0.352,0.0,0.204
16,2031.0,0.014,0.157,0.352,0.0,0.234
17,2032.0,0.013,0.17,0.352,0.0,0.265
18,2033.0,0.011,0.184,0.352,0.0,0.297
19,2034.0,0.01,0.2,0.352,0.0,0.332
20,2035.0,0.008,0.217,0.352,0.0,0.37
21,2036.0,0.006,0.244,0.352,0.0,0.4
22,2037.0,0.005,0.302,0.352,0.0,0.4
23,2038.0,0.003,0.364,0.352,0.0,0.4
24,2039.0,0.002,0.432,0.352,0.0,0.4
25,2040.0,0.0,0.504,0.352,0.0,0.4
26,2041.0,0.0,0.566,0.352,0.0,0.4
27,2042.0,0.0,0.632,0.352,0.0,0.4
28,2043.0,0.0,0.632,0.352,0.177,0.4
29,2044.0,0.0,0.632,0.352,0.377,0.4
30,2045.0,0.0,0.632,0.352,0.588,0.4
31,2046.0,0.0,0.632,0.352,0.812,0.4
32,2047.0,0.0,0.632,0.352,1.051,0.4
33,2048.0,0.0,0.632,0.352,1.312,0.4
34,2049.0,0.0,0.632,0.352,1.588,0.4
35,2050.0,0.0,0.632,0.352,1.88,0.4
36,2051.0,0.0,0.632,0.352,2.062,0.4
37,2052.0,0.0,0.632,0.352,2.25,0.4
38,2053.0,0.0,0.632,0.352,2.444,0.4
39,2054.0,0.0,0.632,0.352,2.645,0.4
40,2055.0,0.0,0.632,0.352,2.852,0.4
41,2056.0,0.0,0.632,0.352,3.066,0.4
42,2057.0,0.0,0.632,0.352,3.288,0.4
43,2058.0,0.0,0.632,0.352,3.516,0.4
44,2059.0,0.0,0.632,0.352,3.753,0.4
45,2060.0,0.0,0.632,0.352,3.997,0.4
46,2061.0,0.0,0.632,0.352,4.171,0.4
47,2062.0,0.0,0.632,0.352,4.348,0.4
48,2063.0,0.0,0.632,0.352,4.708,0.4
49,2064.0,0.0,0.632,0.352,5.087,0.4
50,2065.0,0.0,0.632,0.352,5.476,0.4
51,2066.0,0.0,0.632,0.352,5.878,0.4
52,2067.0,0.0,0.632,0.352,6.294,0.4
53,2068.0,0.0,0.632,0.352,6.728,0.4
54,2069.0,0.0,0.632,0.352,7.176,0.4
55,2070.0,0.0,0.632,0.352,7.639,0.4
