,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal,power_trade
0,2015.0,0.0,52.809999999999995,437.88,136.28,0.0,0.21000000000000002,0.0,13.25,18.200000000000003,0.21,0.0
1,2016.0,0.0,48.410000000000004,451.22,136.28,0.0,0.42000000000000004,0.0,15.76,22.16,0.21,0.0
2,2017.0,0.0,25.509999999999998,471.23,161.49,0.0,0.44,0.0,15.76,19.61,0.21,0.0
3,2018.0,0.0,22.890000000000004,481.37,167.05,0.0,0.77,0.0,20.020000000000003,20.48,0.21,8.881784197001252e-16
4,2019.0,0.0,29.83,499.79,167.86,0.0,0.77,0.0,20.020000000000003,22.16,0.21,4.440892098500626e-16
5,2020.0,0.0,19.32,579.47,167.86,0.0,1.44,0.0,20.020000000000003,22.16,3.43,4.440892098500626e-16
6,2021.0,0.0,51.48,580.8000000000001,167.86,11.72,4.74,0.0,22.72,22.83,7.98,0.0
7,2022.0,0.0,54.58,645.2199999999999,167.86,17.59,7.23,0.0,28.63,23.51,10.66,7.105427357601002e-15
8,2023.0,0.0,35.28999999999999,615.46,231.66,17.59,9.72,0.95,31.33,22.6,16.03,0.0
9,2024.0,0.0,15.39,627.14,250.45999999999998,17.59,12.21,0.95,34.03,21.7,25.41,0.0
10,2025.0,80.04,14.429999999999998,541.7299999999999,274.7,17.59,14.690000000000001,0.95,36.74,16.23,33.45,0.0
11,2026.0,160.08,13.459999999999997,479.99,275.17,17.59,17.189999999999998,0.95,39.44,15.32,37.04,-3.552713678800501e-15
12,2027.0,160.08,12.489999999999998,487.08,289.2300000000001,17.59,19.68,0.95,42.14,14.06,39.71,0.0
13,2028.0,160.08,11.53,494.60999999999996,298.89,17.59,22.16,0.95,44.839999999999996,13.5,46.4,0.0
14,2029.0,160.08,10.569999999999999,514.94,299.15,17.59,22.98,0.95,47.54,12.600000000000001,53.089999999999996,8.881784197001252e-16
15,2030.0,160.08,9.61,514.26,324.88000000000005,17.59,23.31,0.95,50.239999999999995,11.68,57.22,1.7763568394002505e-15
16,2031.0,160.08,8.649999999999999,552.0400000000001,344.52000000000004,17.59,31.32,0.95,56.089999999999996,10.76,57.21,0.0
17,2032.0,160.08,7.68,593.2700000000001,344.52000000000004,17.59,48.739999999999995,0.95,61.92,9.85,63.91,0.0
18,2033.0,160.08,9.65,631.1899999999999,344.52000000000004,17.59,68.64,0.95,67.76,8.95,70.13,0.0
19,2034.0,160.08,14.45,665.6700000000001,344.52000000000004,17.59,91.22999999999999,0.95,73.59,8.040000000000001,75.26,0.0
20,2035.0,186.76,19.09,674.0699999999999,344.52000000000004,17.59,105.46000000000001,0.95,79.43,7.13,80.0,0.0
21,2036.0,213.44,20.580000000000002,676.0,352.89000000000004,17.59,129.28,0.95,85.27,7.13,84.94,0.0
22,2037.0,240.12,19.44,688.1200000000001,353.95000000000005,17.59,153.24,0.95,91.11,7.13,91.64,0.0
23,2038.0,266.79,18.32,699.48,354.7900000000001,17.59,180.02,0.95,96.94999999999999,7.13,98.33,0.0
24,2039.0,293.47,17.17,712.0600000000001,356.21000000000004,17.59,207.27,0.95,102.78,7.13,105.01,0.0
25,2040.0,333.53999999999996,6.74,723.0899999999999,357.08000000000004,17.59,234.8,6.33,104.05,7.13,111.7,3.552713678800501e-15
26,2041.0,373.56,0.0,727.8299999999999,357.00000000000006,17.59,272.32,6.33,110.95,7.13,111.71,0.0
27,2042.0,396.36,0.0,744.05,355.72,17.59,305.77,6.33,120.35,7.13,116.5,-7.105427357601002e-15
28,2043.0,409.70000000000005,0.0,771.38,354.07000000000005,17.59,339.14,8.75,125.49,7.13,123.55,0.0
29,2044.0,423.04,0.0,796.9200000000001,351.74,17.59,373.76,8.75,134.9,7.13,131.76,-7.105427357601002e-15
30,2045.0,436.38,0.0,827.01,348.46000000000004,17.59,409.41999999999996,8.75,144.31,7.13,136.85000000000002,0.0
31,2046.0,436.38,0.0,890.79,346.29,5.87,441.98,8.75,150.58,7.13,140.69,0.0
32,2047.0,436.38,0.0,948.88,341.15,0.0,480.37999999999994,8.75,153.64,7.13,146.52,-3.552713678800501e-15
33,2048.0,558.75,0.0,857.59,338.22,0.0,531.02,14.65,159.91,7.13,148.93,0.480000000000004
34,2049.0,579.02,0.0,902.01,340.17,0.0,570.19,14.65,166.18,7.13,143.63,0.0
35,2050.0,598.7,0.0,924.45,353.7800000000001,0.0,614.8699999999999,14.65,172.45,7.13,138.68,0.0
36,2051.0,612.04,0.0,962.98,350.55000000000007,0.0,650.1000000000001,14.65,178.72,7.13,137.76,-1.4210854715202004e-14
37,2052.0,625.38,0.0,1003.62,345.77,0.0,687.16,14.65,184.99,7.13,137.76,-1.4210854715202004e-14
38,2053.0,638.72,0.0,1046.05,343.64,0.0,723.9000000000001,14.71,191.26,7.13,136.5,0.0
