,y,Coal extraction (mining),Coal imports (inland transport-maritime freight)
0,2015,10.9308,11.1619
1,2016,10.2901,12.0038
2,2017,13.383,11.2682
3,2018,13.4167,10.5327
4,2019,14.7703,9.7972
5,2020,15.7347,9.0616
6,2021,15.9298,11.6838
7,2022,16.1283,15.0638
8,2023,16.3303,19.4203
9,2024,16.5357,25.0344
10,2025,220.963,32.2685
11,2026,91.5866,376.36879999999996
12,2027,0.0,476.6808
13,2028,0.0,492.303
14,2029,0.0,512.3498999999999
15,2030,0.0,538.0858000000001
16,2031,0.0,543.2061
17,2032,0.0,548.5455000000001
18,2033,0.0,554.1098999999999
19,2034,0.0,559.9068
20,2035,0.0,635.9871
21,2036,0.0,710.9294
22,2037,0.0,786.1333999999999
23,2038,0.0,861.6115
24,2039,0.0,937.3773000000001
25,2040,0.0,1039.2639
26,2041,0.0,1142.6228999999998
27,2042,0.0,1173.7648
28,2043,0.0,1208.164
29,2044,0.0,1243.8038
30,2045,0.0,1279.126
31,2046,0.0,1285.021
32,2047,0.0,1285.2345
33,2048,0.0,1575.8863999999999
34,2049,0.0,1644.4722000000002
35,2050,0.0,1684.2703000000001
36,2051,0.0,1718.3208
37,2052,0.0,1753.9638
38,2053,0.0,1789.487
39,2054,0.0,1829.6749
40,2055,0.0,1733.2198
41,2056,0.0,1631.9702
42,2057,0.0,1763.8844
43,2058,0.0,1924.3492999999999
44,2059,0.0,2029.4409
45,2060,0.0,2136.6831
46,2061,0.0,2172.3872
47,2062,0.0,2209.8266000000003
48,2063,0.0,2245.9642000000003
49,2064,0.0,2282.0171
50,2065,0.0,2316.7709
51,2066,0.0,2344.2848999999997
52,2067,0.0,2369.7277999999997
53,2068,0.0,2407.5912
54,2069,0.0,2444.4419
55,2070,0.0,2467.2576
