,y,Coal power plant - Air cooling (new),Coal power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Light Fuel Oil stand alone (1kW),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - Air cooling (new),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old)
0,2015.0,0.0,0.0,4.8893,0.0,61.0084,1.2703,16.0077,55.699,0.0,20.028499999999998,69.12950000000001,2770.1472,0.0,12.2581,0.0,2362.5081999999998,0.0,5.334,38.1744,15.613900000000001,207.31130000000002
1,2016.0,0.0,0.0,5.099500000000001,0.0,61.0084,1.5004,16.0077,55.699,0.0,20.028499999999998,207.38830000000002,2770.1472,0.0,12.2581,0.0,2362.5081999999998,21.7007,7.2402999999999995,0.0,12.124,188.40279999999998
2,2017.0,0.0,0.0,4.0469,0.0,61.0084,1.8983,16.0077,55.699,0.0,20.028499999999998,414.77660000000003,2770.1472,0.0,12.2581,0.0,2362.5081999999998,2.8816,3.4691,0.0,12.124,188.40279999999998
3,2018.0,0.0,0.0,4.0469,0.0,61.0084,2.9920999999999998,16.0077,55.699,52.2797,20.028499999999998,0.0,2770.1472,0.0,12.2581,0.0,2362.5081999999998,0.0,2.6301,0.0,12.124,188.40279999999998
4,2019.0,0.0,0.0,8.132,0.0,61.0084,7.1912,16.0077,55.699,71.477,20.028499999999998,0.0,2770.1472,0.0,12.2581,0.0,2362.5081999999998,0.0,2.6301,0.0,12.124,188.40279999999998
5,2020.0,0.0,0.0,3.4163,0.0,61.0084,0.12710000000000002,121.02159999999999,55.699,156.82520000000002,20.028499999999998,570.6967,2770.1472,0.1911,12.2581,0.0,2362.5081999999998,0.0,2.6301,0.0,11.6914,188.40279999999998
6,2021.0,0.0,0.0,3.2455000000000003,0.0,57.95799999999999,0.17830000000000001,78.5205,10.5828,1589.9421,3.8053999999999997,1251.2014000000001,526.328,1.1673,11.6452,0.0,2244.3828000000003,0.0,9.9243,0.0,49.4419,178.9827
7,2022.0,0.0,0.0,7.904399999999999,0.0,60.569399999999995,0.7399,124.61959999999999,10.0258,1969.7438,3.6050999999999997,1397.8668,498.6265,3.5937,11.0322,0.0,2126.2574,0.0,9.402,0.0,49.5922,169.5626
8,2023.0,0.0,0.0,3.0216,0.0,51.857200000000006,0.0395,124.61959999999999,9.4688,2190.9147,3.4048000000000003,1374.4621,470.925,0.4944,10.4193,0.0,2008.132,0.0,8.8796,0.0,28.176199999999998,160.1424
9,2024.0,0.0,0.0,2.733,0.0,48.80669999999999,0.0191,133.1302,31.2683,2183.6754,3.2045,1397.8668,443.2235,0.0,9.8065,0.0,1890.0065,0.0,2.1041,0.0,9.353100000000001,150.7223
