,y,Amarti-Neshe,Aswan 1,Aswan 2,Baro,Bedden,Birbir,Chemoga Yeda,Dagash,Dal,Esna,Finchaa,Geba,Genji,High Aswan Dam,Jebel Aulia,Kajbar,Karadobi,Kashm El Girba ,Lake Tana - Beles,Lakki,Large hydropower plant (Dam),Lower Dabus,Lower Dedessa,Medium hydropower plant (Run-of river),Merowe,Mograt,Naga Hamadi,New Assiut Barrage,Renaissance,Roseires,Sabaloka,Sennar,Shereik,Sor,Tams,Tekeze 1,Tekeze 2,Tis Abay 1,Tis Abay 2,Upper Atbara,Upper Dabus
0,2015.0,1.3901,8.3886,8.089,0.0,0.0,0.0,0.0,0.0,0.0,2.3936,1.7675,0.0,0.0,45.3459,0.3955,0.0,0.0,0.2157,6.3945,0.0,9.0477,0.0,0.0,1.6028,33.1627,0.0,1.9174,0.0,0.0,4.0445,0.0,0.3895,0.0,0.0714,0.0,8.9878,0.0,0.3296,2.3368,0.0,0.0
1,2016.0,1.3901,8.3886,8.089,0.0,0.0,0.0,0.0,0.0,0.0,2.3936,1.7675,0.0,0.0,45.3459,0.3955,0.0,0.0,0.2157,6.3945,0.0,9.0477,0.0,0.0,1.6028,33.1627,0.0,1.9174,0.0,0.0,4.0445,0.0,0.3895,0.0,0.0714,0.0,8.9878,0.0,0.3296,2.3368,0.0,0.0
2,2017.0,0.5487,8.3886,8.089,0.0,0.0,0.0,0.0,0.0,0.0,2.3936,1.5452,0.0,0.0,45.3459,0.3955,0.0,0.0,0.2157,3.573,0.0,37.0595,0.0,0.0,1.6028,33.1627,0.0,1.9174,0.0,0.0,4.0445,0.0,0.3895,0.0,0.0282,0.0,8.3259,0.0,0.1301,1.6974,2.6234,0.0
3,2018.0,1.3901,8.3886,8.089,0.0,0.0,0.0,0.0,0.0,0.0,2.3936,1.7675,0.0,0.0,45.3459,0.3955,0.0,0.0,0.2157,5.8221,0.0,37.0595,0.0,0.0,1.6028,33.1627,0.0,1.9174,0.9509,0.0,4.0445,0.0,0.3895,0.0,0.0282,0.0,8.9878,0.0,0.1301,2.3368,2.6234,0.0
4,2019.0,1.3901,8.3886,8.089,0.0,0.0,0.0,0.0,0.0,0.0,2.3936,1.7675,0.0,0.0,45.3459,0.3955,0.0,0.0,0.2157,6.3945,0.0,37.0595,0.0,0.0,1.6028,33.1627,0.0,1.9174,0.9509,0.0,4.0445,0.0,0.3895,0.0,0.0714,0.0,8.9878,0.0,0.3296,2.3368,2.6234,0.0
5,2020.0,1.3901,8.3886,8.089,0.0,0.0,0.0,0.0,0.0,0.0,2.3936,1.7675,0.0,0.0,45.3459,0.3955,0.0,0.0,0.2157,6.3945,0.0,37.0595,0.0,0.0,1.6028,33.1627,0.0,1.9174,0.9509,0.0,4.0445,0.0,0.3895,0.0,0.0714,0.0,8.9878,0.0,0.3296,2.3368,2.6234,0.0
6,2021.0,1.3901,8.3886,8.089,0.0,0.0,0.0,0.0,0.0,0.0,2.3936,1.7675,0.0,0.0,45.3459,0.3955,0.0,0.0,0.2157,6.3945,0.0,37.0595,0.0,0.0,1.6028,33.1627,0.0,1.9174,0.9509,0.0,4.0445,0.0,0.3895,0.0,0.0714,0.0,8.9878,0.0,0.3296,2.3368,2.6234,0.0
7,2022.0,1.3901,8.3886,8.089,0.0,0.0,0.0,0.0,0.0,0.0,2.3936,1.7675,0.0,0.0,45.3459,0.3955,0.0,0.0,0.2157,6.3945,0.0,37.0595,0.0,0.0,1.6028,33.1627,0.0,1.9174,0.9509,0.0,4.0445,0.0,0.3895,0.0,0.0714,0.0,8.9878,0.0,0.3296,2.3368,2.6234,0.0
8,2023.0,1.3901,8.3886,8.089,0.0,0.0,0.0,0.0,0.0,0.0,2.3936,1.7675,0.0,0.0,45.3459,0.3955,0.0,0.0,0.2157,6.3945,0.0,47.3655,0.0,0.0,1.6028,33.1627,0.0,1.9174,0.9509,53.4936,4.0445,0.0,0.3895,0.0,0.0714,0.0,8.9878,0.0,0.3296,2.3368,2.6234,0.0
9,2024.0,1.3901,8.3886,8.089,0.0,0.0,0.0,0.0,0.0,0.0,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,8.0096,47.3655,0.0,0.0,1.6028,33.1627,0.0,1.9174,0.9509,53.4936,4.0445,0.0,0.3895,0.0,0.0714,0.0,8.9878,0.0,0.3296,2.3368,2.6234,0.0
