,y,Aswan 1 FPV,Aswan 2 FPV,Beko Abo FPV,CSP (with storage),CSP (without storage),Chemoga Yeda FPV,Dagash FPV,Dal FPV,High Aswan Dam FPV,Jebel Aulia FPV,Kajbar FPV,Karadobi FPV,Lake Tana FPV,Merowe FPV,Mograt FPV,Renaissance FPV,Sabaloka FPV,Shereik FPV,Solar PV (roof top),Solar PV (utility),Solar PV with storage,Upper Mandaya FPV
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0723,0.127,0.0,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0911,0.3272,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1034,0.3272,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1034,0.6609,0.0,0.0
4,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1034,0.6294,0.0,0.0
5,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,1.3161,0.0,0.0
6,2021.0,0.0,0.0,0.0,6.5328,5.1926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766,2.9626,0.9828,0.0
7,2022.0,0.9041,0.8718,0.0,9.7993,7.7888,0.0,0.0,0.0,6.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973000000000002,4.6566,1.4742,0.0
8,2023.0,0.9041,0.8718,0.0,13.0657,10.3851,0.0,0.0,0.0,6.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4286,6.3221,1.9656,0.0
9,2024.0,0.9041,0.8718,0.0,13.0657,10.3851,0.0,0.0,0.0,6.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,7.9756,2.457,0.0
10,2025.0,0.9041,0.8718,0.0,13.0657,10.3851,0.0,0.0,0.0,6.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0913,9.6462,2.9483,0.0
11,2026.0,0.9041,0.8718,0.0,13.0657,10.3851,0.0,0.0,0.0,6.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4225999999999996,11.3186,3.4397,0.0
12,2027.0,0.9041,0.8718,0.0,13.0657,10.3851,0.0,0.0,0.0,6.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7539000000000002,11.6591,3.9311,0.0
13,2028.0,0.9041,0.8718,0.0,13.0657,10.3851,0.0,0.0,0.0,6.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8975999999999997,11.656,3.9311,0.0
14,2029.0,0.9041,0.8718,0.0,13.0657,10.3851,0.0,0.0,0.0,6.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4165,12.1728,4.9139,0.0
