,y,Coal power plant - Air cooling (new),Coal power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Light Fuel Oil stand alone (1kW),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - Air cooling (new),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old)
0,2015.0,0.0,0.0,0.481674,0.35,0.32779200000000003,0.32642815194282426,0.6,2.205,0.0,0.76076,0.25,10.58078,0.0,2.32805,1.95,12.123019,0.0,0.5451,1.0,1.633386,1.012269
1,2016.0,0.0,0.0,0.481674,0.872,0.32779200000000003,0.41803133108212465,0.6,2.205,0.0,0.76076,0.75,10.58078,0.0,2.32805,2.6,12.123019,1.0,0.5451,1.0,1.633386,1.012269
2,2017.0,0.0,0.0,0.481674,0.872,0.32779200000000003,0.481220608622003,0.6,2.205,0.0,0.76076,1.5,10.58078,0.0,2.32805,2.93,12.123019,1.0,0.5451,1.0,1.633386,1.012269
3,2018.0,0.0,0.0,0.481674,0.872,0.32779200000000003,0.5932237477611315,0.6,2.205,9.6,0.76076,6.3,10.58078,0.0,2.32805,4.88,12.123019,1.0,0.5451,1.0,1.633386,1.012269
4,2019.0,0.0,0.0,0.481674,0.872,0.32779200000000003,0.8334634102489544,0.6,2.205,9.6,0.76076,6.3,10.58078,0.0,2.32805,4.88,12.123019,1.0,0.5451,1.0,1.633386,1.012269
5,2020.0,0.0,0.0,0.481674,0.872,0.32779200000000003,0.8334634102489544,0.6,2.205,12.633917782662024,0.76076,6.3,10.58078,0.0,2.32805,4.88,12.123019,1.0,0.5451,1.0,1.633386,1.012269
6,2021.0,0.0,0.0,0.4575903,0.872,0.3114024,0.8334634102489544,0.6,2.09475,12.680499961945468,0.722722,6.3,10.051741,0.0995924987985673,2.2116475,4.88,11.51686805,1.0,0.517845,1.0,1.5517167,0.96165555
7,2022.0,0.0,0.0,0.43350659999999996,0.872,0.2950128,0.8334634102489547,0.6,1.9845,12.680499961945468,0.684684,6.3,9.522702,0.12031309170184583,2.095245,4.88,10.9107171,1.0,0.49058999999999997,1.0,1.4700474,0.9110421
8,2023.0,0.0,0.0,0.4094229,0.872,0.2786232,0.8334634102489545,0.6,1.87425,12.680499961945468,0.646646,6.3,8.993663,0.13033462573690047,1.9788425,4.88,10.30456615,1.0,0.463335,1.0,1.3883781,0.86042865
9,2024.0,0.0,0.0,0.3853392,0.872,0.2622336,0.8334634102489545,0.6,1.764,12.680499961945468,0.608608,6.3,8.464624,0.13033462573690047,1.86244,4.88,9.6984152,1.0,0.43608,1.0,1.3067088,0.8098152
10,2025.0,0.0,3.0,0.36125550000000006,0.872,0.245844,0.5070352583061304,0.6,1.65375,12.680499961945468,0.57057,6.3,7.935585,0.13033462573690047,1.7460375,4.88,9.09226425,1.0,0.408825,1.0003002747587542,1.2250394999999998,0.75920175
