,y,CSP (with storage),CSP (without storage),Solar FPV,Solar PV (roof top),Solar PV (utility),Solar PV with storage
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023.0,0.0,0.0,0.0,0.09380000000000001,3.9859999999999998,0.0
9,2024.0,0.0,0.0,0.0,0.09140000000000001,5.6514999999999995,0.0
10,2025.0,0.0,0.0,0.0,0.08900000000000001,7.3171,0.0
11,2026.0,0.0,0.0,0.0,0.0866,8.9826,0.0
12,2027.0,0.0,0.0,0.1022,0.0842,13.8756,0.0
13,2028.0,0.0,0.0,2.5215,0.0818,18.7686,0.0
14,2029.0,0.0,0.0,8.810500000000001,0.0794,23.6615,0.0
15,2030.0,0.0,0.0,12.7959,1.7456,28.554499999999997,0.0
16,2031.0,0.0,0.0,18.7539,4.0791,47.7965,0.0
17,2032.0,0.0,0.0,24.131300000000003,4.410399999999999,69.7013,4.9139
18,2033.0,0.0,0.0,33.2558,4.7417,91.6061,6.8795
19,2034.0,0.0,0.0,41.56100000000001,5.0731,113.51089999999999,7.3709
20,2035.0,0.0,0.0,41.56100000000001,5.3803,118.197,7.8623
21,2036.0,0.0,0.0,42.6558,5.692699999999999,140.1019,8.3536
22,2037.0,0.0,0.0,43.727199999999996,6.0116000000000005,162.0066,8.845
23,2038.0,0.0,0.0,45.5271,6.342899999999999,183.9115,9.3364
24,2039.0,0.0,0.0,47.9749,6.6742,205.8162,9.8278
25,2040.0,0.0,0.0,52.1134,7.0079,227.6573,10.3192
26,2041.0,0.0,0.0,52.1134,7.3416,267.8413,10.8106
27,2042.0,0.0,0.0,54.7974,7.6753,310.7974,11.302
28,2043.0,0.0,0.0,56.860600000000005,8.0091,352.52610000000004,11.7934
29,2044.0,0.0,0.0,58.722300000000004,8.3428,395.95990000000006,12.2848
30,2045.0,0.0,0.0,62.18090000000001,8.6765,439.6393,12.7762
31,2046.0,0.0,0.0,64.9023,9.0102,483.6006,13.2675
32,2047.0,0.0,0.0,67.8933,9.3439,525.9443,13.7589
33,2048.0,0.0,0.0,71.4524,9.6776,567.9602,14.2503
34,2049.0,0.0,0.0,75.2151,10.0113,611.4684,14.7417
35,2050.0,0.0,0.0,79.6987,10.345,652.5695000000001,15.2331
36,2051.0,0.0,0.0,78.9293,10.6787,693.7275,15.7245
37,2052.0,0.0,0.0,78.25670000000001,11.0125,732.5046,16.2159
38,2053.0,0.0,0.0,81.9901,11.3462,768.2316999999999,16.7073
39,2054.0,0.0,0.0,83.7515,11.6799,806.3043999999999,17.1987
40,2055.0,0.0,0.0,84.0629,12.0136,843.4176,17.6901
41,2056.0,0.0,0.0,83.83139999999999,12.3473,869.0892000000001,18.1815
42,2057.0,0.0,0.0,83.79899999999999,12.681,890.381,22.5602
43,2058.0,0.0,0.0,87.1563,13.0147,913.1044999999999,26.9389
44,2059.0,0.0,0.0,87.27959999999999,13.3484,936.2067,33.2745
45,2060.0,0.0,0.0,75.74180000000001,13.6821,974.4018000000001,38.305499999999995
46,2061.0,0.0,0.0,88.212,26.808500000000002,994.0588,43.3365
47,2062.0,0.0,0.0,86.3484,50.8579,1011.5092999999999,48.3675
48,2063.0,0.0,0.0,85.64330000000001,74.1367,1031.8457,53.3985
49,2064.0,0.0,23.3665,82.8768,102.71439999999998,1050.6357,58.4295
50,2065.0,0.0,49.3294,78.1918,132.0888,1076.2531000000001,63.4606
51,2066.0,0.0,75.2922,79.8922,162.2793,1050.1217000000001,68.4916
52,2067.0,0.0,101.255,70.0353,193.3064,1062.9818,73.5226
53,2068.0,0.0,127.2179,68.80279999999999,225.1931,1093.573,78.5535
54,2069.0,0.0,129.8141,67.0551,257.59409999999997,1089.9652,83.5845
55,2070.0,32.6642,132.4104,60.6851,290.42980000000006,1086.472,88.6155
