,y,Aswan 1 FPV,Aswan 2 FPV,High Aswan Dam FPV
0,2028.0,0.0,0.0,2.1004
1,2029.0,0.0,0.0,4.2008
2,2030.0,0.0,0.0,6.3012
3,2031.0,1.9639,1.8937,8.4016
4,2032.0,1.9639,1.8937,10.502
5,2033.0,1.9639,1.8937,12.6024
6,2034.0,1.9639,1.8937,14.7028
7,2035.0,1.9639,1.8937,14.7028
8,2036.0,1.9639,1.8937,14.7028
9,2037.0,1.9639,1.8937,14.7028
10,2038.0,1.9639,1.8937,14.7028
11,2039.0,1.9639,1.8937,14.7028
12,2040.0,1.9639,1.8937,14.7028
13,2041.0,1.9639,1.8937,14.7028
14,2042.0,1.9639,1.8937,14.7028
15,2043.0,1.9639,1.8937,14.7028
16,2044.0,1.9639,1.8937,14.7028
17,2045.0,1.9639,1.8937,14.7028
18,2046.0,1.9639,1.8937,14.7028
19,2047.0,1.9639,1.8937,14.7028
20,2048.0,1.9639,1.8937,14.7028
21,2049.0,1.9639,1.8937,14.7028
22,2050.0,1.9639,1.8937,14.7028
23,2051.0,1.9639,1.8937,14.7028
24,2052.0,1.9639,1.8937,14.7028
25,2053.0,1.9639,1.8937,14.7028
26,2054.0,1.9639,1.8937,14.7028
27,2055.0,1.9639,1.8937,14.7028
28,2056.0,1.9639,1.8937,14.7028
29,2057.0,1.9639,1.8937,14.7028
30,2058.0,1.9639,1.8937,14.7028
31,2059.0,1.9639,1.8937,14.7028
32,2060.0,1.9639,1.8937,14.7028
33,2061.0,1.9639,1.8937,14.7028
34,2062.0,1.9639,1.8937,14.7028
35,2063.0,1.9639,1.8937,14.7028
36,2064.0,1.9639,1.8937,14.7028
37,2065.0,1.9639,1.8937,14.7028
38,2066.0,1.9639,1.8937,14.7028
39,2067.0,1.9639,1.8937,14.7028
40,2068.0,1.9639,1.8937,14.7028
41,2069.0,1.9639,1.8937,14.7028
42,2070.0,1.9639,1.8937,14.7028
