,y,CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Solar FPV
8,2023.0,0.0,0.0,0.59014,0.0,0.0,0.0
9,2024.0,0.0,0.0,0.84013125,0.0,0.0,0.0
10,2025.0,0.0,0.0,1.0901225,0.0,0.0,0.0
11,2026.0,0.0,0.0,1.34011375,0.0,0.0,0.0
12,2027.0,0.0,0.0,1.5901049999999999,0.0,0.0,0.0
13,2028.0,0.0,0.0,1.84009625,0.0,0.0,0.3
14,2029.0,0.0,0.0,2.0900875,0.0,0.0,0.6
15,2030.0,0.0,0.0,2.34007875,0.25,0.0,0.8999999999999999
16,2031.0,0.0,0.0,2.84007,0.6000000000000023,0.0,1.75
17,2032.0,0.0,0.0,3.34006125,0.6500000000000034,0.5,2.05
18,2033.0,0.0,0.0,3.8400525,0.7000000000000042,0.7,2.35
19,2034.0,0.0,0.0,4.3400437499999995,0.7500000000000049,0.7500000000000066,2.650000000000005
20,2035.0,0.0,0.0,4.840035,0.8000000000000063,0.8000000000000073,2.650000000000005
21,2036.0,0.0,0.0,5.34002625,0.850000000000008,0.8500000000000082,2.650000000000005
22,2037.0,0.0,0.0,5.8400175,0.9000000000000103,0.9000000000000097,2.650000000000005
23,2038.0,0.0,0.0,6.34000875,0.9500000000000116,0.9500000000000105,2.650000000000005
24,2039.0,0.0,0.0,6.84,1.0000000000000122,1.0000000000000118,2.650000000000005
25,2040.0,0.0,0.0,7.33,1.0500000000000127,1.0500000000000118,2.650000000000005
26,2041.0,0.0,0.0,8.05,1.1000000000000139,1.1000000000000154,2.650000000000005
27,2042.0,0.0,0.0,8.8,1.1500000000000141,1.1500000000000152,2.650000000000005
28,2043.0,0.0,0.0,9.5,1.2000000000000155,1.2000000000000164,2.650000000000005
29,2044.0,0.0,0.0,10.25,1.2500000000000153,1.250000000000017,2.650000000000005
30,2045.0,0.0,0.0,11.0,1.3000000000000187,1.3000000000000203,2.650000000000005
31,2046.0,0.0,0.0,11.75,1.3500000000000187,1.3500000000000192,2.650000000000005
32,2047.0,0.0,0.0,12.25,1.400000000000023,1.400000000000022,2.650000000000005
33,2048.0,0.0,0.0,12.75,1.4500000000000002,1.45,2.650000000000005
34,2049.0,0.0,0.0,13.25,1.5000000000000249,1.5000000000000238,2.650000000000005
35,2050.0,0.0,0.0,13.75,1.550000000000026,1.5500000000000276,2.650000000000005
36,2051.0,0.0,0.0,14.25,1.6000000000000243,1.6000000000000258,2.650000000000005
37,2052.0,0.0,0.0,14.75,1.6500000000000257,1.6500000000000274,2.650000000000005
38,2053.0,0.0,0.0,15.25,1.7000000000000257,1.700000000000026,2.650000000000026
39,2054.0,0.0,0.0,15.75,1.750000000000027,1.750000000000028,2.650000000000027
40,2055.0,0.0,0.0,16.25,1.8000000000000287,1.800000000000027,2.650000000000028
41,2056.0,0.0,0.0,16.5,1.850000000000029,1.8500000000000272,2.6500000000000314
42,2057.0,0.0,0.0,16.75,1.90000000000003,1.9000000000000286,2.6500000000000306
43,2058.0,0.0,0.0,17.0,1.9500000000000308,1.95000000000003,2.6500000000000297
44,2059.0,0.0,0.0,17.25,2.000000000000032,2.0000000000000315,2.6500000000000004
45,2060.0,0.0,0.0,17.5,2.050000000000034,2.050000000000032,2.6500000000000004
46,2061.0,0.0,0.0,18.0,2.1000000000000334,2.100000000000031,2.6500000000000004
47,2062.0,0.0,0.0,18.5,2.1500000000000346,2.150000000000031,2.6500000000000004
48,2063.0,0.0,0.0,19.0,2.2000000000000335,2.200000000000031,2.6500000000000004
49,2064.0,1.8000000000000007,0.0,19.5,2.250000000000032,2.2500000000000306,2.6500000000000004
50,2065.0,3.8000000000000007,0.0,20.0,2.3000000000000327,2.300000000000032,2.6500000000000004
51,2066.0,5.800000000000001,0.0,20.25,2.3500000000000325,2.350000000000029,2.6500000000000004
52,2067.0,7.800000000000001,0.0,20.5,2.4000000000000337,2.4000000000000297,2.6500000000000004
53,2068.0,9.8,0.0,20.75,2.450000000000033,2.450000000000028,2.6500000000000004
54,2069.0,10.0000000000001,0.0,21.0,2.5000000000000333,2.5000000000000315,2.6500000000000004
55,2070.0,10.200000000000099,2.0,21.25,2.5500000000000385,2.5500000000000353,2.6500000000000004
