,y,Aswan 1,Aswan 2,Esna,High Aswan Dam,New Assiut Barrage,Naga Hamadi
0,2015,1048.8832,1011.4231,299.2838,5669.9178,0.0,239.7447
1,2016,1048.8832,1011.4231,299.2838,5669.9178,0.0,239.7447
2,2017,1048.8832,1011.4231,299.2838,5669.9178,0.0,239.7447
3,2018,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
4,2019,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
5,2020,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
6,2021,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
7,2022,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
8,2023,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
9,2024,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
10,2025,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
11,2026,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
12,2027,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
13,2028,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
14,2029,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
15,2030,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
16,2031,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
17,2032,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
18,2033,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
19,2034,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
20,2035,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
21,2036,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
22,2037,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
23,2038,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
24,2039,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
25,2040,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
26,2041,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
27,2042,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
28,2043,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
29,2044,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
30,2045,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
31,2046,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
32,2047,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
33,2048,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
34,2049,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
35,2050,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
36,2051,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
37,2052,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
38,2053,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
39,2054,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
40,2055,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
41,2056,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
42,2057,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
43,2058,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
44,2059,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
45,2060,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
46,2061,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
47,2062,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
48,2063,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
49,2064,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
50,2065,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
51,2066,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
52,2067,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
53,2068,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
54,2069,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
55,2070,1048.8832,1011.4231,299.2838,5669.9178,118.8984,239.7447
