,y,Gas,Hydro,Solar PV,Solar FPV,Wind,Geothermal
6,2023.0,0.0,7.088,0.0,0.0,0.0,0.2
7,2024.0,0.0,0.0,0.0,0.0,0.0,0.25
8,2025.0,0.0,1.025,0.0,0.0,0.0,0.2
9,2027.0,0.0,0.0,0.5,0.0,0.262,0.0
10,2028.0,0.0,0.0,0.5,0.0,0.446,0.0
11,2029.0,0.0,0.0,0.5,0.0,0.257,0.0
12,2030.0,0.604,0.0,0.5,0.3,0.0,0.0
13,2031.0,0.0,0.0,1.5,0.0,0.594,0.0
14,2032.0,0.0,0.0,1.5,0.0,0.354,0.0
15,2033.0,0.0,0.0,1.5,0.0,0.214,0.0
16,2034.0,0.084,0.0,1.5,0.0,0.275,0.0
17,2035.0,0.208,0.0,0.0,0.0,1.476,0.0
18,2036.0,0.0,0.0,1.5,0.0,0.903,0.0
19,2037.0,0.0,0.0,1.5,0.185,0.826,0.0
20,2038.0,0.156,0.0,1.5,0.3,0.389,0.0
21,2039.0,0.161,0.0,1.5,0.413,0.443,0.0
22,2040.0,0.44,0.0,1.5,0.347,0.149,0.0
23,2041.0,0.096,0.0,3.0,0.0,0.0,0.0
24,2042.0,0.0,0.0,3.0,0.464,0.0,0.0
25,2043.0,0.0,0.0,3.0,0.357,0.0,0.0
26,2044.0,0.0,0.0,3.0,0.322,0.0,0.0
27,2045.0,0.0,0.0,3.0,0.6,0.0,0.0
28,2046.0,0.0,0.0,3.0,0.6,0.658,0.0
29,2047.0,0.0,0.0,3.0,0.574,0.657,0.0
30,2048.0,0.0,0.0,3.0,0.6,0.924,0.0
31,2049.0,0.0,0.0,3.0,0.966,1.012,0.0
32,2050.0,0.0,0.0,3.0,0.6,1.237,0.0
33,2051.0,0.0,0.0,3.0,0.0,0.262,0.0
34,2052.0,0.0,0.0,3.0,0.16,0.696,0.0
35,2053.0,0.0,0.0,3.0,0.439,0.708,0.0
36,2054.0,0.0,0.0,3.0,0.442,0.852,0.0
37,2055.0,0.0,0.0,3.0,0.398,0.65,0.0
38,2056.0,0.0,0.0,3.0,0.0,1.803,0.0
39,2057.0,0.0,0.0,3.0,0.012,1.619,0.0
40,2058.0,0.0,0.0,3.0,0.638,1.389,0.0
41,2059.0,0.0,0.0,3.0,0.0,2.125,0.0
42,2060.0,0.0,0.0,3.0,0.0,4.12,0.0
43,2061.0,0.0,0.0,3.911,0.0,1.249,0.0
44,2062.0,0.0,0.0,5.248,0.185,0.0,0.0
45,2063.0,0.0,0.0,5.155,0.3,0.0,0.0
46,2064.0,0.0,0.0,5.72,0.413,0.0,0.0
47,2065.0,0.0,0.0,5.784,0.347,0.389,0.0
48,2066.0,0.0,0.0,5.849,0.0,0.254,0.0
49,2067.0,0.0,0.0,5.917,0.464,0.296,0.0
50,2068.0,0.0,0.0,5.986,0.357,0.603,0.0
51,2069.0,0.0,0.0,6.0,0.322,0.648,0.0
52,2070.0,0.0,0.0,6.0,0.6,1.026,0.0
