,y,Amarti-Neshe FPV,Baro FPV,Finchaa FPV,Lake Tana - Beles FPV,Renaissance FPV,Sor 2 FPV,Tekeze 1 FPV,Tekeze 2 FPV
0,2030.0,0.0,0.0,0.0,1.885,0.0,0.0,0.0,0.0
1,2031.0,0.0,0.0,0.0,1.885,0.0,0.0,0.0,0.0
2,2032.0,0.0,0.0,0.0,1.885,0.0,0.0,0.0,0.0
3,2033.0,0.0,0.0,0.0,1.885,0.0,0.0,0.0,0.0
4,2034.0,0.0,0.0,0.0,1.885,0.0,0.0,0.0,0.0
5,2035.0,0.0,0.0,0.0,1.885,0.0,0.0,0.0,0.0
6,2036.0,0.0,0.0,0.0,1.885,0.0,0.0,0.0,0.0
7,2037.0,0.0,0.0,0.0,1.885,1.0714,0.0,0.0,0.0
8,2038.0,0.0,0.0,0.0,1.885,2.8063,0.0,0.0,0.0
9,2039.0,0.0,0.0,0.0,2.598,4.5411,0.0,0.0,0.0
10,2040.0,0.0,0.0,0.0,2.8904,6.276,0.0,0.0,0.0
11,2041.0,0.0,0.0,0.0,2.8904,6.276,0.0,0.0,0.0
12,2042.0,0.0,0.0,0.0,2.8904,8.96,0.0,0.0,0.0
13,2043.0,0.0,0.0,0.0,2.8904,11.0232,0.0,0.0,0.0
14,2044.0,0.0,0.0,0.0,2.8904,12.8849,0.0,0.0,0.0
15,2045.0,0.0,0.0,0.0,2.8904,16.3546,0.0,0.0,0.0
16,2046.0,0.0,0.0,0.0,2.8904,19.8244,0.0,0.0,0.0
17,2047.0,0.0,0.0,0.0,2.8904,23.1425,0.0,0.0,0.0
18,2048.0,0.0,0.0,0.0,2.8904,26.6122,0.0,0.0,0.0
19,2049.0,0.0,0.0,0.0,2.8904,30.0819,0.0,0.0,2.2588
20,2050.0,0.0,0.0,0.0,2.8904,33.5517,0.0,0.0,2.2588
21,2051.0,0.0,0.0,0.0,2.8904,33.5517,0.0,0.0,2.2588
22,2052.0,0.0,0.0,0.0,2.8904,34.4742,0.0,0.0,2.2588
23,2053.0,0.0,0.0,0.0,2.8904,37.0105,0.0,0.0,2.001
24,2054.0,0.0,0.0,0.5338,2.8904,37.0105,0.0,1.2987,2.3429
25,2055.0,0.3114,0.0,0.5338,2.8904,37.0105,0.0,1.2987,2.3429
26,2056.0,0.3114,0.0,0.5338,2.8904,37.0105,0.0,1.2987,1.9856
27,2057.0,0.3114,0.0605,0.4841,2.8904,37.0105,0.0,1.2987,1.9856
28,2058.0,0.3687,3.2701,0.4841,2.8904,37.0105,0.0136,1.2987,1.9856
29,2059.0,0.3114,3.2701,0.4841,2.8904,37.0105,0.0136,1.2987,1.9856
30,2060.0,0.3746,2.6489,0.4929,2.3719,26.4223,0.0164,1.2948,1.7706
31,2061.0,0.4837,2.3263,0.6288,2.5757,37.0105,0.0164,1.3634,1.5031
32,2062.0,0.3338,3.0401,0.4345,1.8279,37.0105,0.0149,1.3634,1.9856
33,2063.0,0.3338,3.2701,0.4345,1.8279,37.0105,0.0149,1.1514,1.6649
34,2064.0,0.2247,2.6489,0.2987,2.2564,37.0105,0.0098,0.9168,1.3975
35,2065.0,0.2247,1.8367,0.2987,1.3094,33.4834,0.0098,0.6986,1.1129
36,2066.0,0.2247,3.2701,0.2987,1.3094,37.0105,0.0098,0.6986,1.1129
37,2067.0,0.2247,2.6489,0.2987,1.3094,29.9494,0.0098,0.6986,1.1129
38,2068.0,0.3114,1.8278,0.2987,1.3094,29.9494,0.0136,0.9168,1.2186
39,2069.0,0.4318,1.9948,0.5686,1.3094,26.4223,0.019,0.9168,1.2186
40,2070.0,0.2628,1.2753,0.4581,1.0867,24.3588,0.0155,0.6986,0.8979
