,y,Amarti-Neshe,Baro,Finchaa,Lake Tana - Beles,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Renaissance,Sor,Tis Abay 1,Tekeze 1,Tis Abay 2,Tekeze 2
8,2023.0,1.3901,0.0,1.7675,6.3945,1.6028,47.3655,13.3734,0.0714,0.3296,8.9878,2.3368,0.0
9,2024.0,1.3901,0.0,1.7675,6.3945,1.6028,47.3655,26.7468,0.0714,0.3296,8.9878,2.3368,0.0
10,2025.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,40.1202,0.0714,0.3296,8.9878,2.3368,11.3845
11,2026.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.2373,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
12,2027.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
13,2028.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
14,2029.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
15,2030.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
16,2031.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
17,2032.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
18,2033.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
19,2034.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
20,2035.0,1.3901,13.6907,1.7675,6.3945,1.4243,46.6916,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
21,2036.0,1.0072,13.048,1.6141,4.6218,1.6028,47.3655,53.4936,0.0325,0.1847,8.9878,2.3368,11.3845
22,2037.0,1.0072,13.6907,1.2618,3.5845,1.6028,47.3655,53.4936,0.0325,0.1847,8.9878,2.3368,10.4428
23,2038.0,1.0072,13.0691,1.2618,4.6449,1.6028,46.8665,53.4936,0.0325,0.1847,8.9878,2.3368,11.3845
24,2039.0,1.0072,13.6907,1.7675,4.6449,1.6028,46.6738,53.4936,0.0325,0.1847,8.9878,2.3368,11.3845
25,2040.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
26,2041.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
27,2042.0,1.0072,13.6907,1.7675,5.2347,1.6028,47.3655,53.4936,0.0318,0.1527,8.9878,2.3368,11.3845
28,2043.0,1.1024,13.6907,1.4662,4.1019,1.6028,47.1011,53.4936,0.0318,0.1527,8.9878,2.3368,11.3845
29,2044.0,1.1024,13.6907,1.4662,2.9838,1.6028,46.6741,53.4936,0.0318,0.1527,8.9878,2.3368,11.3845
30,2045.0,1.1024,13.6907,1.4662,4.2743,1.6028,47.2529,53.4936,0.0559,0.2614,8.9878,1.8533,10.1369
31,2046.0,1.1024,13.6907,1.4662,4.3946,1.6028,45.5128,53.4936,0.0559,0.2614,7.128,2.2324,11.3845
32,2047.0,1.1024,13.6907,1.4662,4.321,1.6028,44.7003,53.4936,0.0559,0.2614,7.128,2.2324,10.1369
33,2048.0,1.1024,13.6907,1.4662,5.5256,1.6028,47.3655,46.7793,0.0559,0.2614,7.128,2.2324,11.3845
34,2049.0,1.1024,13.6907,1.4662,5.7218,1.6028,47.3655,45.2685,0.0559,0.2614,7.128,1.8533,11.3845
35,2050.0,1.1024,13.6907,1.4662,5.7894,1.6028,47.3655,43.2687,0.0714,0.2614,7.128,1.8533,11.3845
36,2051.0,1.1024,13.6554,1.4662,5.3353,1.6028,45.8243,42.3744,0.0559,0.2614,7.128,1.8533,11.2565
37,2052.0,1.1024,13.6907,1.4662,5.0598,1.5312,42.9544,42.3744,0.0318,0.2614,7.8084,1.8533,11.3545
38,2053.0,1.1024,13.6907,0.0,5.0905,1.5312,42.7243,42.3744,0.0559,0.2614,7.128,1.8533,11.3845
39,2054.0,1.1024,13.6907,0.0,5.0598,1.5312,42.3534,42.3744,0.0559,0.2073,7.128,1.8533,9.0288
40,2055.0,1.1024,13.6907,0.0,4.9111,1.2654,40.9764,42.3744,0.0456,0.1749,7.128,1.8533,9.0288
41,2056.0,1.1024,13.6907,0.0,5.0598,1.5312,38.6802,42.3744,0.0318,0.2073,7.128,1.8533,9.0288
42,2057.0,1.1024,13.6907,0.0,3.9994,1.5312,38.6784,42.3744,0.0318,0.1527,7.128,1.8533,9.0288
43,2058.0,1.1024,13.6907,0.0,3.9994,1.5312,36.8967,42.3744,0.0318,0.1527,7.128,1.8533,9.0288
44,2059.0,1.1024,10.8927,0.0,3.6906,1.2712,36.2821,42.3744,0.0318,0.1527,8.586,1.8533,7.141
45,2060.0,0.6439,13.2019,0.0,4.4305,1.3734,46.9533,38.6972,0.0215,0.1202,7.128,1.4658,6.8851
46,2061.0,0.6439,13.2019,0.0,3.3932,0.758,35.8053,33.4718,0.0215,0.1737,7.1118,1.4658,6.0411
47,2062.0,0.5071,10.0299,0.0,3.7828,0.666,34.3921,42.3744,0.0215,0.1202,7.1118,1.8533,4.1532
48,2063.0,0.5071,13.2019,0.0,3.3701,0.7603,35.4934,35.2521,0.0215,0.1202,7.9866,2.3368,6.0411
49,2064.0,0.5071,11.532,0.0,3.3701,0.7603,34.7745,35.7761,0.0215,0.1202,7.1118,1.47,6.0411
50,2065.0,0.5071,8.7487,0.0,2.3328,0.7603,34.0056,43.3916,0.0215,0.1202,8.586,1.24,6.0411
51,2066.0,0.7376,12.7413,0.0,3.3701,0.7603,35.911,28.0248,0.0215,0.1202,6.2273,2.0024,7.9084
52,2067.0,0.8729,13.6907,0.0,3.9925,0.1749,30.7621,34.6511,0.0215,0.1202,8.9878,1.24,8.9878
53,2068.0,0.5071,12.2878,0.0,4.419,0.1749,29.9188,38.794,0.0215,0.1202,7.7015,1.24,7.141
54,2069.0,0.7321,5.5767,0.0,4.004,0.1272,25.6359,53.4936,0.0189,0.1415,7.1021,1.6233,6.0411
55,2070.0,1.1009,5.5767,0.0,5.0575,0.1272,28.4363,47.5999,0.0189,0.1745,8.0028,1.47,6.0411
