,y,Coal,Gas,Hydro,Solar PV,Solar FPV,Geothermal
3,2024.0,0.0,0.0,0.36,0.0,0.0,0.0
4,2025.0,0.0,0.0,0.42,0.0,0.0,0.0
5,2027.0,0.0,0.0,0.0,0.0,0.015,0.0
6,2028.0,0.0,0.0,0.312,0.0,0.045,0.0
7,2029.0,0.0,0.0,0.0,0.0,0.6,0.0
8,2030.0,0.0,0.0,0.853,0.0,0.0,0.0
9,2031.0,0.0,0.0,0.0,1.051,0.0,0.0
10,2032.0,0.0,0.0,0.0,1.5,0.469,0.0
11,2033.0,0.0,0.0,0.0,1.5,1.005,0.0
12,2034.0,0.0,0.0,0.0,1.5,0.891,0.0
13,2035.0,0.0,0.0,0.0,0.228,0.0,0.0
14,2036.0,0.0,0.0,0.0,1.5,0.16,0.0
15,2037.0,0.0,0.0,0.0,1.5,0.0,0.089
16,2038.0,0.0,0.0,0.0,1.5,0.01,0.1
17,2039.0,0.0,0.0,0.0,1.5,0.0,0.1
18,2040.0,0.0,0.028,0.312,1.5,0.3,0.1
19,2041.0,0.0,0.0,0.0,2.703,0.0,0.0
20,2042.0,0.0,0.107,0.0,3.0,0.0,0.002
21,2043.0,0.0,0.153,0.0,2.697,0.0,0.0
22,2044.0,0.0,0.158,0.0,3.0,0.0,0.0
23,2045.0,0.0,0.177,0.0,3.0,0.0,0.0
24,2046.0,0.0,0.349,0.0,3.0,0.0,0.0
25,2047.0,0.0,0.23,0.0,3.0,0.0,0.009
26,2048.0,0.0,0.273,0.0,3.0,0.0,0.0
27,2049.0,0.0,0.31,0.0,3.0,0.0,0.0
28,2050.0,0.0,0.349,0.0,3.0,0.0,0.0
29,2051.0,0.0,0.105,0.0,3.0,0.0,0.0
30,2052.0,0.0,0.122,0.0,3.0,0.0,0.0
31,2053.0,0.0,0.141,0.0,3.0,0.012,0.0
32,2054.0,0.0,0.148,0.0,3.0,0.66,0.0
33,2055.0,0.0,0.172,0.0,3.0,0.0,0.0
34,2056.0,0.0,0.304,0.0,3.0,0.019,0.0
35,2057.0,0.0,0.256,0.0,3.5,0.469,0.0
36,2058.0,0.0,0.273,0.0,3.5,1.031,0.0
37,2059.0,0.0,0.293,0.0,3.5,0.928,0.0
38,2060.0,0.0,0.16,0.0,3.5,0.233,0.0
39,2061.0,0.0,0.0,0.0,4.832,0.16,0.0
40,2062.0,0.0,0.005,0.0,4.887,0.0,0.089
41,2063.0,0.0,0.0,0.0,5.024,0.01,0.1
42,2064.0,0.0,0.0,0.0,5.304,0.0,0.076
43,2065.0,0.0,0.0,0.0,5.368,0.3,0.081
44,2066.0,0.0,0.08,0.0,5.435,0.0,0.043
45,2067.0,0.0,0.156,0.0,5.503,0.0,0.002
46,2068.0,0.013,0.115,0.0,5.572,0.0,0.0
47,2069.0,0.0,0.166,0.0,5.644,0.0,0.0
48,2070.0,0.0,0.2,0.0,5.717,0.0,0.0
