,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Biomass,Geothermal,power_trade
8,2023.0,0.0,9.27,0.0,40.83,0.07,0.0,2.91,0.0,10.17
9,2024.0,0.0,8.73,0.0,51.62,0.07,0.0,2.74,0.0,4.74
10,2025.0,0.0,8.19,0.0,64.04,0.06,0.0,1.71,0.0,-1.09
11,2026.0,0.0,7.63,0.0,64.04,0.06,0.0,1.54,0.0,4.97
12,2027.0,0.0,7.08,0.0,64.04,0.06,0.1,1.37,0.0,11.2
13,2028.0,0.0,6.53,0.0,73.39,0.06,0.42,1.2,0.0,8.37
14,2029.0,0.0,6.33,0.0,73.39,0.05,4.61,1.03,0.0,11.04
15,2030.0,0.0,5.45,0.0,98.94,0.05,4.61,0.86,0.0,-6.05
16,2031.0,0.0,4.91,0.0,98.94,6.28,4.61,0.68,0.0,-1.32
17,2032.0,0.0,4.36,0.0,98.94,15.16,7.89,0.51,0.0,-1.8
18,2033.0,0.0,3.8,0.0,98.94,24.04,14.92,0.34,0.0,-5.11
19,2034.0,0.0,3.27,0.0,98.94,32.93,21.12,0.17,0.0,-6.76
20,2035.0,0.0,2.73,0.0,98.54,34.26,21.12,0.0,0.0,-6.61
21,2036.0,0.0,2.18,0.0,98.94,43.14,22.22,0.0,0.0,-5.01
22,2037.0,0.0,1.63,0.0,98.83,52.02,22.22,0.0,2.39,-3.32
23,2038.0,0.0,1.09,0.0,98.93,60.91,22.28,0.0,5.07,-1.26
24,2039.0,0.0,0.57,0.0,98.94,69.8,22.28,0.0,7.75,2.0
25,2040.0,0.0,0.0,0.42,103.39,78.69,24.39,0.0,10.43,-0.49
26,2041.0,0.0,0.0,0.42,99.47,94.7,24.39,0.0,10.43,0.7
27,2042.0,0.0,0.0,1.64,95.43,112.48,24.39,0.0,10.48,-0.13
28,2043.0,0.0,0.0,3.5,93.4,128.46,24.39,0.0,10.48,-0.94
29,2044.0,0.0,0.0,5.1,90.89,146.23,24.39,0.0,10.48,-1.89
30,2045.0,0.0,0.0,6.77,89.61,164.01,24.38,0.0,9.77,-2.45
31,2046.0,0.0,0.0,10.67,86.26,181.65,23.63,0.0,9.51,-1.84
32,2047.0,0.0,0.0,12.35,85.64,198.73,23.3,0.0,9.73,-0.99
33,2048.0,0.0,0.0,16.58,85.51,215.52,23.4,0.0,9.73,-1.84
34,2049.0,0.0,0.0,20.56,85.82,234.49,21.43,0.0,9.73,-1.84
35,2050.0,0.0,0.0,25.93,86.6,250.62,22.44,0.0,9.73,-2.52
36,2051.0,0.0,0.0,26.08,84.39,267.67,21.67,0.0,9.73,-2.28
37,2052.0,0.0,0.0,26.75,82.13,285.52,20.08,0.0,9.73,-1.94
38,2053.0,0.0,0.0,28.14,80.29,300.27,21.54,0.0,9.73,-2.14
39,2054.0,0.0,0.0,28.98,78.06,317.11,21.12,0.0,9.73,-1.09
40,2055.0,0.0,0.0,30.56,76.68,334.0,21.12,0.0,9.73,-1.45
41,2056.0,0.0,0.0,35.3,78.2,345.4,21.26,0.0,9.73,-1.89
42,2057.0,0.0,0.0,39.27,79.39,358.61,21.21,0.0,9.73,-2.58
43,2058.0,0.0,0.0,43.43,80.45,371.9,21.28,0.0,9.73,-2.89
44,2059.0,0.0,0.0,47.03,81.72,385.03,21.46,0.0,9.73,-2.36
45,2060.0,0.0,0.0,47.55,80.08,403.83,21.8,0.0,9.73,-0.8
46,2061.0,0.0,0.0,46.17,75.63,421.49,23.75,0.0,9.73,-1.01
47,2062.0,0.0,0.0,45.13,73.22,441.86,21.77,0.0,9.73,-2.03
48,2063.0,0.0,0.0,43.59,70.68,462.37,21.37,0.0,9.73,-3.73
49,2064.0,0.0,0.0,41.58,69.82,482.47,19.55,0.0,8.21,-3.18
50,2065.0,0.0,0.0,39.52,67.24,500.4,20.66,0.0,8.68,-3.18
51,2066.0,0.0,0.0,39.54,71.15,512.91,17.39,0.0,10.72,-3.18
52,2067.0,0.0,0.0,40.99,72.67,528.66,15.23,0.0,10.72,-4.1
53,2068.0,0.23,0.0,41.52,74.68,572.62,14.4,0.0,8.56,-3.54
54,2069.0,0.23,0.0,43.06,74.47,563.72,15.6,0.0,9.72,-2.06
55,2070.0,0.23,0.0,44.65,75.46,571.75,13.07,0.0,9.73,-1.49
