,y,Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link
8,2023.0,7.5971,2.5733
9,2024.0,0.0,4.7382
10,2025.0,-1.0852,0.0
11,2026.0,-1.0231999999999999,5.9918
12,2027.0,5.2129,5.9918
13,2028.0,2.3772,5.9918
14,2029.0,5.0543,5.9918
15,2030.0,-3.6532999999999998,-2.3995
16,2031.0,-2.247,0.9321000000000002
17,2032.0,-4.3466000000000005,2.5507999999999997
18,2033.0,-7.3334,2.2199
19,2034.0,-8.6768,1.9222
20,2035.0,-8.9046,2.2907
21,2036.0,-7.6204,2.6115000000000004
22,2037.0,-6.1504,2.8331
23,2038.0,-4.2052,2.9545999999999997
24,2039.0,-1.2677999999999998,3.2653
25,2040.0,-2.2641,1.7662999999999998
26,2041.0,-2.4023,3.1001999999999996
27,2042.0,-3.8662,3.7388000000000003
28,2043.0,-4.4766,3.5382
29,2044.0,-4.2569,2.3713
30,2045.0,-3.9464000000000006,1.4979999999999998
31,2046.0,-3.3396,1.4979999999999998
32,2047.0,-2.4901,1.4979999999999998
33,2048.0,-3.3396,1.4979999999999998
34,2049.0,-3.3396,1.4979999999999998
35,2050.0,-3.3396,0.8173999999999997
36,2051.0,-3.3396,1.0648
37,2052.0,-3.3396,1.3989999999999998
38,2053.0,-3.3396,1.2014000000000002
39,2054.0,-3.3396,2.2532
40,2055.0,-3.3396,1.8902
41,2056.0,-3.3396,1.4509999999999998
42,2057.0,-3.3396,0.7643999999999997
43,2058.0,-3.3396,0.45330000000000004
44,2059.0,-3.3396,0.9847000000000001
45,2060.0,-2.6531999999999996,1.8509000000000002
46,2061.0,-3.0042999999999997,1.9896999999999998
47,2062.0,-3.3396,1.3137999999999999
48,2063.0,-3.3396,-0.3898999999999999
49,2064.0,-3.3396,0.16420000000000012
50,2065.0,-3.3396,0.16420000000000012
51,2066.0,-3.3396,0.16420000000000012
52,2067.0,-3.3396,-0.7592000000000001
53,2068.0,-3.3396,-0.19900000000000007
54,2069.0,-3.3396,1.2846000000000002
55,2070.0,-3.3396,1.8509000000000002
