,y,Coal,Oil,Gas,Hydro,Solar PV,Geothermal,Biomass,Crude oil Refinery,Natural gas extraction
8,2023.0,0.0,14.45,0.0,3834.24,0.0,0.0,107.1,10.15,0.0
9,2024.0,0.0,13.59,0.0,4847.03,0.0,0.0,100.8,10.47,0.0
10,2025.0,0.0,12.74,0.0,6013.26,0.0,0.0,63.0,10.81,0.43
11,2026.0,0.0,11.9,0.0,6013.26,0.0,0.0,56.7,11.14,0.43
12,2027.0,0.0,11.05,0.0,6013.26,0.0,0.0,50.4,11.5,0.43
13,2028.0,0.0,10.19,0.0,6891.01,0.0,0.0,44.1,11.87,0.43
14,2029.0,0.0,9.72,0.0,6891.01,0.0,0.0,37.8,12.25,0.0
15,2030.0,0.0,8.5,0.0,9290.76,0.0,0.0,31.5,12.04,0.0
16,2031.0,0.0,7.65,0.0,9290.76,0.04,0.0,25.2,1.07,0.0
17,2032.0,0.0,6.8,0.0,9290.76,0.1,0.0,18.9,0.72,0.0
18,2033.0,0.0,5.95,0.0,9290.76,0.15,0.0,12.6,0.36,0.0
19,2034.0,0.0,5.1,0.0,9290.76,0.21,0.0,6.3,0.0,0.0
20,2035.0,0.0,4.25,0.0,9253.06,0.22,0.0,0.0,0.0,0.0
21,2036.0,0.0,3.4,0.0,9290.76,0.28,0.0,0.0,0.0,0.0
22,2037.0,0.0,2.55,0.0,9280.73,0.33,0.05,0.0,0.0,0.0
23,2038.0,0.0,1.69,0.0,9289.8,0.39,0.1,0.0,0.0,0.0
24,2039.0,0.0,0.88,0.0,9290.76,0.45,0.15,0.0,0.0,0.0
25,2040.0,0.0,0.0,0.11,9708.92,0.5,0.2,0.0,0.0,0.0
26,2041.0,0.0,0.0,0.11,9340.63,0.6,0.2,0.0,0.0,0.0
27,2042.0,0.0,0.0,0.43,8961.57,0.72,0.2,0.0,0.0,0.0
28,2043.0,0.0,0.0,0.92,8770.98,0.82,0.2,0.0,0.0,0.0
29,2044.0,0.0,0.0,1.34,8535.41,0.93,0.2,0.0,0.0,0.0
30,2045.0,0.0,0.0,1.78,8415.21,1.05,0.18,0.0,0.0,0.0
31,2046.0,0.0,0.0,2.81,8101.16,1.16,0.18,0.0,0.0,0.0
32,2047.0,0.0,0.0,3.25,8042.08,1.27,0.18,0.0,0.0,0.0
33,2048.0,0.0,0.0,4.36,8029.99,1.38,0.18,0.0,0.0,0.0
34,2049.0,0.0,0.0,5.41,8059.43,1.5,0.18,0.0,0.0,0.0
35,2050.0,0.0,0.0,6.82,8132.94,1.6,0.18,0.0,0.0,0.0
36,2051.0,0.0,0.0,6.86,7925.18,1.71,0.18,0.0,0.0,0.0
37,2052.0,0.0,0.0,7.04,7712.25,1.82,0.18,0.0,0.0,0.0
38,2053.0,0.0,0.0,7.4,7539.96,1.92,0.18,0.0,0.0,0.0
39,2054.0,0.0,0.0,7.62,7329.89,2.03,0.18,0.0,0.0,0.0
40,2055.0,0.0,0.0,11.22,7201.6,2.13,0.18,0.0,0.0,0.0
41,2056.0,0.0,0.0,65.84,7344.22,2.21,0.18,0.0,0.0,0.0
42,2057.0,0.0,0.0,111.79,7454.72,2.29,0.18,0.0,0.0,0.0
43,2058.0,0.0,0.0,112.89,7554.29,2.38,0.18,0.0,0.0,0.0
44,2059.0,0.0,0.0,127.67,7674.56,2.46,0.18,0.0,0.0,0.0
45,2060.0,0.0,0.0,155.96,7519.51,2.58,0.18,0.0,0.0,0.0
46,2061.0,0.0,0.0,155.59,7102.4,2.7,0.18,0.0,0.0,0.0
47,2062.0,0.0,0.0,156.15,6876.21,2.82,0.18,0.0,0.0,0.0
48,2063.0,0.0,0.0,155.75,6636.61,2.95,0.18,0.0,0.0,0.0
49,2064.0,0.0,0.0,155.22,6557.59,3.08,0.16,0.0,0.0,0.0
50,2065.0,0.0,0.0,154.68,6313.79,3.2,0.16,0.0,0.0,0.0
51,2066.0,0.0,0.0,168.8,6681.22,3.27,0.2,0.0,0.0,0.0
52,2067.0,0.0,0.0,196.65,6824.49,3.38,0.2,0.0,0.0,0.0
53,2068.0,6.43,0.0,216.91,7012.85,3.66,0.16,0.0,0.0,0.0
54,2069.0,6.43,0.0,245.94,6992.76,3.61,0.18,0.0,0.0,0.0
55,2070.0,6.43,0.0,258.09,7086.89,3.65,0.18,0.0,0.0,0.0
