,y,Coal,Oil,Gas,Hydro,Solar PV,Geothermal,Biomass,Crude oil Refinery,Natural gas extraction
0,2023.0,0.0,5.95,0.0,3834.24,0.0,0.0,0.92,10.15,0.0
1,2024.0,0.0,5.6,0.0,4847.03,0.0,0.0,0.86,10.47,0.0
2,2025.0,0.0,5.24,0.0,6013.26,0.0,0.0,0.54,10.81,0.43
3,2026.0,0.0,4.89,0.0,6013.26,0.0,0.0,0.49,11.14,0.43
4,2027.0,0.0,4.54,0.0,6013.26,0.0,0.0,0.43,11.5,0.43
5,2028.0,0.0,4.2,0.0,6891.01,0.0,0.0,0.38,11.87,0.43
6,2029.0,0.0,4.08,0.0,6891.01,0.0,0.0,0.32,12.25,0.0
7,2030.0,0.0,3.49,0.0,9290.76,0.0,0.0,0.27,12.04,0.0
8,2031.0,0.0,3.14,0.0,9290.76,0.04,0.0,0.22,1.07,0.0
9,2032.0,0.0,2.79,0.0,9290.76,0.1,0.0,0.16,0.72,0.0
10,2033.0,0.0,2.46,0.0,9290.76,0.15,0.0,0.11,0.36,0.0
11,2034.0,0.0,2.1,0.0,9290.76,0.21,0.0,0.05,0.0,0.0
12,2035.0,0.0,1.75,0.0,9253.06,0.22,0.0,0.0,0.0,0.0
13,2036.0,0.0,1.4,0.0,9290.76,0.28,0.0,0.0,0.0,0.0
14,2037.0,0.0,1.05,0.0,9280.73,0.33,0.03,0.0,0.0,0.0
15,2038.0,0.0,0.7,0.0,9289.8,0.39,0.06,0.0,0.0,0.0
16,2039.0,0.0,0.36,0.0,9290.76,0.45,0.09,0.0,0.0,0.0
17,2040.0,0.0,0.0,0.09,9708.92,0.5,0.12,0.0,0.0,0.0
18,2041.0,0.0,0.0,0.09,9340.63,0.6,0.12,0.0,0.0,0.0
19,2042.0,0.0,0.0,0.36,8961.57,0.72,0.12,0.0,0.0,0.0
20,2043.0,0.0,0.0,0.77,8770.98,0.82,0.12,0.0,0.0,0.0
21,2044.0,0.0,0.0,1.13,8535.41,0.93,0.12,0.0,0.0,0.0
22,2045.0,0.0,0.0,1.5,8415.21,1.05,0.11,0.0,0.0,0.0
23,2046.0,0.0,0.0,2.36,8101.16,1.16,0.11,0.0,0.0,0.0
24,2047.0,0.0,0.0,2.73,8042.08,1.27,0.11,0.0,0.0,0.0
25,2048.0,0.0,0.0,3.66,8029.99,1.38,0.11,0.0,0.0,0.0
26,2049.0,0.0,0.0,4.54,8059.43,1.5,0.11,0.0,0.0,0.0
27,2050.0,0.0,0.0,5.73,8132.94,1.6,0.11,0.0,0.0,0.0
28,2051.0,0.0,0.0,5.76,7925.18,1.71,0.11,0.0,0.0,0.0
29,2052.0,0.0,0.0,5.91,7712.25,1.82,0.11,0.0,0.0,0.0
30,2053.0,0.0,0.0,6.21,7539.96,1.92,0.11,0.0,0.0,0.0
31,2054.0,0.0,0.0,6.4,7329.89,2.03,0.11,0.0,0.0,0.0
32,2055.0,0.0,0.0,6.76,7201.6,2.13,0.11,0.0,0.0,0.0
33,2056.0,0.0,0.0,7.93,7344.22,2.21,0.11,0.0,0.0,0.0
34,2057.0,0.0,0.0,8.9,7454.72,2.29,0.11,0.0,0.0,0.0
35,2058.0,0.0,0.0,9.82,7554.29,2.38,0.11,0.0,0.0,0.0
36,2059.0,0.0,0.0,10.64,7674.56,2.46,0.11,0.0,0.0,0.0
37,2060.0,0.0,0.0,10.82,7519.51,2.58,0.11,0.0,0.0,0.0
38,2061.0,0.0,0.0,10.52,7102.4,2.7,0.11,0.0,0.0,0.0
39,2062.0,0.0,0.0,10.29,6876.21,2.82,0.11,0.0,0.0,0.0
40,2063.0,0.0,0.0,9.95,6636.61,2.95,0.11,0.0,0.0,0.0
41,2064.0,0.0,0.0,9.5,6557.59,3.08,0.1,0.0,0.0,0.0
42,2065.0,0.0,0.0,9.05,6313.79,3.2,0.1,0.0,0.0,0.0
43,2066.0,0.0,0.0,9.08,6681.22,3.27,0.13,0.0,0.0,0.0
44,2067.0,0.0,0.0,9.47,6824.49,3.38,0.13,0.0,0.0,0.0
45,2068.0,0.03,0.0,9.63,7012.85,3.66,0.1,0.0,0.0,0.0
46,2069.0,0.03,0.0,10.03,6992.76,3.61,0.11,0.0,0.0,0.0
47,2070.0,0.03,0.0,10.41,7086.89,3.65,0.11,0.0,0.0,0.0
