,y,Bedden,Lakki
0,2015,0.0,0.0
1,2016,0.0,0.0
2,2017,0.0,0.0
3,2018,0.0,0.0
4,2019,0.0,0.0
5,2020,0.0,0.0
6,2021,0.0,0.0
7,2022,0.0,0.0
8,2023,0.0,0.0
9,2024,0.0,248.0548
10,2025,0.0,261.7208
11,2026,0.0,276.2953
12,2027,0.0,287.8044
13,2028,0.0,297.2441
14,2029,0.0,305.4364
15,2030,0.0,311.0374
16,2031,0.0,311.0374
17,2032,0.0,311.0374
18,2033,0.0,311.0374
19,2034,0.0,311.0374
20,2035,0.0,311.0374
21,2036,431.821,138.5797
22,2037,427.6415,175.3566
23,2038,395.4043,242.5452
24,2039,362.069,311.0374
25,2040,388.9067,311.0374
26,2041,429.6884,288.2055
27,2042,415.94,311.0374
28,2043,417.6604,311.0374
29,2044,424.5786,310.9612
30,2045,431.821,309.0522
31,2046,431.821,311.0374
32,2047,431.821,307.523
33,2048,426.6649,311.0374
34,2049,431.821,311.0374
35,2050,431.821,311.0374
36,2051,431.821,311.0374
37,2052,431.821,311.0374
38,2053,431.821,311.0374
39,2054,428.5703,311.0374
40,2055,425.2111,311.0374
41,2056,431.821,300.9564
42,2057,430.3527,301.0046
43,2058,419.6182,293.0076
44,2059,421.6709,274.9594
45,2060,422.0025,251.151
46,2061,419.6182,250.3469
47,2062,392.1695,264.7535
48,2063,390.4514,251.4018
49,2064,344.6824,281.7677
50,2065,364.852,245.8553
51,2066,386.5503,207.2433
52,2067,369.1121,207.3927
53,2068,348.0174,210.8142
54,2069,325.9658,193.6901
55,2070,228.9872,224.9295
