,y,Solar PV (utility),Solar PV (roof top),Solar PV with storage
8,2023.0,0.09014,0.0,0.0
9,2024.0,0.34013125,0.0,0.0
10,2025.0,0.5901225,0.0,0.0
11,2026.0,0.84011375,0.0,0.0
12,2027.0,1.0901049999999999,0.0,0.0
13,2028.0,1.34009625,0.0,0.0
14,2029.0,1.5900875,0.0,0.0
15,2030.0,1.84007875,0.25,0.030691946999298843
16,2031.0,2.34007,0.6000000000000022,0.5306919469992989
17,2032.0,2.84006125,0.6500000000000035,0.650000000000004
18,2033.0,3.3400525,0.7000000000000044,0.7000000000000053
19,2034.0,3.84004375,0.7500000000000051,0.7500000000000064
20,2035.0,4.340035,0.8000000000000055,0.8000000000000065
21,2036.0,4.84002625,0.8500000000000065,0.8500000000000072
22,2037.0,5.3400175,0.9000000000000086,0.9000000000000096
23,2038.0,5.84000875,0.9500000000000101,0.9500000000000106
24,2039.0,6.34,1.0000000000000115,1.0000000000000118
25,2040.0,6.83,1.05,1.0500000000000111
26,2041.0,7.55,1.1,1.1000000000000154
27,2042.0,8.3,1.15,1.1500000000000155
28,2043.0,9.0,1.2,1.2000000000000175
29,2044.0,9.75,1.25,1.250000000000017
30,2045.0,10.5,1.3,1.3000000000000165
31,2046.0,10.5,1.35,1.3500000000000194
32,2047.0,10.5,1.4000000000000228,1.4000000000000183
33,2048.0,10.5,1.45,1.4500000000000215
34,2049.0,10.25,1.5,1.500000000000024
35,2050.0,10.0,1.55,1.5500000000000278
36,2051.0,9.75,1.6,1.600000000000026
37,2052.0,9.5,1.65,1.6500000000000274
38,2053.0,9.25,1.7,1.7000000000000264
39,2054.0,9.0,1.75,1.750000000000028
40,2055.0,8.75,1.8000000000000234,1.8000000000000274
41,2056.0,8.25,1.8500000000000003,1.850000000000029
42,2057.0,7.75,1.9000000000000001,1.9000000000000306
43,2058.0,7.25,1.95,1.95000000000003
44,2059.0,6.75,2.000000000000032,2.0000000000000315
45,2060.0,6.25,2.0500000000000336,2.0500000000000322
46,2061.0,5.75,2.1000000000000334,2.1000000000000334
47,2062.0,5.25,2.1500000000000346,2.1500000000000346
48,2063.0,4.75,2.200000000000001,2.200000000000033
49,2064.0,4.25,2.25,2.2500000000000346
50,2065.0,3.75,2.3,2.300000000000031
51,2066.0,3.0,2.35,2.350000000000029
52,2067.0,2.25,2.4000000000000337,2.4000000000000297
53,2068.0,1.5,2.4500000000000335,2.450000000000028
54,2069.0,0.75,2.5000000000000333,2.5000000000000315
55,2070.0,0.0,2.5500000000000385,2.5500000000000353
