,y,CO2
8,2023,19.3808
9,2024,20.5155
10,2025,22.3438
11,2026,23.8591
12,2027,25.6383
13,2028,27.7508
14,2029,30.2856
15,2030,34.2642
16,2031,35.3437
17,2032,36.4632
18,2033,37.6829
19,2034,39.0486
20,2035,40.4544
21,2036,41.7524
22,2037,43.2114
23,2038,44.842
24,2039,46.3572
25,2040,47.9151
26,2041,48.5803
27,2042,49.5033
28,2043,50.3885
29,2044,51.3543
30,2045,52.2148
31,2046,53.0504
32,2047,53.8691
33,2048,54.6374
34,2049,55.5502
35,2050,56.3994
36,2051,57.0921
37,2052,57.7269
38,2053,58.3109
39,2054,58.9855
40,2055,59.6594
41,2056,60.288
42,2057,60.9963
43,2058,61.7221
44,2059,62.2971
45,2060,62.5034
46,2061,63.0917
47,2062,63.6769
48,2063,64.2554
49,2064,64.8573
50,2065,65.5069
51,2066,66.1547
52,2067,66.7707
53,2068,67.338
54,2069,67.9197
55,2070,68.5203
