,y,Biomass extraction/production/refining
8,2023.0,1911.2516
9,2024.0,1931.1787
10,2025.0,1950.0471
11,2026.0,1967.5564
12,2027.0,1987.417
13,2028.0,2006.0879
14,2029.0,2024.6848
15,2030.0,2043.174
16,2031.0,2032.493
17,2032.0,2022.0755
18,2033.0,2011.8596
19,2034.0,2001.804
20,2035.0,2015.2092
21,2036.0,2007.977
22,2037.0,2000.6228
23,2038.0,1993.1773
24,2039.0,1985.6766
25,2040.0,1978.1484
26,2041.0,1962.7822
27,2042.0,1947.4632
28,2043.0,1932.212
29,2044.0,1917.0484
30,2045.0,1901.9851
31,2046.0,1887.0125
32,2047.0,1872.1428
33,2048.0,1857.3746
34,2049.0,1842.7042
35,2050.0,1828.1268
36,2051.0,1813.0607
37,2052.0,1798.0887
38,2053.0,1783.1999
39,2054.0,1768.3816
40,2055.0,1753.6243
41,2056.0,1738.9251
42,2057.0,1724.2815
43,2058.0,1709.6869
44,2059.0,1695.1345
45,2060.0,1680.6208
46,2061.0,1665.5483
47,2062.0,1650.5286
48,2063.0,1635.5635
49,2064.0,1620.6559
50,2065.0,1605.8096
51,2066.0,1591.028
52,2067.0,1576.3161
53,2068.0,1561.681
54,2069.0,1547.1304
55,2070.0,1532.6709
