,y,Amarti-Neshe,Baro,Finchaa,Lake Tana - Beles,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Renaissance,Sor,Tis Abay 1,Tekeze 1,Tis Abay 2,Tekeze 2
8,2023.0,1.3901,0.0,1.7675,6.3945,1.6028,47.3655,13.3734,0.0714,0.3296,8.9878,2.3368,0.0
9,2024.0,1.3901,0.0,1.7675,6.3945,1.6028,47.3655,26.7468,0.0714,0.3296,8.9878,2.3368,0.0
10,2025.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,40.1202,0.0714,0.3296,8.9878,2.3368,11.3845
11,2026.0,1.3901,11.6682,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,10.1452
12,2027.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
13,2028.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
14,2029.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
15,2030.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
16,2031.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
17,2032.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
18,2033.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
19,2034.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
20,2035.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
21,2036.0,1.3901,11.9852,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
22,2037.0,1.3901,11.3724,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,9.6733
23,2038.0,1.3901,10.8341,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,10.0958
24,2039.0,1.3901,11.2392,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,10.0958
25,2040.0,1.3901,11.2392,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,10.0958
26,2041.0,1.3901,11.2708,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,10.0958
27,2042.0,1.3901,11.2392,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,10.0958
28,2043.0,1.3901,11.2392,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,10.0958
29,2044.0,1.3901,11.2392,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,10.0958
30,2045.0,1.3901,11.2392,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,10.0958
31,2046.0,1.3901,11.2392,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,10.0958
32,2047.0,1.3901,11.2392,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,9.4817
33,2048.0,1.3901,11.0384,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,8.249
34,2049.0,1.3901,10.4834,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,8.249
35,2050.0,1.3901,10.4834,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,8.249
36,2051.0,1.3901,10.4834,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,8.249
37,2052.0,1.3901,10.4834,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,8.249
38,2053.0,1.3901,10.4834,0.0,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,8.249
39,2054.0,1.3901,10.4834,0.0,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,8.249
40,2055.0,1.3901,10.4834,0.0,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,8.249
41,2056.0,1.3901,10.0299,0.0,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,7.141
42,2057.0,1.3901,9.5643,0.0,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,7.141
43,2058.0,1.3901,9.132,0.0,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,7.141
44,2059.0,1.3901,8.0567,0.0,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,7.141
45,2060.0,1.3901,7.2466,0.0,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,5.2736
46,2061.0,1.3901,7.2466,0.0,6.3945,0.9587,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,5.2736
47,2062.0,1.3901,7.2466,0.0,6.3945,0.9587,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,5.2736
48,2063.0,1.3901,7.2466,0.0,6.3945,0.9587,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,5.2736
49,2064.0,1.3901,7.2466,0.0,6.3945,0.9587,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,5.2736
50,2065.0,1.3901,6.8713,0.0,6.3945,0.9587,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,5.2736
51,2066.0,1.3901,5.3434,0.0,6.3945,0.9587,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,4.1409
52,2067.0,1.3901,5.3434,0.0,6.3945,0.4793,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,4.1409
53,2068.0,1.3901,5.3434,0.0,6.3945,0.4793,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,4.1409
54,2069.0,1.3901,5.3434,0.0,6.3945,0.4793,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,4.1409
55,2070.0,1.3901,5.3434,0.0,6.3945,0.4793,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,4.1409
