,y,Solar PV (utility),Solar PV (roof top),Solar PV with storage
8,2023.0,0.007328,0.004,0.0
9,2024.0,0.00687,0.004,0.0
10,2025.0,0.006412,0.004,0.0
11,2026.0,0.005954,0.004,0.0
12,2027.0,0.005496,0.004,0.0
13,2028.0,0.005038,0.004,0.0
14,2029.0,0.50458,0.004,0.0
15,2030.0,1.004122,0.004,0.0
16,2031.0,2.503664,0.004,0.0
17,2032.0,3.9009757784375707,0.004,0.0
18,2033.0,3.9005177784375706,0.004,0.0
19,2034.0,3.9000597784375706,0.004,0.0
20,2035.0,3.8996017784375705,0.003,0.0
21,2036.0,3.899143778437571,0.001,0.0
22,2037.0,3.898685778437571,0.0,0.0
23,2038.0,3.9927252691849864,0.0,0.0
24,2039.0,5.492267269184986,0.0,0.0
25,2040.0,6.992267269184986,0.0,0.0
26,2041.0,9.01885308068848,0.0,0.0
27,2042.0,9.01885308068848,0.0,0.0
28,2043.0,9.01885308068848,0.573258827465146,0.0
29,2044.0,9.01885308068848,1.0727658056601581,0.0
30,2045.0,9.01885308068848,1.4967916303572324,0.0
31,2046.0,9.01885308068848,3.751328649454832,0.0
32,2047.0,9.01885308068848,6.473433928899634,0.0
33,2048.0,9.01885308068848,8.512681959257177,0.0
34,2049.0,9.01885308068848,10.96182214108591,0.0
35,2050.0,9.01885308068848,13.96182214108591,0.0
36,2051.0,9.01885308068848,16.47588461441216,0.0
37,2052.0,9.01885308068848,19.34368205313213,0.0
38,2053.0,9.01885308068848,22.343682053132127,0.0
39,2054.0,8.51885308068848,25.343682053132127,0.0
40,2055.0,8.01885308068848,28.34368205313213,0.33168056797677326
41,2056.0,6.518853080688481,31.343682053132127,0.7933187144532152
42,2057.0,5.12108330225091,34.34368205313213,1.2933187144532152
43,2058.0,5.12108330225091,37.34368205313213,1.7933187144532152
44,2059.0,5.12108330225091,40.34368205313213,2.293318714453215
45,2060.0,5.12108330225091,43.34368205313213,2.793318714453215
46,2061.0,5.12108330225091,46.34368205313213,2.822564212913847
47,2062.0,5.12108330225091,49.34368205313213,2.898255711813435
48,2063.0,5.0265858115034945,51.77042322566699,3.398255711813435
49,2064.0,3.5265858115034945,54.27091624747197,3.898255711813435
50,2065.0,2.0265858115034945,56.84689042277489,4.3982557118134356
51,2066.0,0.0,57.59235340367729,4.8982557118134356
52,2067.0,1.2455883233123644,57.870248124232496,5.3982557118134356
53,2068.0,2.4462785109578107,58.83100009387495,5.8982557118134356
54,2069.0,2.909826822466166,59.38185991204622,6.3982557118134356
55,2070.0,4.482550215079994,59.38185991204622,6.8982557118134356
