,y,Oil,Gas,Hydro,Solar PV,Wind,Geothermal,Biomass,Crude Oil production,Crude oil Refinery,Natural gas extraction
8,2023.0,0.73,0.0,1979.47,0.0,0.0,0.3,88.26,0.0,0.0,0.0
9,2024.0,0.69,0.0,2296.05,0.0,0.0,0.43,83.07,0.0,0.0,0.0
10,2025.0,0.66,0.0,3206.22,0.0,0.0,0.53,51.92,0.15,13.06,0.0
11,2026.0,0.61,0.0,3445.59,0.0,0.0,0.53,18.84,0.0,13.52,0.0
12,2027.0,0.57,0.0,3522.81,0.0,0.0,0.53,41.53,0.0,13.98,0.0
13,2028.0,0.53,0.0,3522.81,0.0,0.01,0.53,36.34,0.0,14.47,0.0
14,2029.0,0.48,0.0,3522.81,0.02,0.02,0.53,31.15,0.0,14.97,0.0
15,2030.0,0.43,2.81,3522.81,0.04,0.02,0.53,25.96,0.0,15.45,0.01
16,2031.0,0.39,2.81,3522.81,0.1,0.02,0.53,20.77,0.0,15.9,0.01
17,2032.0,0.35,2.81,3522.81,0.16,0.02,0.53,15.58,0.0,16.36,0.01
18,2033.0,0.31,2.99,3522.81,0.16,0.04,0.53,10.38,0.0,16.86,0.01
19,2034.0,0.27,3.5,3522.81,0.16,0.05,0.53,5.19,0.0,17.34,0.01
20,2035.0,0.22,2.57,3522.81,0.11,0.08,0.53,0.0,0.0,18.05,0.01
21,2036.0,0.17,2.4,3482.44,0.1,0.1,0.53,0.0,0.0,18.6,0.01
22,2037.0,0.13,2.56,3427.42,0.1,0.12,0.53,0.0,0.0,19.16,0.01
23,2038.0,0.09,3.14,3424.68,0.11,0.14,0.53,0.0,0.0,19.74,0.01
24,2039.0,0.04,3.2,3434.27,0.16,0.15,0.53,0.0,0.0,20.33,0.01
25,2040.0,0.0,3.24,3434.27,0.21,0.17,0.53,0.0,0.0,20.94,0.01
26,2041.0,0.0,3.12,3435.02,0.28,0.17,0.53,0.0,0.0,21.42,0.01
27,2042.0,0.0,3.73,3434.27,0.28,0.19,0.53,0.0,0.0,21.91,0.01
28,2043.0,0.0,3.93,3434.27,0.3,0.21,0.53,0.0,0.0,22.42,0.02
29,2044.0,0.0,4.26,3434.27,0.32,0.22,0.53,0.0,0.0,22.93,0.02
30,2045.0,0.0,4.38,3434.27,0.33,0.25,0.47,0.0,0.0,23.45,0.02
31,2046.0,0.0,4.52,3434.27,0.41,0.26,0.38,0.0,0.0,23.99,0.02
32,2047.0,0.0,4.5,3419.73,0.53,0.27,0.33,0.0,0.0,24.53,0.02
33,2048.0,0.0,4.35,3385.81,0.6,0.29,0.23,0.0,0.0,25.09,0.02
34,2049.0,0.0,4.6,3372.67,0.69,0.31,0.1,0.0,0.0,25.67,0.02
35,2050.0,0.0,4.58,3372.67,0.8,0.33,0.0,0.0,0.0,26.25,0.02
36,2051.0,0.0,4.65,3372.67,0.9,0.33,0.0,0.0,0.0,26.71,0.02
37,2052.0,0.0,4.62,3372.67,1.01,0.33,0.0,0.0,0.0,27.19,0.02
38,2053.0,0.0,4.36,3330.83,1.13,0.33,0.0,0.0,0.0,27.66,0.02
39,2054.0,0.0,4.34,3330.83,1.24,0.33,0.0,0.0,0.0,28.15,0.02
40,2055.0,0.0,4.31,3330.83,1.35,0.33,0.0,0.0,0.0,28.65,0.02
41,2056.0,0.0,4.03,3293.85,1.47,0.33,0.0,0.0,0.0,29.15,0.01
42,2057.0,0.0,3.93,3282.83,1.59,0.33,0.0,0.0,0.0,29.66,0.01
43,2058.0,0.0,3.85,3272.6,1.74,0.32,0.0,0.0,0.0,30.17,0.01
44,2059.0,0.0,3.38,3247.14,1.89,0.32,0.0,0.0,0.0,30.7,0.01
45,2060.0,0.0,1.42,3183.77,2.04,0.33,0.0,0.0,0.0,31.23,0.01
46,2061.0,0.0,1.3,3168.52,2.16,0.33,0.0,0.0,0.0,31.67,0.01
47,2062.0,0.0,1.16,3168.52,2.29,0.32,0.0,0.0,0.0,32.1,0.01
48,2063.0,0.0,0.97,3168.52,2.43,0.32,0.0,0.0,0.0,32.55,0.0
49,2064.0,0.0,0.84,3168.52,2.53,0.32,0.0,0.0,0.0,32.99,0.0
50,2065.0,0.0,0.84,3159.63,2.64,0.32,0.0,0.0,0.0,33.45,0.0
51,2066.0,0.0,0.81,3096.65,2.68,0.34,0.0,0.0,0.0,33.9,0.0
52,2067.0,0.0,0.67,3085.31,2.73,0.35,0.0,0.0,0.0,34.36,0.0
53,2068.0,0.0,0.47,3085.31,2.8,0.36,0.0,0.0,0.0,34.83,0.0
54,2069.0,0.0,0.34,3085.31,2.85,0.37,0.0,0.0,0.0,35.3,0.0
55,2070.0,0.0,0.17,3085.31,2.89,0.39,0.0,0.0,0.0,35.78,0.0
