,y,Bedden,Lakki
0,2015,0.0,0.0
1,2016,0.0,0.0
2,2017,0.0,0.0
3,2018,0.0,0.0
4,2019,0.0,0.0
5,2020,0.0,0.0
6,2021,0.0,0.0
7,2022,0.0,0.0
8,2023,0.0,0.0
9,2024,0.0,248.0548
10,2025,0.0,261.7208
11,2026,0.0,276.2953
12,2027,0.0,287.8044
13,2028,0.0,297.2441
14,2029,0.0,305.4364
15,2030,0.0,311.0374
16,2031,0.0,311.0374
17,2032,0.0,311.0374
18,2033,0.0,311.0374
19,2034,0.0,311.0374
20,2035,0.0,311.0374
21,2036,390.6741,179.7267
22,2037,402.3029,200.6952
23,2038,351.6896,286.2599
24,2039,362.069,311.0374
25,2040,388.9067,311.0374
26,2041,431.0374,286.8564
27,2042,431.821,295.1564
28,2043,431.821,296.8767
29,2044,431.821,303.7188
30,2045,431.821,309.0522
31,2046,431.821,311.0374
32,2047,428.3067,311.0374
33,2048,431.821,305.8812
34,2049,431.821,311.0374
35,2050,431.821,311.0374
36,2051,431.821,311.0374
37,2052,431.821,311.0374
38,2053,431.821,311.0374
39,2054,431.821,307.7867
40,2055,431.821,304.4274
41,2056,431.821,300.9564
42,2057,430.3527,301.0046
43,2058,431.821,280.8048
44,2059,415.7066,277.012
45,2060,419.6182,253.5353
46,2061,368.1258,301.8394
47,2062,410.614,246.309
48,2063,346.0982,295.7549
49,2064,408.9768,221.9724
50,2065,397.341,213.3662
51,2066,373.5062,223.4333
52,2067,318.8967,264.5395
53,2068,270.3569,288.5174
54,2069,306.7858,212.8701
55,2070,269.2649,184.6517
