,y,Biomass extraction/production/refining
1,2016,2052.1437
2,2017,2083.7308
3,2018,2131.0532000000003
4,2019,2177.2097
5,2020,2221.2287
6,2021,2244.5693
7,2022,2268.0181
8,2023,2291.5408
9,2024,2317.5476999999996
10,2025,2341.1796
11,2026,2362.3053
12,2027,2385.7733
13,2028,2408.0465
14,2029,2430.2446999999997
15,2030,2452.3374999999996
16,2031,2452.3278999999998
17,2032,2451.8174000000004
18,2033,2450.8529999999996
19,2034,2449.4823
20,2035,2466.2658
21,2036,2462.6764000000003
22,2037,2458.9494
23,2038,2455.1169
24,2039,2451.2164000000002
25,2040,2447.2767
26,2041,2429.4927000000002
27,2042,2411.7606
28,2043,2394.1032
29,2044,2376.5423
30,2045,2359.0921000000003
31,2046,2341.6553000000004
32,2047,2324.3399000000004
33,2048,2307.1448000000005
34,2049,2290.0667000000003
35,2050,2273.1010000000006
36,2051,2258.1962000000003
37,2052,2243.4820999999997
38,2053,2228.9501999999998
39,2054,2214.5896999999995
40,2055,2200.3931000000002
41,2056,2186.3601999999996
42,2057,2172.4902
43,2058,2158.779
44,2059,2145.2214
45,2060,2131.8163999999997
46,2061,2117.8531999999996
47,2062,2104.0641000000005
48,2063,2090.4537
49,2064,2074.5917
50,2065,2058.9213999999997
51,2066,2045.8849
52,2067,2033.0554
53,2068,2020.4436
54,2069,2008.0612999999998
55,2070,1995.9192
