,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Wind,Biomass,Geothermal
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,7.007,31.948,6.156,0.0,0.064,1.313,0.434,0.008
2,2017.0,0.0,7.071,33.028,8.346,0.0,0.066,1.313,0.434,0.008
3,2018.0,0.0,7.183,49.378,8.378,0.0,0.11599999999999999,1.653,0.434,0.008
4,2019.0,0.0,7.295,49.378,8.378,0.0,0.11599999999999999,1.653,0.434,0.008
5,2020.0,0.0,7.295,49.632,8.378,0.0,0.216,1.653,0.434,0.128
6,2021.0,0.0,7.096,48.246,8.378,0.0,0.464,1.867,0.41200000000000003,0.298
7,2022.0,0.0,6.894,46.866,8.378,0.448,0.714,2.331,0.391,0.398
8,2023.0,0.0,6.694,45.477000000000004,15.466000000000001,1.448,1.362,2.7950000000000004,0.369,0.598
9,2024.0,0.0,6.494999999999999,44.076,16.236,1.606,1.712,3.259,0.44699999999999995,0.848
10,2025.0,3.0,6.164000000000001,42.677,17.681,2.232,2.492,3.722,0.41700000000000004,1.048
11,2026.0,6.0,5.96,41.278,17.681,2.232,3.341,3.937,0.395,1.048
12,2027.0,6.0,5.696,39.876000000000005,17.681,2.232,3.6550000000000002,4.15,0.373,1.048
13,2028.0,6.0,5.384,38.476,17.993,2.232,4.404,4.668,0.35200000000000004,1.047
14,2029.0,6.0,5.073,37.076,17.993,2.232,5.6530000000000005,4.881,0.33,1.047
15,2030.0,6.0,4.871,36.692,18.846,2.232,7.103,5.095,0.309,1.046
16,2031.0,6.0,4.671,35.292,18.846,2.232,10.651,5.936,0.28700000000000003,1.046
17,2032.0,6.0,4.4719999999999995,33.898,18.846,2.232,14.501,6.907,0.265,1.046
18,2033.0,6.0,4.272,34.529,18.846,2.232,18.1,8.052,0.244,1.045
19,2034.0,6.675,4.072,34.533,18.846,2.232,21.699,8.922,0.222,1.045
20,2035.0,7.675,3.8709999999999996,34.088,18.846,2.232,25.295,10.184000000000001,0.2,1.044
21,2036.0,8.675,3.67,33.69,19.416,2.232,28.89,11.504,0.2,1.044
22,2037.0,9.675,3.472,33.34,19.416,2.232,32.488,12.835,0.2,1.043
23,2038.0,10.675,3.271,33.125,19.416,2.232,36.086,13.908000000000001,0.2,1.134
24,2039.0,11.675,3.073,34.107000000000006,19.728,2.232,39.686,15.122,0.2,1.234
25,2040.0,12.675,1.522,35.458000000000006,19.728,2.232,43.276,15.392999999999999,0.2,1.333
26,2041.0,13.5,0.0,37.773,19.728,2.232,50.096000000000004,15.943,0.2,1.333
27,2042.0,14.0,0.0,39.00000000000001,19.701999999999998,2.232,57.097,16.692999999999998,0.2,1.3319999999999999
28,2043.0,14.5,0.0,40.441,19.701999999999998,2.232,64.21600000000001,17.236,0.2,1.3319999999999999
29,2044.0,15.0,0.0,41.616,19.692,2.232,71.305,18.428,0.2,1.388
30,2045.0,15.342,0.0,43.106,19.692,2.232,78.34100000000001,19.826999999999998,0.2,1.32
31,2046.0,15.342,0.0,48.958,19.422,2.232,85.304,21.098,0.2,1.15
32,2047.0,15.523,0.0,54.406,19.422,1.784,92.38199999999999,22.476,0.2,1.05
33,2048.0,17.027,0.0,46.265,19.422,0.784,99.453,24.323999999999998,0.2,0.8500000000000001
34,2049.0,17.527,0.0,50.794,19.422,0.626,106.395,27.235999999999997,0.2,0.6000000000000001
35,2050.0,18.027,0.0,52.815999999999995,19.422,0.0,112.98599999999999,30.795,0.2,0.4
36,2051.0,18.527,0.0,54.588,19.422,0.0,119.349,31.443,0.2,0.4
37,2052.0,19.027,0.0,56.395,19.422,0.0,126.155,32.248000000000005,0.2,0.4
38,2053.0,19.527,0.0,58.294,19.294,0.0,132.536,33.653,0.2,0.4
39,2054.0,20.027,0.0,60.336,19.294,0.0,138.462,35.010999999999996,0.2,0.4
40,2055.0,18.527,0.0,64.461,19.294,0.0,144.469,36.489999999999995,0.2,0.4
41,2056.0,17.027,0.0,68.721,19.294,0.0,148.66699999999997,38.965999999999994,0.2,0.4
42,2057.0,18.527,0.0,70.084,19.294,0.0,152.853,41.587999999999994,0.2,0.4
43,2058.0,20.069,0.0,71.449,19.294,0.0,157.467,44.343999999999994,0.2,0.4
44,2059.0,21.569,0.0,72.92,19.294,0.0,162.639,47.194,0.2,0.4
45,2060.0,23.239,0.0,73.33399999999999,19.294,0.072,170.57600000000002,50.143,0.2,0.4
46,2061.0,23.828,0.0,75.834,19.251,0.542,177.26199999999997,49.786,0.2,0.4
47,2062.0,24.328,0.0,78.352,19.251,1.055,185.769,49.42,0.2,0.4
48,2063.0,24.828,0.0,80.965,19.251,1.613,194.497,49.31,0.2,0.4
49,2064.0,25.328,0.0,83.61,19.251,2.339,203.576,49.061,0.1,0.376
50,2065.0,25.828,0.0,85.18599999999999,19.251,4.339,212.78699999999998,49.732,0.0,0.357
51,2066.0,26.433,0.0,87.158,19.251,6.339,218.897,50.982,0.0,0.4
52,2067.0,27.082,0.0,89.191,19.219,8.339,225.154,52.445,0.0,0.4
53,2068.0,27.743,0.0,91.483,19.219,9.8,231.275,54.498999999999995,0.0,0.4
54,2069.0,28.413,0.0,94.801,19.219,10.0,237.976,56.2,0.0,0.4
55,2070.0,29.115,0.0,96.677,19.219,12.2,245.014,58.040000000000006,0.0,0.4
