,y,CO2
1,2016,210.516
2,2017,208.1689
3,2018,205.1047
4,2019,206.1354
5,2020,206.3711
6,2021,209.7218
7,2022,212.4101
8,2023,212.5929
9,2024,219.2874
10,2025,240.1648
11,2026,256.1382
12,2027,259.7977
13,2028,262.7861
14,2029,266.2224
15,2030,268.2896
16,2031,273.1199
17,2032,278.0084
18,2033,283.8815
19,2034,292.6716
20,2035,301.7106
21,2036,311.1195
22,2037,320.5897
23,2038,329.8886
24,2039,338.4605
25,2040,304.2167
26,2041,310.7015
27,2042,319.4423
28,2043,325.9499
29,2044,332.1155
30,2045,337.7181
31,2046,342.2064
32,2047,348.2791
33,2048,361.0173
34,2049,367.4066
35,2050,373.9004
36,2051,380.8929
37,2052,388.0342
38,2053,395.3289
39,2054,402.7817
40,2055,402.435
41,2056,402.3169
42,2057,414.2997
43,2058,426.48
44,2059,438.6818
45,2060,451.2187
46,2061,459.9198
47,2062,468.8224
48,2063,477.9328
49,2064,487.2573
50,2065,495.3889
51,2066,503.1162
52,2067,511.1131
53,2068,519.8341
54,2069,530.4208
55,2070,538.6543
