,y,Biomass extraction/production/refining
1,2016.0,63.8342
2,2017.0,59.4491
3,2018.0,54.9623
4,2019.0,50.5551
5,2020.0,46.148
6,2021.0,46.148
7,2022.0,46.148
8,2023.0,46.148
9,2024.0,48.5838
10,2025.0,51.0195
11,2026.0,51.0195
12,2027.0,51.0195
13,2028.0,51.0195
14,2029.0,51.0195
15,2030.0,51.0195
16,2031.0,55.4267
17,2032.0,59.8339
18,2033.0,64.241
19,2034.0,68.6482
20,2035.0,73.0553
21,2036.0,77.4625
22,2037.0,81.8696
23,2038.0,86.2768
24,2039.0,90.684
25,2040.0,95.0911
26,2041.0,95.0911
27,2042.0,95.0911
28,2043.0,95.0911
29,2044.0,95.0911
30,2045.0,95.0911
31,2046.0,95.0911
32,2047.0,95.0911
33,2048.0,95.0911
34,2049.0,95.0911
35,2050.0,95.0911
36,2051.0,97.7354
37,2052.0,100.459
38,2053.0,103.2644
39,2054.0,106.1539
40,2055.0,109.13
41,2056.0,112.1955
42,2057.0,115.3529
43,2058.0,118.6051
44,2059.0,121.9548
45,2060.0,125.405
46,2061.0,128.9587
47,2062.0,132.619
48,2063.0,136.3892
49,2064.0,137.8366
50,2065.0,139.4006
51,2066.0,143.5203
52,2067.0,147.7636
53,2068.0,152.1342
54,2069.0,156.6359
55,2070.0,161.2727
