,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Wind,Biomass,power_trade
1,2016.0,0.0,47.09,451.22,66.14,0.0,0.27,12.43,0.0,-14.08
2,2017.0,0.0,30.44,471.23,66.14,0.0,0.27,12.43,0.0,-8.09
3,2018.0,0.0,7.57,497.9,67.09,0.0,0.6,16.69,0.0,-8.09
4,2019.0,0.0,7.57,515.71,67.09,0.0,0.6,16.69,0.0,-16.42
5,2020.0,0.0,7.57,524.26,67.09,0.0,1.27,16.69,0.0,-16.29
6,2021.0,0.0,7.19,534.21,67.09,0.0,2.94,19.48,0.0,-16.82
7,2022.0,0.0,6.83,536.63,67.09,6.31,4.61,25.48,0.0,-19.21
8,2023.0,0.0,6.44,510.0,67.09,20.97,9.57,31.48,0.0,-5.09
9,2024.0,0.0,6.06,558.86,67.09,23.01,12.07,37.48,1.58,-50.03
10,2025.0,80.04,5.68,557.14,67.09,32.43,14.56,43.47,3.17,-129.73
11,2026.0,160.08,5.3,498.62,67.09,32.43,17.06,46.26,3.17,-142.63
12,2027.0,160.08,4.92,513.98,67.09,32.43,18.73,49.05,3.17,-148.72
13,2028.0,160.08,4.55,521.58,67.09,32.43,20.4,51.84,3.17,-147.11
14,2029.0,160.08,4.17,534.21,67.09,32.43,22.07,54.63,3.17,-150.45
15,2030.0,160.08,3.79,532.93,67.09,32.43,25.06,57.42,3.17,-141.62
16,2031.0,160.08,3.4,571.55,67.09,32.43,28.73,63.35,3.17,-141.55
17,2032.0,160.08,3.02,606.44,67.09,32.43,35.36,69.27,3.17,-141.15
18,2033.0,160.08,8.75,638.81,67.09,32.43,39.52,75.2,3.17,-141.67
19,2034.0,178.09,15.35,654.29,67.09,32.43,43.68,81.12,3.17,-144.29
20,2035.0,204.77,17.57,659.28,67.09,32.43,47.84,87.05,3.17,-140.88
21,2036.0,231.45,18.25,670.77,67.09,32.43,52.0,92.98,3.17,-142.47
22,2037.0,258.13,17.7,684.46,67.09,32.43,56.16,98.9,3.17,-145.13
23,2038.0,284.81,17.15,696.89,67.09,32.43,60.33,104.83,3.17,-146.57
24,2039.0,311.49,16.19,707.83,67.09,32.43,64.49,110.75,3.17,-146.31
25,2040.0,338.17,6.74,730.08,67.09,32.43,68.59,113.67,3.17,-145.91
26,2041.0,360.17,0.0,755.44,67.09,32.43,74.21,120.57,3.17,-144.54
27,2042.0,373.51,0.0,780.92,67.09,32.43,80.05,129.97,3.17,-144.13
28,2043.0,386.85,0.0,811.59,67.09,32.43,85.54,135.11,3.17,-144.38
29,2044.0,400.19,0.0,837.18,67.09,32.43,91.37,144.52,3.17,-144.28
30,2045.0,409.31,0.0,867.68,67.09,32.43,96.54,153.93,3.17,-144.31
31,2046.0,409.31,0.0,912.46,67.09,32.43,100.7,160.2,3.17,-145.51
32,2047.0,413.53,0.0,962.11,67.09,26.11,104.86,163.27,3.17,-146.41
33,2048.0,453.55,0.0,973.1,67.09,11.45,109.03,166.51,3.17,-136.82
34,2049.0,466.89,0.0,1007.93,67.09,9.41,113.18,179.2,3.17,-145.71
35,2050.0,480.23,0.0,1037.72,67.09,0.0,117.35,191.89,3.17,-142.74
36,2051.0,493.57,0.0,1071.74,67.09,0.0,121.51,199.56,3.17,-142.74
37,2052.0,506.91,0.0,1107.36,67.09,0.0,125.67,207.64,3.17,-142.74
38,2053.0,520.25,0.0,1144.64,67.09,0.0,129.84,216.13,3.17,-142.74
39,2054.0,533.59,0.0,1183.64,67.09,0.0,134.0,225.06,3.17,-142.74
40,2055.0,493.57,0.0,1277.79,67.09,0.0,138.16,234.43,3.17,-142.74
41,2056.0,453.55,0.0,1373.76,67.09,0.0,140.65,245.92,3.17,-142.74
42,2057.0,493.57,0.0,1392.64,67.09,0.0,143.14,258.16,3.17,-144.06
43,2058.0,533.59,0.0,1413.65,67.09,0.0,145.63,270.91,3.17,-145.56
44,2059.0,573.61,0.0,1434.65,67.09,0.0,148.14,283.68,3.17,-144.52
45,2060.0,613.63,0.0,1459.42,67.09,0.94,150.63,296.43,3.17,-145.56
46,2061.0,626.97,0.0,1512.19,67.09,7.04,154.8,302.71,3.17,-145.56
47,2062.0,640.31,0.0,1567.22,67.09,13.7,158.95,308.98,3.17,-145.56
48,2063.0,653.65,0.0,1624.57,67.09,20.94,163.11,315.25,3.17,-145.56
49,2064.0,666.99,0.0,1684.32,67.09,30.36,167.28,321.52,1.58,-145.56
50,2065.0,680.33,0.0,1730.62,67.09,56.32,171.43,327.79,0.0,-145.56
51,2066.0,693.67,0.0,1770.53,67.09,82.28,173.93,343.76,0.0,-145.56
52,2067.0,707.01,0.0,1813.75,67.09,108.25,176.43,359.73,0.0,-145.56
53,2068.0,720.35,0.0,1867.38,67.09,127.22,178.92,375.71,0.0,-145.56
54,2069.0,733.68,0.0,1940.94,67.09,129.81,181.42,391.67,0.0,-145.56
55,2070.0,747.02,0.0,1985.49,67.09,165.07,183.91,407.65,0.0,-145.56
