,y,Egypt - Jordan Historic EL trade link,Egypt - Saudi Arabia Planned EL trade link,Egypt - Sudan Historic and Planned EL trade link,Libya - Egypt Historic EL trade link
1,2016.0,-8.9878,0.0,0.0,-5.0931
2,2017.0,-8.9878,0.0,5.9918,-5.0931
3,2018.0,-8.9878,0.0,5.9918,-5.0931
4,2019.0,-8.9878,0.0,-2.3356,-5.0931
5,2020.0,-8.9878,0.0,-2.2077,-5.0931
6,2021.0,-8.9878,0.0,-2.7357,-5.0931
7,2022.0,-8.9878,0.0,-5.1256,-5.0931
8,2023.0,-8.9878,0.0,8.9878,-5.0931
9,2024.0,-8.9878,-44.9388,8.9878,-5.0931
10,2025.0,-8.9878,-134.8164,8.9878,5.0931
11,2026.0,-8.9878,-134.8164,6.275,-5.0931
12,2027.0,-8.9878,-134.8164,0.17610000000000003,-5.0931
13,2028.0,-8.9878,-134.8164,1.7897,-5.0931
14,2029.0,-8.9878,-134.8164,-1.5478999999999998,-5.0931
15,2030.0,-8.9878,-134.8164,7.2828,-5.0931
16,2031.0,-8.9878,-134.8164,7.3544,-5.0931
17,2032.0,-8.9878,-134.8164,7.7494,-5.0931
18,2033.0,-8.9878,-134.8164,7.2318999999999996,-5.0931
19,2034.0,-8.9878,-134.8164,4.6071,-5.0931
20,2035.0,-8.9878,-134.8164,8.017700000000001,-5.0931
21,2036.0,-8.9878,-134.8164,6.4350000000000005,-5.0931
22,2037.0,-8.9878,-134.8164,3.7733,-5.0931
23,2038.0,-8.9878,-134.8164,2.3258,-5.0931
24,2039.0,-8.9878,-134.8164,2.5891,-5.0931
25,2040.0,-8.9878,-134.8164,2.9854000000000003,-5.0931
26,2041.0,-8.9878,-134.8164,4.3649000000000004,-5.0931
27,2042.0,-8.9878,-134.8164,4.7732,-5.0931
28,2043.0,-8.9878,-134.8164,4.5192000000000005,-5.0931
29,2044.0,-8.9878,-134.8164,4.62,-5.0931
30,2045.0,-8.9878,-134.8164,4.5926,-5.0931
31,2046.0,-8.9878,-134.8164,3.3867000000000003,-5.0931
32,2047.0,-8.9878,-134.8164,2.4901,-5.0931
33,2048.0,-8.9878,-127.9875,3.3396,-3.1779
34,2049.0,-8.9878,-134.8164,3.1899000000000006,-5.0931
35,2050.0,-8.9878,-134.8164,6.156000000000001,-5.0931
36,2051.0,-8.9878,-134.8164,6.156000000000001,-5.0931
37,2052.0,-8.9878,-134.8164,6.156000000000001,-5.0931
38,2053.0,-8.9878,-134.8164,6.156000000000001,-5.0931
39,2054.0,-8.9878,-134.8164,6.156000000000001,-5.0931
40,2055.0,-8.9878,-134.8164,6.156000000000001,-5.0931
41,2056.0,-8.9878,-134.8164,6.156000000000001,-5.0931
42,2057.0,-8.9878,-134.8164,4.838500000000001,-5.0931
43,2058.0,-8.9878,-134.8164,3.3396,-5.0931
44,2059.0,-8.9878,-134.8164,4.3795,-5.0931
45,2060.0,-8.9878,-134.8164,3.3396,-5.0931
46,2061.0,-8.9878,-134.8164,3.3396,-5.0931
47,2062.0,-8.9878,-134.8164,3.3396,-5.0931
48,2063.0,-8.9878,-134.8164,3.3396,-5.0931
49,2064.0,-8.9878,-134.8164,3.3396,-5.0931
50,2065.0,-8.9878,-134.8164,3.3396,-5.0931
51,2066.0,-8.9878,-134.8164,3.3396,-5.0931
52,2067.0,-8.9878,-134.8164,3.3396,-5.0931
53,2068.0,-8.9878,-134.8164,3.3396,-5.0931
54,2069.0,-8.9878,-134.8164,3.3396,-5.0931
55,2070.0,-8.9878,-134.8164,3.3396,-5.0931
