,y,Oil,Gas,Hydro,Solar PV,Wind,Biomass,Geothermal,power_trade
1,2016.0,0.68,0.0,31.93,0.08,3.33,2.82,0.21,-0.22
2,2017.0,0.68,0.0,54.52,0.09,3.33,0.0,0.21,-11.03
3,2018.0,0.68,0.0,59.13,0.09,3.33,1.14,0.21,-8.37
4,2019.0,0.68,0.0,59.94,0.09,3.33,2.82,0.21,-2.43
5,2020.0,0.68,0.0,59.94,0.09,3.33,2.82,3.43,2.64
6,2021.0,0.65,0.0,59.94,0.08,3.24,2.68,7.98,3.3
7,2022.0,0.62,0.0,59.94,0.08,3.15,2.54,10.66,6.3
8,2023.0,0.58,0.0,83.62,0.08,3.06,2.4,16.03,-15.82
9,2024.0,0.55,0.0,97.0,0.07,2.97,2.26,22.73,-28.66
10,2025.0,0.51,0.0,135.44,0.07,2.89,1.41,28.09,-62.98
11,2026.0,0.48,0.0,145.53,0.07,2.8,0.51,28.08,-64.83
12,2027.0,0.44,0.0,148.81,0.48,2.71,1.13,28.07,-61.59
13,2028.0,0.41,0.0,148.81,3.71,5.75,0.99,28.06,-59.66
14,2029.0,0.38,0.0,148.81,6.93,5.66,0.85,28.05,-54.24
15,2030.0,0.34,11.3,148.81,10.16,5.57,0.7,28.04,-58.73
16,2031.0,0.31,11.3,148.81,19.84,9.38,0.56,28.03,-61.47
17,2032.0,0.27,11.3,148.81,29.52,14.53,0.42,28.02,-64.76
18,2033.0,0.24,10.49,148.81,39.19,21.48,0.28,28.01,-68.04
19,2034.0,0.2,11.4,148.81,48.87,25.59,0.14,28.0,-69.41
20,2035.0,0.17,9.65,147.48,58.54,33.74,0.0,27.99,-67.58
21,2036.0,0.14,9.38,145.44,68.21,42.51,0.0,27.98,-68.06
22,2037.0,0.1,9.24,143.8,77.88,51.36,0.0,27.97,-68.07
23,2038.0,0.07,11.03,143.99,87.56,57.57,0.0,27.96,-67.95
24,2039.0,0.03,12.58,143.98,97.24,65.23,0.0,27.94,-67.5
25,2040.0,0.0,19.11,148.16,106.92,65.64,0.0,27.93,-67.46
26,2041.0,0.0,18.14,147.26,126.29,65.64,0.0,27.92,-67.5
27,2042.0,0.0,18.64,146.77,145.65,65.64,0.0,27.91,-68.39
28,2043.0,0.0,19.22,145.62,165.02,67.01,0.0,27.9,-68.99
29,2044.0,0.0,18.8,142.18,184.38,71.58,0.0,27.89,-68.4
30,2045.0,0.0,19.1,139.97,203.75,78.28,0.0,24.66,-67.48
31,2046.0,0.0,19.66,138.96,223.11,86.24,0.0,20.1,-66.64
32,2047.0,0.0,19.07,135.38,242.47,97.9,0.0,17.42,-66.3
33,2048.0,0.0,18.8,131.25,261.84,114.26,0.0,12.06,-66.3
34,2049.0,0.0,18.48,126.61,281.2,134.02,0.0,5.36,-66.3
35,2050.0,0.0,16.47,118.09,300.57,160.46,0.0,0.0,-67.1
36,2051.0,0.0,16.18,116.39,319.93,160.85,0.0,0.0,-66.81
37,2052.0,0.0,16.14,114.48,338.88,162.54,0.0,0.0,-66.81
38,2053.0,0.0,16.08,110.15,355.02,170.1,0.0,0.0,-66.81
39,2054.0,0.0,15.87,107.43,371.15,176.85,0.0,0.0,-66.81
40,2055.0,0.0,15.63,104.56,387.29,184.46,0.0,0.0,-66.81
41,2056.0,0.0,15.34,100.5,396.97,200.67,0.0,0.0,-67.06
42,2057.0,0.0,14.34,97.98,406.65,216.56,0.0,0.0,-67.13
43,2058.0,0.0,13.48,95.45,416.34,232.86,0.0,0.0,-66.98
44,2059.0,0.0,12.84,92.77,426.02,249.98,0.0,0.0,-66.98
45,2060.0,0.0,4.08,84.12,454.31,261.26,0.0,0.0,-67.67
46,2061.0,0.0,5.08,84.27,478.98,250.48,0.0,0.0,-67.64
47,2062.0,0.0,4.65,84.39,505.46,238.93,0.0,0.0,-67.05
48,2063.0,0.0,3.95,82.42,532.33,229.22,0.0,0.0,-65.97
49,2064.0,0.0,4.03,81.69,559.61,218.64,0.0,0.0,-66.08
50,2065.0,0.0,2.07,77.17,587.29,215.08,0.0,0.0,-67.36
51,2066.0,0.0,2.4,87.05,605.72,203.06,0.0,0.0,-67.28
52,2067.0,0.0,2.27,105.43,620.43,185.69,0.0,0.0,-65.81
53,2068.0,0.0,1.02,87.73,606.67,236.54,0.0,0.0,-66.16
54,2069.0,0.0,0.63,98.51,661.43,191.04,0.0,0.0,-67.81
55,2070.0,0.0,0.0,99.26,680.59,190.98,0.0,0.0,-68.48
