,y,Amarti-Neshe,Baro,Finchaa,Lake Tana - Beles,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Renaissance,Sor,Tis Abay 1,Tekeze 1,Tis Abay 2,Tekeze 2
1,2016.0,1.3901,0.0,1.7675,6.3945,1.6028,9.0477,0.0,0.0714,0.3296,8.9878,2.3368,0.0
2,2017.0,0.5487,0.0,1.5452,5.7782,1.6028,37.0595,0.0,0.0282,0.1301,6.5124,1.3057,0.0
3,2018.0,0.8177,0.0,1.7675,6.3945,1.6028,37.0595,0.0,0.0282,0.1301,8.9878,2.3368,0.0
4,2019.0,1.3901,0.0,1.7675,6.3945,1.6028,37.0595,0.0,0.0714,0.3296,8.9878,2.3368,0.0
5,2020.0,1.3901,0.0,1.7675,6.3945,1.6028,37.0595,0.0,0.0714,0.3296,8.9878,2.3368,0.0
6,2021.0,1.3901,0.0,1.7675,6.3945,1.6028,37.0595,0.0,0.0714,0.3296,8.9878,2.3368,0.0
7,2022.0,1.3901,0.0,1.7675,6.3945,1.6028,37.0595,0.0,0.0714,0.3296,8.9878,2.3368,0.0
8,2023.0,1.3901,0.0,1.7675,6.3945,1.6028,47.3655,13.3734,0.0714,0.3296,8.9878,2.3368,0.0
9,2024.0,1.3901,0.0,1.7675,6.3945,1.6028,47.3655,26.7468,0.0714,0.3296,8.9878,2.3368,0.0
10,2025.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,40.1202,0.0714,0.3296,8.9878,2.3368,11.3845
11,2026.0,1.3901,12.5675,1.7675,6.3945,1.6028,45.2069,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
12,2027.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
13,2028.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
14,2029.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
15,2030.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
16,2031.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
17,2032.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
18,2033.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
19,2034.0,1.3901,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0714,0.3296,8.9878,2.3368,11.3845
20,2035.0,1.0072,13.6907,1.7675,6.3945,1.6028,47.3655,53.4936,0.0325,0.1847,8.9878,1.6974,11.2611
21,2036.0,0.7792,13.6907,1.7675,3.8163,1.6028,47.3655,53.4936,0.0325,0.1847,8.9878,2.3368,11.3845
22,2037.0,0.7792,13.6907,1.7675,4.6449,1.6028,47.3655,53.4936,0.0325,0.1847,8.9878,2.0807,9.1812
23,2038.0,0.7792,13.3654,1.7675,4.6218,1.6028,47.3655,53.4936,0.0325,0.1847,8.9878,1.6932,10.0958
24,2039.0,1.0072,13.6907,1.5083,4.6218,1.6028,47.3655,53.4936,0.0325,0.1847,8.9878,1.6932,9.7999
25,2040.0,1.0072,13.6076,1.7675,6.3945,1.6028,47.3655,53.4936,0.0325,0.1847,8.9878,2.3368,11.3845
26,2041.0,1.0072,13.6907,1.7675,5.4121,1.6028,47.3655,53.4936,0.0325,0.1847,8.9878,2.3368,11.3845
