,y,Amarti-Neshe,Baro,Finchaa,Lake Tana - Beles,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Renaissance,Sor,Tis Abay 1,Tekeze 1,Tis Abay 2,Tekeze 2
0,2015,32.9068,0.0,41.8418,151.3735,37.9427,214.181,0.0,1.6897,7.8013,212.7626,55.3183,0.0
1,2016,32.9068,0.0,41.8418,151.3735,37.9427,214.181,0.0,1.6897,7.8013,212.7626,55.3183,0.0
2,2017,12.9895,0.0,36.5778,136.7852,37.9427,877.291,0.0,0.667,3.0795,154.1647,30.9096,0.0
3,2018,19.3577,0.0,41.8418,151.3735,37.9427,877.291,0.0,0.667,3.0795,212.7626,55.3183,0.0
4,2019,32.9068,0.0,41.8418,151.3735,37.9427,877.291,0.0,1.6897,7.8013,212.7626,55.3183,0.0
5,2020,32.9068,0.0,41.8418,151.3735,37.9427,877.291,0.0,1.6897,7.8013,212.7626,55.3183,0.0
6,2021,32.9068,0.0,41.8418,151.3735,37.9427,877.291,0.0,1.6897,7.8013,212.7626,55.3183,0.0
7,2022,32.9068,0.0,41.8418,151.3735,37.9427,877.291,0.0,1.6897,7.8013,212.7626,55.3183,0.0
8,2023,32.9068,0.0,41.8418,151.3735,37.9427,1121.2587,316.5815,1.6897,7.8013,212.7626,55.3183,0.0
9,2024,32.9068,0.0,41.8418,151.3735,37.9427,1121.2587,633.1631,1.6897,7.8013,212.7626,55.3183,0.0
10,2025,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,949.7446,1.6897,7.8013,212.7626,55.3183,269.4993
11,2026,32.9068,297.5048,41.8418,151.3735,37.9427,1070.1602,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
12,2027,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
13,2028,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
14,2029,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
15,2030,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
16,2031,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
17,2032,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
18,2033,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
19,2034,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
20,2035,23.8438,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,0.7705,4.3731,212.7626,40.1825,266.5788
21,2036,18.4463,324.0934,41.8418,90.3419,37.9427,1121.2587,1266.3255,0.7705,4.3731,212.7626,55.3183,269.4993
22,2037,18.4463,324.0934,41.8418,109.9559,37.9427,1121.2587,1266.3255,0.7705,4.3731,212.7626,49.256,217.342
23,2038,18.4463,316.3914,41.8418,109.4102,37.9427,1121.2587,1266.3255,0.7705,4.3731,212.7626,40.0828,238.9936
24,2039,23.8438,324.0934,35.705,109.4102,37.9427,1121.2587,1266.3255,0.7705,4.3731,212.7626,40.0828,231.987
25,2040,23.8438,322.1263,41.8418,151.3735,37.9427,1121.2587,1266.3255,0.7705,4.3731,212.7626,55.3183,269.4993
26,2041,23.8438,324.0934,41.8418,128.1185,37.9427,1121.2587,1266.3255,0.7705,4.3731,212.7626,55.3183,269.4993
27,2042,23.8438,324.0934,41.8418,116.4626,37.9427,1121.2587,1266.3255,0.7705,4.3731,212.7626,55.3183,269.4993
28,2043,23.8438,324.0934,41.8418,113.4831,37.9427,1121.2587,1266.3255,0.7521,3.6138,189.4461,55.3183,269.4993
29,2044,20.6409,324.0934,34.7087,94.6766,37.9427,1121.2587,1266.3255,0.7521,3.6138,212.7626,49.256,199.7641
30,2045,20.6409,312.5223,34.7087,70.1207,37.9427,1121.2587,1266.3255,0.7521,3.6138,189.4461,55.3183,201.0664
31,2046,20.6409,324.0934,34.7087,94.6766,37.9427,1121.2587,1159.9721,0.7521,3.6138,189.4461,55.3183,247.0513
32,2047,20.6409,324.0934,34.7087,95.2223,37.9427,1121.2587,1139.1803,0.7521,3.6138,133.456,55.3183,238.5727
33,2048,15.2434,324.0934,34.7087,70.1207,37.9427,1121.2587,1014.4895,0.7521,3.6138,168.7374,55.3183,260.5745
34,2049,15.2434,324.0934,34.7087,70.1207,37.9427,1121.2587,918.9304,0.7521,3.6138,168.7374,49.0566,252.8718
35,2050,15.2434,324.0934,18.9036,70.1207,37.9427,1067.3981,820.264,0.7521,3.6138,168.7374,55.3183,213.2483
36,2051,15.2434,293.0961,27.2426,70.1207,37.9427,1002.1335,808.9202,0.7521,3.6138,212.7626,43.772,239.9651
37,2052,15.2434,324.0934,34.7087,94.6766,37.9427,973.2024,797.0948,0.7521,3.6138,133.456,55.3183,239.9651
38,2053,15.2434,282.421,0.0,144.607,37.9427,937.1861,812.6117,0.7521,3.6138,98.558,34.7983,239.9651
39,2054,20.5816,275.2641,0.0,120.0511,37.9427,889.2463,801.1421,0.7521,3.6138,98.558,34.7983,261.6242
40,2055,15.2434,324.0934,0.0,120.0511,37.9427,883.9519,706.7735,0.7521,4.8793,98.558,55.3183,227.7195
41,2056,18.4463,312.5223,0.0,120.0511,30.0915,840.4582,696.4957,0.7521,3.6138,98.558,43.8717,214.7232
42,2057,15.2434,312.5223,0.0,120.0511,30.0915,794.1974,685.8361,0.7521,4.8793,98.558,43.8717,213.7341
43,2058,15.2434,312.5223,0.0,120.0511,30.0915,798.9558,674.7843,0.7521,4.8793,98.558,34.6986,169.0442
44,2059,15.2434,237.4321,0.0,120.0511,30.0915,777.3307,663.3295,0.7521,4.8793,98.558,34.6986,213.7341
45,2060,18.4463,274.3319,0.0,80.0522,30.0915,701.5472,583.9027,0.5084,2.846,98.558,34.6986,166.1995
