,y,CO2
1,2016,16.8672
2,2017,15.8725
3,2018,15.4749
4,2019,15.0752
5,2020,14.6754
6,2021,15.0359
7,2022,15.4063
8,2023,18.7033
9,2024,17.9474
10,2025,57.4934
11,2026,57.9242
12,2027,58.3799
13,2028,58.8546
14,2029,18.472
15,2030,18.9658
16,2031,19.4067
17,2032,20.2169
18,2033,21.0336
19,2034,21.8601
20,2035,20.9132
21,2036,21.4538
22,2037,22.0294
23,2038,22.6522
24,2039,23.2853
25,2040,24.3488
26,2041,24.8902
27,2042,25.4947
28,2043,26.0762
29,2044,26.6872
30,2045,27.3746
31,2046,28.3518
32,2047,29.2464
33,2048,30.2913
34,2049,31.3189
35,2050,32.8047
36,2051,33.508
37,2052,34.0821
38,2053,34.7394
39,2054,35.5452
40,2055,36.3938
41,2056,37.3003
42,2057,38.1859
43,2058,39.1352
44,2059,40.0223
45,2060,41.2601
46,2061,42.199
47,2062,42.7005
48,2063,43.1513
49,2064,43.5454
50,2065,43.8587
51,2066,44.791
52,2067,45.8847
53,2068,47.0329
54,2069,48.2182
55,2070,49.5429
