,y,Natural gas exports (Liquification terminal),Natural gas imports (LNG),Natural gas extraction
0,2025.0,-690.7539,0.0,812.6516
1,2026.0,-690.7539,0.0,812.6516
2,2027.0,-690.7539,0.0,812.6516
3,2028.0,-690.7539,0.0,812.6516
4,2038.0,-0.0,0.8963,0.0
5,2039.0,-0.0,1.5744,0.0
6,2040.0,-0.0,10.1672,0.0
7,2041.0,-0.0,9.4227,0.0
8,2042.0,-0.0,9.643,0.0
9,2043.0,-0.0,9.1506,0.0
10,2044.0,-0.0,8.9546,0.0
11,2045.0,-0.0,9.9552,0.0
12,2046.0,-0.0,16.4153,0.0
13,2047.0,-0.0,18.9514,0.0
14,2048.0,-0.0,25.7571,0.0
15,2049.0,-0.0,32.2625,0.0
16,2050.0,-0.0,47.3227,0.0
17,2051.0,-0.0,49.8848,0.0
18,2052.0,-0.0,49.9134,0.0
19,2053.0,-0.0,51.3246,0.0
20,2054.0,-0.0,55.2366,0.0
21,2055.0,-0.0,59.76,0.0
22,2056.0,-0.0,65.1804,0.0
23,2057.0,-0.0,69.969,0.0
24,2058.0,-0.0,71.7747,0.0
25,2059.0,-0.0,76.9942,0.0
26,2060.0,-0.0,75.07,0.0
27,2061.0,-0.0,75.6833,0.0
28,2062.0,-0.0,74.3258,0.0
29,2063.0,-0.0,71.8246,0.0
30,2064.0,-0.0,68.0617,0.0
31,2065.0,-0.0,62.5683,0.0
32,2066.0,-0.0,60.9774,0.0
33,2067.0,-0.0,59.0761,0.0
34,2068.0,-0.0,57.1104,0.0
35,2069.0,-0.0,55.0194,0.0
36,2070.0,-0.0,53.0854,0.0
