,y,Coal,Oil,Gas,Hydro,Solar PV,Biomass,Geothermal,power_trade
1,2016.0,0.0,13.64,0.0,38.21,0.07,3.42,0.0,-3.51
2,2017.0,0.0,10.88,0.0,40.83,0.08,0.38,0.0,-0.35
3,2018.0,0.0,10.88,0.0,40.83,0.08,2.95,0.0,-3.01
4,2019.0,0.0,10.88,0.0,40.83,0.08,3.42,0.0,-3.65
5,2020.0,0.0,10.88,0.0,40.83,0.08,3.42,0.0,-3.78
6,2021.0,0.0,10.37,0.0,40.83,0.07,3.25,0.0,0.49
7,2022.0,0.0,9.83,0.0,40.83,0.07,3.08,0.0,5.13
8,2023.0,0.0,22.91,0.0,40.83,0.07,2.91,0.0,-3.0
9,2024.0,0.0,16.95,0.0,51.62,0.07,2.74,0.0,-3.0
10,2025.0,0.0,8.19,0.0,64.04,2.61,1.71,0.0,-3.23
11,2026.0,0.0,7.63,0.0,64.04,5.58,1.54,0.0,-0.29
12,2027.0,0.0,7.08,0.0,64.04,5.58,1.37,0.0,5.81
13,2028.0,0.0,6.53,0.0,73.39,5.58,1.2,0.0,3.34
14,2029.0,0.0,5.98,0.0,73.39,8.53,1.03,0.0,7.54
15,2030.0,0.0,5.45,0.0,98.94,11.49,0.86,0.0,-12.64
16,2031.0,0.0,4.91,0.0,98.94,20.38,0.68,0.0,-10.63
17,2032.0,0.0,4.36,0.0,98.94,29.27,0.51,0.0,-7.93
18,2033.0,0.0,3.8,0.0,98.94,38.15,0.34,0.0,-4.33
19,2034.0,0.0,3.27,0.0,98.94,47.04,0.17,0.0,-0.0
20,2035.0,0.0,2.73,0.0,96.56,55.91,0.0,0.0,-5.24
21,2036.0,0.0,2.18,0.0,97.58,64.78,0.0,0.0,-3.16
22,2037.0,0.0,1.7,0.0,98.45,73.66,0.0,0.0,-0.14
23,2038.0,0.0,1.14,0.54,98.67,82.55,0.0,2.43,1.63
24,2039.0,0.0,0.57,0.94,102.17,91.44,0.0,5.11,1.08
25,2040.0,0.0,0.0,6.1,102.9,100.33,0.0,7.79,-0.33
26,2041.0,0.0,0.0,5.66,100.29,118.1,0.0,7.79,-1.73
27,2042.0,0.0,0.0,5.81,96.15,135.88,0.0,7.79,-1.39
28,2043.0,0.0,0.0,5.52,93.07,153.66,0.0,7.79,-0.78
29,2044.0,0.0,0.0,5.41,90.47,171.44,0.0,9.34,-1.47
30,2045.0,0.0,0.0,6.02,89.21,189.21,0.0,9.9,-2.25
31,2046.0,0.0,0.0,9.95,85.73,206.02,0.0,9.73,-1.55
32,2047.0,0.45,0.0,11.5,85.3,222.77,0.0,9.73,-0.99
33,2048.0,0.53,0.0,15.66,85.17,239.65,0.0,9.73,-1.84
34,2049.0,0.53,0.0,19.65,85.31,256.65,0.0,9.73,-1.69
35,2050.0,0.53,0.0,28.87,86.5,271.68,0.0,9.73,-4.37
36,2051.0,0.53,0.0,30.48,85.83,285.5,0.0,9.73,-4.66
37,2052.0,0.49,0.0,30.55,84.47,301.84,0.0,9.73,-4.66
38,2053.0,0.45,0.0,31.46,82.77,318.23,0.0,9.73,-4.66
39,2054.0,0.45,0.0,33.92,82.43,332.23,0.0,9.73,-4.66
40,2055.0,0.45,0.0,36.36,82.05,346.83,0.0,9.73,-4.66
41,2056.0,0.45,0.0,39.33,82.68,359.86,0.0,9.73,-4.41
42,2057.0,0.45,0.0,41.89,83.53,372.49,0.0,9.73,-3.02
43,2058.0,1.34,0.0,43.05,83.7,386.88,0.0,9.73,-1.67
44,2059.0,1.15,0.0,46.24,83.05,404.03,0.0,9.73,-2.71
45,2060.0,4.01,0.0,45.03,82.57,419.75,0.0,9.73,-0.47
46,2061.0,5.49,0.0,45.37,81.46,433.42,0.0,9.73,-0.51
47,2062.0,5.49,0.0,44.62,77.46,452.94,0.0,9.73,-1.33
48,2063.0,5.49,0.0,43.15,74.37,473.13,0.0,9.73,-2.68
49,2064.0,5.49,0.0,40.89,71.6,494.06,0.0,8.21,-2.57
50,2065.0,5.49,0.0,37.54,68.76,514.2,0.0,7.79,-1.29
51,2066.0,7.26,0.0,36.61,67.88,528.62,0.0,8.73,-1.37
52,2067.0,9.75,0.0,35.48,83.46,527.74,0.0,9.73,-2.77
53,2068.0,12.46,0.0,34.27,81.85,543.28,0.0,9.72,-2.21
54,2069.0,15.31,0.0,32.97,79.79,557.71,0.0,10.72,-0.73
55,2070.0,18.69,0.0,31.18,84.41,569.8,0.0,8.72,-0.17
