,y,Bedden,Lakki
0,2024.0,0.0,8.0096
1,2025.0,0.0,8.4508
2,2026.0,0.0,8.9214
3,2027.0,0.0,9.293
4,2028.0,0.0,9.5978
5,2029.0,0.0,9.8624
6,2030.0,0.0,10.0432
7,2031.0,0.0,10.0432
8,2032.0,0.0,10.0432
9,2033.0,0.0,10.0432
10,2034.0,0.0,10.0432
11,2035.0,0.0,10.0432
12,2036.0,12.6146,5.8033
13,2037.0,13.9433,5.5272
14,2038.0,12.7674,7.8316
15,2039.0,11.7876,9.9467
16,2040.0,12.5576,10.0432
17,2041.0,13.1372,10.0432
18,2042.0,13.5432,9.9305
19,2043.0,13.9433,9.586
20,2044.0,13.9433,9.8069
21,2045.0,13.9433,9.9791
22,2046.0,13.9433,10.0432
23,2047.0,13.9433,9.9297
24,2048.0,13.7768,10.0432
25,2049.0,13.9433,10.0432
26,2050.0,13.9433,10.0432
27,2051.0,13.9433,10.0432
28,2052.0,13.9433,10.0432
29,2053.0,13.9433,10.0432
30,2054.0,13.9433,9.9383
31,2055.0,13.8039,9.9692
32,2056.0,13.9433,9.7177
33,2057.0,13.6266,9.9886
34,2058.0,13.0401,10.0432
35,2059.0,12.7476,9.6199
36,2060.0,12.9379,8.7978
37,2061.0,12.3502,9.2826
38,2062.0,11.4655,9.7462
39,2063.0,12.1916,8.5334
40,2064.0,12.9011,7.4719
41,2065.0,10.386,9.3334
42,2066.0,9.4753,9.7462
43,2067.0,9.0172,9.5978
44,2068.0,9.3752,8.6706
45,2069.0,10.1313,6.9722
46,2070.0,9.1339,5.5228
