r,t,y,AnnualVariableOperatingCost
REGION,EGWA00000X,2015, 1.1659616415160121e-01
REGION,EGWA00000X,2016, 1.1381696346884308e-01
REGION,EGWA00000X,2017, 1.1559934952941153e-01
REGION,EGWA00000X,2018, 1.1258806884585204e-01
REGION,EGWA00000X,2019, 1.1259352636982019e-01
REGION,EGWA00000X,2020, 1.1980919634947236e-01
REGION,EGWA00000X,2021, 1.1074729765716811e-01
REGION,EGWA00000X,2022, 1.1660594319939145e-01
REGION,EGWA00000X,2023, 1.3537354021817921e-01
REGION,EGWA00000X,2024, 1.3676289039252040e-01
REGION,EGWA00000X,2025, 1.4994152916538844e-01
REGION,EGWA00000X,2026, 1.3473142931723783e-01
REGION,EGWA00000X,2027, 1.3401809986909557e-01
REGION,EGWA00000X,2028, 1.3331181931272634e-01
REGION,EGWA00000X,2029, 1.3318696986886061e-01
REGION,EGWA00000X,2030, 1.3306136411960029e-01
REGION,EGWA00000X,2031, 1.4475042414949696e-01
REGION,EGWA00000X,2032, 1.4864692473908606e-01
REGION,EGWA00000X,2033, 1.4836767732230227e-01
REGION,EGWA00000X,2034, 1.7492798052010561e+00
REGION,EGWA00000X,2035, 1.4758577122376262e-01
REGION,EGWA00000X,2036, 1.91677078870306
REGION,EGWA00000X,2037, 1.4056186545170993e-01
REGION,EGWA00000X,2038, 1.3647248929160363e-01
REGION,EGWA00000X,2039, 0.132081413989214
REGION,EGWA00000X,2040, 1.2917730633437935e-01
REGION,EGWA00000X,2041, 1.4289772190297545e-01
REGION,EGWA00000X,2042, 1.4386011451339750e-01
REGION,EGWA00000X,2043, 1.4223185290578033e-01
REGION,EGWA00000X,2044, 1.4035582931774981e-01
REGION,EGWA00000X,2045, 1.3861599848626013e-01
REGION,EGWA00000X,2046, 1.3715779306234668e-01
REGION,EGWA00000X,2047, 1.3561901420231462e-01
REGION,EGWA00000X,2048, 1.3923067356162067e-01
REGION,EGWA00000X,2049, 1.3684026851309652e-01
REGION,EGWA00000X,2050, 1.3474573383709187e-01
REGION,EGWA00000X,2051, 1.3650577662699037e-01
REGION,EGWA00000X,2052, 1.3780610542537236e-01
REGION,EGWA00000X,2053, 1.3835960142380518e-01
REGION,EGWA00000X,2054, 1.3808573000259464e-01
REGION,EGWA00000X,2055, 1.3656431005424005e-01
REGION,EGWA00000X,2056, 1.3518475928721166e-01
REGION,EGWA00000X,2057, 1.3647054021188756e-01
REGION,EGWA00000X,2058, 1.3738290533757735e-01
REGION,EGWA00000X,2059, 1.3834571279422272e-01
REGION,EGWA00000X,2060, 1.3815015534136527e-01
REGION,EGWA00000X,2061, 1.3762980618386070e-01
REGION,EGWA00000X,2062, 1.3711358069109320e-01
REGION,EGWA00000X,2063, 1.3712451420096416e-01
REGION,EGWA00000X,2064, 1.3710557808499854e-01
REGION,EGWA00000X,2065, 0.137092420379544
REGION,EGWA00000X,2066, 1.3723317208049823e-01
REGION,EGWA00000X,2067, 1.4148839548682832e-01
REGION,EGWA00000X,2068, 1.5285105669502347e-01
REGION,EGWA00000X,2069, 1.6481115180264655e-01
REGION,EGWA00000X,2070, 1.7054909248675917e-01
REGION,EGFW00P00X,2015, 76.2850033368219
REGION,EGFW00P00X,2016, 7.3913372425238862e+01
REGION,EGFW00P00X,2017, 7.1541741513655907e+01
REGION,EGFW00P00X,2018, 6.9170110602072853e+01
REGION,EGFW00P00X,2019, 6.6798479690489913e+01
REGION,EGFW00P00X,2020, 6.4426848778906859e+01
REGION,EGFW00P00X,2021, 6.2223033638551271e+01
REGION,EGFW00P00X,2022, 6.0019218498195691e+01
REGION,EGFW00P00X,2023, 5.7815403357840005e+01
REGION,EGFW00P00X,2024, 5.5611588217484432e+01
REGION,EGFW00P00X,2025, 5.3407773077128851e+01
REGION,EGFW00P00X,2026, 5.1203957936773165e+01
REGION,EGFW00P00X,2027, 4.9000142796417585e+01
REGION,EGFW00P00X,2028, 4.6796327656062005e+01
REGION,EGFW00P00X,2029, 4.4592512515706325e+01
