r,t,e,y,AnnualTechnologyEmission
REGION,EGBMCHC04N,EGCO2,2021.0,-1.1649
REGION,EGBMCHC04N,EGCO2,2022.0,-2.3297
REGION,EGBMCHC04N,EGCO2,2023.0,-3.4946
REGION,EGBMCHC04N,EGCO2,2024.0,-4.6594
REGION,EGBMCHC04N,EGCO2,2025.0,-5.8243
REGION,EGBMCHC04N,EGCO2,2026.0,-6.9891
REGION,EGBMCHC04N,EGCO2,2027.0,-8.154
REGION,EGBMCHC04N,EGCO2,2028.0,-9.3188
REGION,EGBMCHC04N,EGCO2,2029.0,-10.4837
REGION,EGBMCHC04N,EGCO2,2030.0,-11.6485
REGION,EGBMCHC04N,EGCO2,2031.0,-11.6485
REGION,EGBMCHC04N,EGCO2,2032.0,-11.6485
REGION,EGBMCHC04N,EGCO2,2033.0,-11.6485
REGION,EGBMCHC04N,EGCO2,2034.0,-11.6485
REGION,EGBMCHC04N,EGCO2,2035.0,-11.6485
REGION,EGBMCHC04N,EGCO2,2036.0,-11.6485
REGION,EGBMCHC04N,EGCO2,2037.0,-11.6485
REGION,EGBMCHC04N,EGCO2,2038.0,-11.6485
REGION,EGBMCHC04N,EGCO2,2039.0,-11.6485
REGION,EGBMCHC04N,EGCO2,2040.0,-11.6485
REGION,EGBMCHC04N,EGCO2,2041.0,-12.8134
REGION,EGBMCHC04N,EGCO2,2042.0,-13.9782
REGION,EGBMCHC04N,EGCO2,2043.0,-14.5607
REGION,EGBMCHC04N,EGCO2,2044.0,-14.5607
REGION,EGBMCHC04N,EGCO2,2045.0,-14.5607
REGION,EGBMCHC04N,EGCO2,2046.0,-14.5607
REGION,EGBMCHC04N,EGCO2,2047.0,-14.5607
REGION,EGBMCHC04N,EGCO2,2048.0,-14.5607
REGION,EGBMCHC04N,EGCO2,2049.0,-14.5607
REGION,EGBMCHC04N,EGCO2,2050.0,-14.5607
REGION,EGBMCHC04N,EGCO2,2051.0,-15.7255
REGION,EGBMCHC04N,EGCO2,2052.0,-16.8904
REGION,EGBMCHC04N,EGCO2,2053.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2054.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2055.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2056.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2057.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2058.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2059.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2060.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2061.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2062.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2063.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2064.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2065.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2066.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2067.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2068.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2069.0,-17.4728
REGION,EGBMCHC04N,EGCO2,2070.0,-17.4728
REGION,EGBMCHC04N,EGREN,2021.0,-11.7314
REGION,EGBMCHC04N,EGREN,2022.0,-23.4628
REGION,EGBMCHC04N,EGREN,2023.0,-35.1942
REGION,EGBMCHC04N,EGREN,2024.0,-46.9256
REGION,EGBMCHC04N,EGREN,2025.0,-58.657
REGION,EGBMCHC04N,EGREN,2026.0,-70.3884
REGION,EGBMCHC04N,EGREN,2027.0,-82.1197
REGION,EGBMCHC04N,EGREN,2028.0,-93.8511
REGION,EGBMCHC04N,EGREN,2029.0,-105.5825
REGION,EGBMCHC04N,EGREN,2030.0,-117.3139
REGION,EGBMCHC04N,EGREN,2031.0,-117.3139
REGION,EGBMCHC04N,EGREN,2032.0,-117.3139
REGION,EGBMCHC04N,EGREN,2033.0,-117.3139
REGION,EGBMCHC04N,EGREN,2034.0,-117.3139
REGION,EGBMCHC04N,EGREN,2035.0,-117.3139
REGION,EGBMCHC04N,EGREN,2036.0,-117.3139
REGION,EGBMCHC04N,EGREN,2037.0,-117.3139
REGION,EGBMCHC04N,EGREN,2038.0,-117.3139
REGION,EGBMCHC04N,EGREN,2039.0,-117.3139
REGION,EGBMCHC04N,EGREN,2040.0,-117.3139
REGION,EGBMCHC04N,EGREN,2041.0,-129.0453
REGION,EGBMCHC04N,EGREN,2042.0,-140.7767
REGION,EGBMCHC04N,EGREN,2043.0,-146.6424
REGION,EGBMCHC04N,EGREN,2044.0,-146.6424
REGION,EGBMCHC04N,EGREN,2045.0,-146.6424
REGION,EGBMCHC04N,EGREN,2046.0,-146.6424
REGION,EGBMCHC04N,EGREN,2047.0,-146.6424
REGION,EGBMCHC04N,EGREN,2048.0,-146.6424
REGION,EGBMCHC04N,EGREN,2049.0,-146.6424
REGION,EGBMCHC04N,EGREN,2050.0,-146.6424
REGION,EGBMCHC04N,EGREN,2051.0,-158.3738
REGION,EGBMCHC04N,EGREN,2052.0,-170.1052
REGION,EGBMCHC04N,EGREN,2053.0,-175.9709
REGION,EGBMCHC04N,EGREN,2054.0,-175.9709
REGION,EGBMCHC04N,EGREN,2055.0,-175.9709
REGION,EGBMCHC04N,EGREN,2056.0,-175.9709
REGION,EGBMCHC04N,EGREN,2057.0,-175.9709
REGION,EGBMCHC04N,EGREN,2058.0,-175.9709
REGION,EGBMCHC04N,EGREN,2059.0,-175.9709
REGION,EGBMCHC04N,EGREN,2060.0,-175.9709
REGION,EGBMCHC04N,EGREN,2061.0,-175.9709
REGION,EGBMCHC04N,EGREN,2062.0,-175.9709
REGION,EGBMCHC04N,EGREN,2063.0,-175.9709
REGION,EGBMCHC04N,EGREN,2064.0,-175.9709
REGION,EGBMCHC04N,EGREN,2065.0,-175.9709
REGION,EGBMCHC04N,EGREN,2066.0,-175.9709
REGION,EGBMCHC04N,EGREN,2067.0,-175.9709
REGION,EGBMCHC04N,EGREN,2068.0,-175.9709
REGION,EGBMCHC04N,EGREN,2069.0,-175.9709
REGION,EGBMCHC04N,EGREN,2070.0,-175.9709
REGION,EGBMCHP04N,EGREN,2016.0,0.0
REGION,EGBMCHP04N,EGREN,2017.0,0.0
REGION,EGBMCHP04N,EGREN,2018.0,0.0
REGION,EGBMCHP04N,EGREN,2019.0,0.0
REGION,EGBMCHP04N,EGREN,2020.0,0.0
REGION,EGBMCHP04N,EGREN,2021.0,-22.1723
REGION,EGBMCHP04N,EGREN,2022.0,-23.3387
REGION,EGBMCHP04N,EGREN,2023.0,-23.3387
REGION,EGBMCHP04N,EGREN,2024.0,-23.3387
REGION,EGBMCHP04N,EGREN,2025.0,-23.3387
REGION,EGBMCHP04N,EGREN,2026.0,-23.3387
REGION,EGBMCHP04N,EGREN,2027.0,-23.3387
REGION,EGBMCHP04N,EGREN,2028.0,-23.3387
REGION,EGBMCHP04N,EGREN,2029.0,-23.3387
REGION,EGBMCHP04N,EGREN,2030.0,-23.3387
REGION,EGBMCHP04N,EGREN,2031.0,-23.3387
REGION,EGBMCHP04N,EGREN,2032.0,-23.3387
REGION,EGBMCHP04N,EGREN,2033.0,-23.3387
REGION,EGBMCHP04N,EGREN,2034.0,-23.3387
REGION,EGBMCHP04N,EGREN,2035.0,-23.3387
REGION,EGBMCHP04N,EGREN,2036.0,-23.3387
REGION,EGBMCHP04N,EGREN,2037.0,-23.3387
REGION,EGBMCHP04N,EGREN,2038.0,-23.3387
REGION,EGBMCHP04N,EGREN,2039.0,-23.3387
REGION,EGBMCHP04N,EGREN,2040.0,-23.3387
REGION,EGBMCHP04N,EGREN,2041.0,-23.3387
REGION,EGBMCHP04N,EGREN,2042.0,-23.3387
REGION,EGBMCHP04N,EGREN,2043.0,-23.3387
REGION,EGBMCHP04N,EGREN,2044.0,-23.3387
REGION,EGBMCHP04N,EGREN,2045.0,-23.3387
REGION,EGBMCHP04N,EGREN,2046.0,-23.3387
REGION,EGBMCHP04N,EGREN,2047.0,-23.3387
REGION,EGBMCHP04N,EGREN,2048.0,-23.3387
REGION,EGBMCHP04N,EGREN,2049.0,-23.3387
REGION,EGBMCHP04N,EGREN,2050.0,-23.3387
REGION,EGBMCHP04N,EGREN,2051.0,-23.3387
REGION,EGBMCHP04N,EGREN,2052.0,-23.3387
REGION,EGBMCHP04N,EGREN,2053.0,-23.3387
REGION,EGBMCHP04N,EGREN,2054.0,-23.3387
REGION,EGBMCHP04N,EGREN,2055.0,-23.3387
REGION,EGBMCHP04N,EGREN,2056.0,-7.5013
REGION,EGBMCHP04N,EGREN,2057.0,-7.5013
REGION,EGBMCHP04N,EGREN,2058.0,-7.5013
REGION,EGBMCHP04N,EGREN,2059.0,-7.5013
REGION,EGBMCHP04N,EGREN,2060.0,-7.5013
REGION,EGBMCHP04N,EGREN,2061.0,-1.1664
REGION,EGBMCHP04O,EGREN,2015.0,0.0
REGION,EGBMCHP04O,EGREN,2016.0,0.0
REGION,EGBMCHP04O,EGREN,2017.0,0.0
REGION,EGBMCHP04O,EGREN,2018.0,0.0
REGION,EGBMCHP04O,EGREN,2019.0,0.0
REGION,EGBMCHP04O,EGREN,2020.0,0.0
REGION,EGBMCHP04O,EGREN,2021.0,-45.4352
REGION,EGBMCHP04O,EGREN,2022.0,-43.0439
REGION,EGBMCHP04O,EGREN,2023.0,-40.6526
REGION,EGBMCHP04O,EGREN,2024.0,-38.2612
REGION,EGBMCHP04O,EGREN,2025.0,-23.9133
REGION,EGBMCHP04O,EGREN,2026.0,-21.5219
REGION,EGBMCHP04O,EGREN,2027.0,-19.1306
REGION,EGBMCHP04O,EGREN,2028.0,-16.7393
REGION,EGBMCHP04O,EGREN,2029.0,-14.348
REGION,EGBMCHP04O,EGREN,2030.0,-11.9566
REGION,EGBMCHP04O,EGREN,2031.0,-9.5653
REGION,EGBMCHP04O,EGREN,2032.0,-7.174
REGION,EGBMCHP04O,EGREN,2033.0,-4.7827
REGION,EGBMCHP04O,EGREN,2034.0,-2.3913
REGION,EGCO00E00X,EGCO2,2015.0,-0.271
REGION,EGCO00E00X,EGCO2,2016.0,-0.2171
REGION,EGCO00E00X,EGCO2,2017.0,-0.43
REGION,EGCO00E00X,EGCO2,2018.0,-0.3602
REGION,EGCO00E00X,EGCO2,2019.0,-0.4029
REGION,EGCO00E00X,EGCO2,2020.0,-0.4029
REGION,EGCO00E00X,EGCO2,2021.0,-0.3948
REGION,EGCO00E00X,EGCO2,2022.0,-0.3869
REGION,EGCO00E00X,EGCO2,2023.0,-0.3792
REGION,EGCO00E00X,EGCO2,2024.0,-0.3717
REGION,EGCO00E00X,EGCO2,2025.0,-0.3644
REGION,EGCO00E00X,EGCO2,2026.0,-0.3573
REGION,EGCO00I00X,EGCO2,2035.0,0.2948
REGION,EGCO00I00X,EGCO2,2036.0,1.0792
REGION,EGCO00I00X,EGCO2,2037.0,2.2439
REGION,EGCO00I00X,EGCO2,2038.0,1.7599
REGION,EGCO00I00X,EGCO2,2039.0,1.596
REGION,EGCO00I00X,EGCO2,2040.0,0.2099
REGION,EGCO00I00X,EGCO2,2041.0,0.1877
REGION,EGCO00I00X,EGCO2,2042.0,0.1678
REGION,EGCO00I00X,EGCO2,2043.0,0.5523
REGION,EGCO00I00X,EGCO2,2044.0,0.1341
REGION,EGCO00I00X,EGCO2,2045.0,0.1199
REGION,EGCO00I00X,EGCO2,2046.0,0.1072
REGION,EGCO00I00X,EGCO2,2047.0,0.0959
